title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Camera hành động gắn máy tính Xe Đạp Gắn kết cho đi xe đạp máy tính chất liệu ny lông,13366580545,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13366580545.html,69000,0.0,0,0,No Brand,2026-04-29 14:23:36
Tăng sự tự tin của bạn với quần bơi nam có túi tăng cường,13355290417,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13355290417.html,78000,0.0,0,0,No Brand,2026-04-29 14:23:36
SQ11 Mini Full HD 1080p DV thể thao Camera hành động Xe DVR Camera video HD camera giám sát từ xa. HD Infrared Night Vision DV Micro Cam Mặc camera quan sát pin tích hợp,2196491379,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i2196491379.html,98000,1.0,1,0,No Brand,2026-04-29 14:23:36
Máy Quay Hành Động 4K 1080p Full HD Camera Hành Trình Gắn Xe Máy Chống Nước Góc Quay Rộng 140 Độ Máy Ảnh Thể Thao,2420203481,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i2420203481.html,99000,3.625,8,0,No Brand,2026-04-29 14:23:36
Camera Thể Thao góc nhìn thứ nhất với Giá đỡ Đeo Ngực,13352822586,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13352822586.html,107200,0.0,0,0,No Brand,2026-04-29 14:23:36
UNIITY HD 640480 Camera mini Chuyên nghiệp Nhỏ gọn Camera hành động Di động Nhỏ xíu Máy ghi hình Ghi hình thể thao,13368927053,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13368927053.html,121840,0.0,0,0,YYlingx,2026-04-29 14:23:36
SPARAK HD 640480 Camera mini Chuyên nghiệp Nhỏ xíu Camera hành động Di động Nhỏ gọn Máy ghi hình Ghi hình thể thao,13370901197,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13370901197.html,124200,0.0,0,0,iNenk,2026-04-29 14:23:36
MUSASI Nhỏ xíu Camera mini Nhỏ gọn HD 640480 Camera hành động Di động Chuyên nghiệp Máy ghi hình Ghi hình thể thao,13370118405,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13370118405.html,125150,0.0,0,0,Fudeshe,2026-04-29 14:23:36
CANG35161401 Nhỏ xíu Camera mini Chuyên nghiệp Nhỏ gọn Camera hành động Di động HD 640480 Máy ghi hình Ghi hình thể thao,13383418729,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13383418729.html,125396,0.0,0,0,No Brand,2026-04-29 14:23:36
EXOGEN Nhỏ xíu Camera mini Chuyên nghiệp Nhỏ gọn Camera hành động Di động HD 640480 Máy ghi hình Ghi hình thể thao,13324315632,lazada,Thiết Bị Điện Tử,Máy Quay Phim & Máy Quay Hành Đông,Camera Thể Thao & Hành Động,https://www.lazada.vn/products/pdp-i13324315632.html,126401,0.0,0,0,No Brand,2026-04-29 14:23:36
