title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
"Cân Điện Tử Sức khỏe - Cân điện tử gia đình mini tiện lợi, bền đẹp, độ chính xác rất cao, Bảo hành 12 tháng lỗi 1 đổi 1",2299124010,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i2299124010.html,15000,5.0,20,0,No Brand,2026-05-16 15:19:23
"t1 CÂN ĐIỆN TỬ MINI MÓC TREO CẦM TAY 40KG HÌNH MẶT CƯỜI DÙNG PIN MÀN HÌNH LCD, ĐỘ CHÍNH XÁC CAO t2",3021909975,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i3021909975.html,39000,0.0,0,0,No Brand,2026-05-16 15:19:23
[HCM]CÂN ĐIỆN TỬ NHÀ BẾP TIỆN DỤNG,314606251,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i314606251.html,43000,4.944444444444445,18,0,No Brand,2026-05-16 15:19:23
CÂN ĐIỆN TỬ CÂN SỨC KHỎE ISCALE 180KG PHIÊN BẢN MỚI 2023 SIÊU CHUẨN ĐO CHÍNH XÁC 100% - CÂN GIA ĐÌNH XỊN HỖ TRỢ THEO DÕI KIỂM SOÁT CÂN NẶNG CHÍNH XÁC 100% - BẢO HÀNH 1 ĐỔI 1,2353267262,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i2353267262.html,44000,4.732142857142857,224,0,No Brand,2026-05-16 15:19:23
"CÂN ĐIỆN TỬ MINI CẦM TAY 40KG - CÂN XÁCH TAY ĐIỆN TỬ CÂN HÀNH LÝ , ĐI CHỢ ĐỘ CHÍNH XÁC CỰC CAO TIỆN DỤNG DỄ DÀNG SỬ DỤNG",3102899428,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i3102899428.html,45000,0.0,0,0,No Brand,2026-05-16 15:19:23
"m1 Cân điện tử Labubu, Cân điện tử Capy bara, Cân s.ức kh.ỏe 180kg, Cân cảm ứng siêu dễ thương m2",3024823895,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i3024823895.html,49000,0.0,0,0,No Brand,2026-05-16 15:19:23
"Cân điện tử Labubu, Cân điện tử Capy bara, Cân s.ức kh.ỏe 180kg, Cân cảm ứng siêu dễ thương",2786740837,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i2786740837.html,49000,0.0,0,0,No Brand,2026-05-16 15:19:23
Cân điện tử hình MÈO HELLO KITTY kính cường lực Cân Sức Khỏe Cân Người Chịu Lực Tới 180KG Bảo Hành 1 NĂM,2940212828,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i2940212828.html,54500,0.0,0,0,No Brand,2026-05-16 15:19:23
Cân điện tử hình MÈO HELLO KITTY kính cường lực Cân Sức Khỏe Cân Người Chịu Lực Tới 180KG Bảo Hành 1 NĂM,2940433560,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Cân Sức Khoẻ,https://www.lazada.vn/products/pdp-i2940433560.html,54500,0.0,0,0,No Brand,2026-05-16 15:19:23
