title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
ZTHOME [Home Tidying] Màu Sắc Ngẫu Nhiên Thực Phẩm Lưu Trữ Container Nhỏ Nhựa Chống Ẩm Container Mini Nhà Bếp Lưu Trữ Box Với Leakproof Nắp,2831860437,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2831860437.html,0,0.0,0,0,ZTHOME,2026-05-16 15:11:43
GUOUqna Tươi hộp mì nhựa bảo quản thực phẩm hộp kín hình chữ nhật trái cây container tủ lạnh lưu trữ nhà bếp cung cấp công cụ nhà,3030186946,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3030186946.html,999,4.780487804878049,41,0,GUOUqna,2026-05-16 15:11:43
Seastina  nhà bếp hiện đại cửa tủ lạnh tổ chức để lưu trữ thực phẩm và tiết kiệm không gian,3166422272,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3166422272.html,1000,5.0,5,0,SeasTina,2026-05-16 15:11:43
SDJZT Giá kệ đứng nhiều lớp tiết kiệm không gian rustproof thớt thực tế nhà bếp tổ chức nồi nắp chủ sắt nghệ thuật nhà,2930333853,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2930333853.html,2049,4.833333333333333,12,0,SDJZT,2026-05-16 15:11:43
"STAR FRUIT Bộ đựng lưu trữ thực phẩm hiện đại cho nhà bếp-Thiết kế kín khí, chống rò rỉ",3163483635,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3163483635.html,2870,5.0,15,0,STAR FRUIT,2026-05-16 15:11:43
"Phụ Kiện Đi Kèm - Ống đũa lắp kệ gia vị 2 tầng chữ B tashuankệ đựng gia vị, kệ nhà bếp, kệ chữ B, kệ nhà bếp đựng gia vị, kệ gia vị nhà bếp, kệ úp chén, kệ mini, kệ đựng chén dĩa, kệ chữ B nhà bếp",2410921250,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2410921250.html,4600,4.571428571428571,14,0,No Brand,2026-05-16 15:11:43
PkYeG Tủ lạnh thực phẩm tươi sống lưu trữ Hộp tủ lạnh Bên Cửa Trái Cây Rau gia vị thực phẩm trường hợp container nhà bếp tổ chức Lưu trữ boxs,3185224491,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3185224491.html,5397,5.0,1,0,PkYeG,2026-05-16 15:11:43
TBRBG Tươi hộp mì nhựa bảo quản thực phẩm hộp kín hình chữ nhật trái cây container tủ lạnh lưu trữ nhà bếp cung cấp công cụ nhà,3185062708,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3185062708.html,6972,5.0,3,0,TBRBG,2026-05-16 15:11:43
ZTHOME [Home Tidying] Máy Tính Để Bàn Lưu Trữ Hộp Ký Túc Xá Đồ Lặt Vặt Nhựa Mỹ Phẩm Lưu Trữ Hộp Phòng Tắm Nhà Bếp Phân Loại Lưu Trữ Giỏ Thùng,3307576677,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3307576677.html,7007,5.0,3,0,ZTHOME,2026-05-16 15:11:43
"Bộ đựng lưu trữ thực phẩm hiện đại cho nhà bếp-Thiết kế kín khí, chống rò rỉ",3147843131,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3147843131.html,8000,5.0,10,0,OEM,2026-05-16 15:11:43
