title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
Đế chụp lắp đèn âm trần phi 90,13372805433,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13372805433.html,11000,0.0,0,0,No Brand,2026-05-16 15:39:21
Bộ 10 Cái Chụp Led - Bọc Led Nhựa 5mm Loại Tốt,3273654560,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3273654560.html,12000,0.0,0,0,No Brand,2026-05-16 15:39:21
Chụp Đèn Dầu Vintage Mini – Miệng Loe Bèo Trong Suốt,3294085979,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3294085979.html,16900,0.0,0,0,No Brand,2026-05-16 15:39:21
Chóa đèn chụp đèn nhựa che mưa 20cm/30cm cao cấp (có kèm đuôi),2309288333,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2309288333.html,17000,5.0,2,0,No Brand,2026-05-16 15:39:21
CHỤP ĐÈN XI NHAN CUB MỚI CHOÁ CAM CHOÁ TRẮNG,2767076574,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2767076574.html,18000,0.0,0,0,Trong nuoc,2026-05-16 15:39:21
Chụp đèn led máy DCL280/ DCL281 Makita 459478-8,2202960763,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2202960763.html,18900,0.0,0,0,Makita,2026-05-16 15:39:21
"(HCM) Chụp đèn, chao đèn, chóa đèn",3076014860,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3076014860.html,19000,5.0,2,0,No Brand,2026-05-16 15:39:21
"Bóng Đèn Dầu, Bóng Đèn Thuỷ Tinh, Bóng Chụp Đèn Dầu Thuỷ Tinh - Chụp Đèn Dầu",2655181711,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2655181711.html,25000,5.0,2,0,BÁT TRÀNG,2026-05-16 15:39:21
Nắp Chụp Đèn Oto chụp bụi đèn loại có lổ cho các dạng đèn quạt LED,2150641232,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2150641232.html,25000,0.0,0,0,No Brand,2026-05-16 15:39:21
Chụp cao su chống bụi chống thấm nước cho đèn pha loại 100mm dùng chung tất cả các dòng xe,2486572380,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2486572380.html,25000,0.0,0,0,No Brand,2026-05-16 15:39:21
=======
Set of 10 Led Covers - Good Quality 5mm Plastic Led Covers,3273654560,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3273654560.html,12000,0.0,0,0,No Brand,2026-05-01 03:34:49
Mini Vintage Oil Lampshade – Transparent Flared Mouth,3294085979,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3294085979.html,16900,0.0,0,0,No Brand,2026-05-01 03:34:49
Chóa đèn chụp đèn nhựa che mưa 20cm/30cm cao cấp (có kèm đuôi),2309288333,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2309288333.html,17000,5.0,1,0,No Brand,2026-05-01 03:34:49
Chụp đèn led máy DCL280/ DCL281 Makita 459478-8,2202960763,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2202960763.html,18900,0.0,0,0,Makita,2026-05-01 03:34:49
"(Hcm) Lampshades, Lampshades, and Reflectors",3076014860,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3076014860.html,19000,5.0,2,0,No Brand,2026-05-01 03:34:49
HomeZen 1 cái đèn nhựa bao gồm ánh sáng nhà đơn giản bao gồm ánh sáng sang trọng phụ kiện màu trắng,13359451651,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13359451651.html,23080,0.0,0,0,No Brand,2026-05-01 03:34:49
Chao đèn nhựa che mưa 20cm / 25cm / 28cm / 30cm cao cấp Sopoka - Điện Việt,1374332606,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i1374332606.html,28700,4.955056179775281,89,0,SOPOKA,2026-05-01 03:34:49
"Chụp chắn Gió đèn(dầu,nến,đèn cầy) cao 5.5cm.",2210429202,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i2210429202.html,31250,5.0,2,0,No Brand,2026-05-01 03:34:49
GONOVO MALL Lồng tre Chụp đèn tre dệt Nhỏ Quả cầu Chụp đèn Mộc mạc Treo Vỏ đèn chùm Đèn treo,13385000049,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13385000049.html,32000,0.0,0,0,GONOVO,2026-05-01 03:34:49
ZIPMOH Tròn Chụp đèn giấy Treo Cổ điển Vỏ đèn trần Hàng cung cấp cho ngày lễ Hiện đại Vỏ đèn treo Tiệc sinh nhật đám cưới,3197237452,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3197237452.html,32000,0.0,0,0,No Brand,2026-05-01 03:34:49
LIUJIR Treo Chụp đèn giấy Tròn Hiện đại Vỏ đèn treo Phong cách Nhật Bản Cổ điển Vỏ đèn trần Tiệc sinh nhật đám cưới,13361852537,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13361852537.html,32800,0.0,0,0,LIUJIR,2026-05-01 03:34:49
TIMOTHEAM Tròn Chụp đèn giấy Treo Cổ điển Vỏ đèn trần Đèn lồng trang trí che nắng Hiện đại Vỏ đèn treo Tiệc sinh nhật đám cưới,3298861460,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i3298861460.html,34100,0.0,0,0,No Brand,2026-05-01 03:34:49
"WHPHous Chụp đèn phong cách hoa lan chuông bằng acrylic E27, chụp thay thế cho đèn chùm, đèn treo, dùng cho thiết bị chiếu sáng phòng ăn",13373282880,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13373282880.html,36082,0.0,0,0,WHPHous,2026-05-01 03:34:49
Indoor Lighting Lamp Shade Made of Durable Fabric for Elegant Home Decor,13357835553,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Chụp Đèn,https://www.lazada.vn/products/pdp-i13357835553.html,36724,0.0,0,0,Chinatera,2026-05-01 03:34:49
