title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
MaxgePC USB cắm đèn mini ánh sáng ban đêm máy tính điện thoại di động sạc sách nhỏ Đèn LED bảo vệ mắt đọc sách vuông ánh sáng,3167273973,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3167273973.html,0,4.888888888888889,9,0,MaxgePC,2026-05-16 15:38:23
【E-WOITD】 Đèn Led USB Đèn USB Đèn Đọc Sách bảo vệ mắt Đèn đọc sách máy tính,2786446300,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i2786446300.html,0,4.802197802197802,91,0,E-WOITD,2026-05-16 15:38:23
KOQZM 1pcs Mini USB ánh sáng ban đêm ấm trắng bảo vệ mắt cuốn sách đọc sách ánh sáng USB cắm Máy tính điện thoại di động sạc LED đêm đèn,13379710503,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13379710503.html,0,0.0,0,0,KOQZM,2026-05-16 15:38:23
SDJZT USB LED Light USB đèn bảo vệ mắt đọc sách ánh sáng Máy Tính Đèn đọc sách,2935424724,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i2935424724.html,337,5.0,8,0,SDJZT,2026-05-16 15:38:23
"VINTLOOK Đèn ngủ mini USB cho phòng ngủ, đèn bàn di động bảo vệ mắt",3315832681,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3315832681.html,1000,5.0,4,0,VINTLOOK,2026-05-16 15:38:23
"🔈{HOT freeShip} Đèn Led Mini Bảo Vệ Mắt Đọc Sách, Đèn Led Ngủ Cổng USB",3065815131,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3065815131.html,2100,5.0,1,0,No Brand,2026-05-16 15:38:23
"QIHUISHI Đèn ngủ cho phòng ngủ USB mini, đèn bàn chăm sóc mắt di động với sạc USB",3218933760,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3218933760.html,3000,5.0,3,0,QIHUISHI,2026-05-16 15:38:23
"Đèn ngủ cho phòng ngủ USB mini, đèn bàn chăm sóc mắt di động với sạc USB",3289658944,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3289658944.html,4000,4.878787878787879,33,0,Kstarhare,2026-05-16 15:38:23
=======
