title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
WHPHous Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,13327741518,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i13327741518.html,0,0.0,0,0,WHPHous,2026-05-16 15:38:02
JCTTTY Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3173925284,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3173925284.html,0,5.0,4,0,JCTTTY,2026-05-16 15:38:02
kittenBaby Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3202952114,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3202952114.html,0,0.0,0,0,KITTENBABY,2026-05-16 15:38:02
SHGMYD Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,2927190951,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i2927190951.html,1767,4.888888888888889,9,0,SHGMYD,2026-05-16 15:38:02
SHPYHT Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3119954294,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3119954294.html,3775,5.0,1,0,SHPYHT,2026-05-16 15:38:02
ELGMK Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3069583665,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3069583665.html,3788,5.0,9,0,ELGMK,2026-05-16 15:38:02
Yzlong đèn cầu thang năng lượng mặt trời sân ngoài trời Đèn trang trí chiếu sáng nhà đèn cầu thang Đèn tường đèn cầu thang năng lượng mặt trời,3177848730,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3177848730.html,4000,4.833333333333333,27,0,YA ZHOU LONG,2026-05-16 15:38:02
KOQZM Đèn ngủ LED lãng mạn Đèn tường cắm cảm biến hình Nấm trang trí nhà cửa,2830217486,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i2830217486.html,6332,5.0,2,0,KOQZM,2026-05-16 15:38:02
E-WOITD Đèn ngủ phòng ngủ gắn tường 4 LED bóng đèn chiếu sáng phích cắm AC 3W,3179219925,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3179219925.html,7130,5.0,9,0,E-WOITD,2026-05-16 15:38:02
Đèn led dán tường hình bướm,1594248512,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i1594248512.html,9000,0.0,0,0,No Brand,2026-05-16 15:38:02
t1 Đèn Led hình con Bướm dán tường t2,3025074529,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3025074529.html,9000,0.0,0,0,No Brand,2026-05-16 15:38:02
EHBqna Outdoors Creative Lamp LED Night 1W Plug Light Bed Wall Lamp Home Illumination Bedroom Light Home Decoration,13386345187,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i13386345187.html,9562,0.0,0,0,EHBqna,2026-05-16 15:38:02
[Rẻ vô địch] Đèn led dán tường 4 bóng sáng 1000h-giá xưởng 247,1862116058,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i1862116058.html,9802,5.0,1,0,No Brand,2026-05-16 15:38:02
