title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
Cốc bàn chải đánh răng hoạt hình dễ thương zuoguan với vành mịn-bền & an toàn cho trẻ em và học sinh,13392107346,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13392107346.html,4000,0.0,0,0,ZUOGUAN,2026-05-16 15:15:00
Chén Nước Bát Nhỏ PP An Toàn Đa Năng Đựng Đường Cho Giấm,13393916747,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13393916747.html,6000,0.0,0,0,No Brand,2026-05-16 15:15:00
Hangdian Cốc bàn chải đánh răng hoạt hình dễ thương với vành mịn-bền & an toàn cho trẻ em và học sinh,13392025530,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13392025530.html,6000,0.0,0,0,HANGDIAN,2026-05-16 15:15:00
SDJZT 2 cái kẹp cần câu gắn nhanh giá đỡ 1 tay không cần dụng cụ cho Cần Câu nước ngọt giá đựng dụng cụ sắp xếp dụng cụ cầm nắm an toàn,13392775312,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13392775312.html,8044,0.0,0,0,SDJZT,2026-05-16 15:15:00
WHPHous 2 cái kẹp cần câu gắn nhanh giá đỡ 1 tay không cần dụng cụ cho Cần Câu nước ngọt giá đựng dụng cụ sắp xếp dụng cụ cầm nắm an toàn,13394084714,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13394084714.html,8044,0.0,0,0,WHPHous,2026-05-16 15:15:00
Cốc bàn chải đánh răng hoạt hình dễ thương với vành mịn-bền và an toàn cho trẻ em và học sinh,13393304465,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13393304465.html,10000,5.0,1,0,YONUO,2026-05-16 15:15:00
TBRBG An toàn và đáng tin cậy nhà bếp Peeler Heavy Duty thép không gỉ với chống trượt thoải mái,13393608076,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13393608076.html,11859,0.0,0,0,TBRBG,2026-05-16 15:15:00
Nha khoa Aligner Công cụ loại bỏ niềng răng thân thiện với môi trường an toàn cho bệnh viện nha khoa cho phòng khám,13392241299,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13392241299.html,12000,0.0,0,0,No Brand,2026-05-16 15:15:00
Dụng cụ tháo niềng răng dụng cụ tháo lắp Nha khoa Aligner tẩy trang di động nhỏ gọn chống trượt ổn định An toàn thân thiện với môi trường cho phòng khám cho bệnh viện nha khoa,13392701213,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13392701213.html,12000,0.0,0,0,No Brand,2026-05-16 15:15:00
