title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
[COD] PkYeG Chuyên nghiệp Hàn Flux dán pin Rosin cung cấp tin mạnh mẽ cho điện tử DIY và PCB Hàn nhiệm vụ,13377428296,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13377428296.html,4587,0.0,0,0,PkYeG,2026-05-16 15:16:21
"thiếc hàn cuộn nhỏ hoặc 1,5m thiếc, dùng trong hàn linh kiện điện tử",1891529563,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i1891529563.html,8000,3.6666666666666665,3,0,No Brand,2026-05-16 15:16:21
QIUWU Thợ hàn điện pin Hàn điểm kim mông que nhôm Đồng hàn pin,2885596073,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i2885596073.html,10719,5.0,0,0,QIUWU,2026-05-16 15:16:21
QIUWU Dụng cụ hàn sắt điện nhiệt độ 220V 40W mới,3123954774,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i3123954774.html,12464,5.0,3,0,QIUWU,2026-05-16 15:16:21
JCSYFAC 40W Điện hàn sắt Hàn bút Châu Âu Mỹ phích cắm hàn sắt pixel Công cụ cầm tay tự làm Công cụ Hàn,3289809077,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i3289809077.html,14889,5.0,1,0,JCSYFAC,2026-05-16 15:16:21
Lưới tóc Mũ lưới tóc giả cho phù hợp với tóc giả,13393312002,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13393312002.html,17000,0.0,0,0,No Brand,2026-05-16 15:16:21
Thân kẹp kim súng hàn tig WP dùng sứ bé (thoát khí chuyển đổi),2223529428,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i2223529428.html,17000,5.0,8,0,OEM,2026-05-16 15:16:21
"SHNGki Home💖2-3 days Delivery💖 Bàn chải dây thép không gỉ nặng với tay cầm bằng nhựa thoải mái hoàn hảo để loại bỏ rỉ sét, xỉ hàn, bụi bẩn và sơn",13393610061,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13393610061.html,17035,0.0,0,0,SHNGki,2026-05-16 15:16:21
"CHENJ Bàn chải dây thép không gỉ nặng với tay cầm bằng nhựa thoải mái hoàn hảo để loại bỏ rỉ sét, xỉ hàn, bụi bẩn và sơn",13393394322,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13393394322.html,18035,0.0,0,0,CHENJ,2026-05-16 15:16:21
"YIBAR MAOHONG Thợ hàn hàn mạnh mẽ từ nền tảng công cụ, một đặc biệt mạnh mẽ từ nền tảng công cụ cho mạnh mẽ đầu duy nhất Hàn",13391963513,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13391963513.html,20336,0.0,0,0,YIBAR,2026-05-16 15:16:21
CHENJ Trắng Nhựa Thép Bùn Keo Chống Thấm Nước Phòng Tắm Nhà Vệ Sinh Không Thấm Nước Và Nấm Mốc Bằng Chứng Hàn Keo Niêm Phong Bồn Rửa Nhà Bếp Chuyên Dụng,13393322313,lazada,Hàng Gia Dụng & Đời Sống,Dụng Cụ Điện,Dụng Cụ Hàn Tiện,https://www.lazada.vn/products/pdp-i13393322313.html,20338,0.0,0,0,CHENJ,2026-05-16 15:16:21
