title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
SeasTina Stainless Steel Drying Rack for Shoes and Clothes - Easy Storage,3061565427,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i3061565427.html,11000,5.0,15,0,SeasTina,2026-05-16 15:48:48
Gấp 5 Lỗ Giá Phơi Quần Áo Xoay 360 Độ Móc Treo Du Lịch Di Động Cho Khách Sạn Nhà Có Thể Gập Lại Sấy Giá Treo Đa BEAU4,2955598891,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i2955598891.html,15300,5.0,2,0,No Brand,2026-05-16 15:48:48
Multi-Purpose Hanging Clothes Drying Rack That Extends to 1m1,3293082771,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i3293082771.html,29000,0.0,0,0,No Brand,2026-05-16 15:48:48
"Giá Phơi Đồ Bằng Nhựa Gấp Gọn Di Động Có 5 Lỗ Dùng Cho Du Lịch, Công Tác, Khách Sạn, Ký Túc Xá - Giá Treo Quần Áo Có Móc",13356715767,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i13356715767.html,33000,0.0,0,0,No Brand,2026-05-16 15:48:48
"Giàn Phơi Quần Áo Du Lịch Thu Gọn, Có Thể Mở Rộng, Tiện Dụng Cho Cắm Trại, Khách Sạn, Du Thuyền - Phụ Kiện Du Lịch Cần Thiết",13389561060,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i13389561060.html,33500,0.0,0,0,No Brand,2026-05-16 15:48:48
2/4 Giá Treo Quần Đa Năng 5 Tầng Tiết Kiệm Không Gian Với Kẹp Quần Áo Nhiều Màu Sắc Để Sắp Xếp Tủ Quần Áo,3332158144,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i3332158144.html,34200,0.0,0,0,No Brand,2026-05-16 15:48:48
=======
Gấp 5 Lỗ Giá Phơi Quần Áo Xoay 360 Độ Móc Treo Du Lịch Di Động Cho Khách Sạn Nhà Có Thể Gập Lại Sấy Giá Treo Đa LAZYL,2955744049,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i2955744049.html,15300,5.0,6,0,No Brand,2026-05-01 04:41:13
Gấp 5 Lỗ Giá Phơi Quần Áo Xoay 360 Độ Móc Treo Du Lịch Di Động Cho Khách Sạn Nhà Có Thể Gập Lại Sấy Giá Treo Đa ALLIN,2955641840,lazada,Hàng Gia Dụng & Đời Sống,Thiết Bị Giặt & Làm Sạch,Giá Phơi Quần Áo,https://www.lazada.vn/products/pdp-i2955641840.html,15300,0.0,0,0,No Brand,2026-05-01 04:41:13
