title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
HƯỚNG DẪN FREESHIPMAX,2212734088,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i2212734088.html,1000,0.0,0,0,No Brand,2026-05-16 15:41:05
Gương mini,1847761095,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1847761095.html,2000,5.0,2,0,No Brand,2026-05-16 15:41:05
Gương Mini Cầm Tay,1799282051,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1799282051.html,2399,0.0,0,0,OEM,2026-05-16 15:41:05
"[HÀNG CÓ SẴN] Gương tròn mini cầm tay nhỏ gọn, gương trang điểm bỏ túi họa tiết dễ thương",1563993825,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1563993825.html,3720,5.0,7,0,No Brand,2026-05-16 15:41:05
"Gương tròn mini hàn quốc (7cm)- Gương trang điểm, cầm tay, bỏ túi tiện dụng",1448190889,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1448190889.html,3900,5.0,17,0,No Brand,2026-05-16 15:41:05
Cute Mini Single-Sided Mirror,1520978076,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1520978076.html,4950,4.8577981651376145,218,0,No Brand,2026-05-16 15:41:05
"Gương Mini Cầm Tay, Gương Nhỏ Cầm Tay Bỏ Túi Hình Tròn Họa Tiết Cute",1887526929,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1887526929.html,5000,5.0,3,0,No Brand,2026-05-16 15:41:05
Mô hình hoạt hình Gương nhỏ Gương trang điểm xách tay dễ thương Gương tròn cầm tay nhỏ ROYALLOVEA,2493752225,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i2493752225.html,6200,0.0,0,0,No Brand,2026-05-16 15:41:05
"Gương kính hậu model SIÊU MỎNG, Chân kính 10ly ren thuận kính bên trái, Có thể tháo rời chuyển về lắp bên phải",1785671119,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1785671119.html,7500,4.818181818181818,99,0,No Brand,2026-05-16 15:41:05
"Gương dán tường, gương ghép soi toàn thân  gương vuông kích thước 20x20cm",1624481363,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Gương,https://www.lazada.vn/products/pdp-i1624481363.html,8000,4.78419452887538,329,0,No Brand,2026-05-16 15:41:05
