title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
PkYeG 5 miếng dán biển báo cảnh báo an ninh Hệ thống camera CCTV 24h,13385237654,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13385237654.html,8672,0.0,0,0,PkYeG,2026-04-29 14:21:24
"Chân Đế Bắt Tường / Trần Cho Camera WiFi, Camera IP – Nhựa Cứng Chịu Lực – Lắp EZVIZ, IMOU, Dahua, Hikvision, KBVISION – Full VAT",3300029013,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i3300029013.html,15000,0.0,0,0,No Brand,2026-04-29 14:21:24
BJ🔩🔧🔗 Hộp nối không thấm nước cho camera CCTV Video dây hộp cung cấp điện hộp cáp ngoài trời hộp bảo vệ máy ảnh điện tử,13364183490,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13364183490.html,28137,0.0,0,0,No Brand,2026-04-29 14:21:24
"SD&HI 1 chiếc Ống kính CCTV khẩu độ cố định M12, tiêu cự 2,8 mm, dành cho camera IP quan sát an ninh, tương thích với cả hệ thống analog và kỹ thuật số, hỗ trợ hồng ngoại.",13385632944,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13385632944.html,28385,0.0,0,0,SD&HI,2026-04-29 14:21:24
1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13354779149,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13354779149.html,41098,0.0,0,0,No Brand,2026-04-29 14:21:24
1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13364347654,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13364347654.html,41098,0.0,0,0,No Brand,2026-04-29 14:21:24
GY 1 cái nhôm xem video giám sát cảnh báo Đăng camera riêng surveillancewith sticker với băng,13354611391,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13354611391.html,44662,0.0,0,0,No Brand,2026-04-29 14:21:24
haidianzi Cần cẩu công nghiệp đài phát thanh không dây điều khiển từ xa đôi tốc độ kép 2 bước nút điều khiển từ xa công nghiệp,13353152043,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13353152043.html,60619,0.0,0,0,No Brand,2026-04-29 14:21:24
huayou Cần cẩu công nghiệp đài phát thanh không dây điều khiển từ xa đôi tốc độ kép 2 bước nút điều khiển từ xa công nghiệp,13350593878,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13350593878.html,60709,0.0,0,0,No Brand,2026-04-29 14:21:24
"Top Wall mount black Metal surveillance camera wall mount 7,62 cm",13330902047,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13330902047.html,64000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Top <br>Wall mount black Metal surveillance camera wall mount 7,62 cm",13346889752,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13346889752.html,65000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Retail <br><br>Wall mount black Metal surveillance camera wall mount 7,62 cm",13333471807,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13333471807.html,65000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Classy- <br>Wall mount black Metal surveillance camera wall mount 7,62 cm",13345331040,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13345331040.html,65000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Wall mount black Metal surveillance camera wall mount 7,62 cm",13365187251,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13365187251.html,66000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Wall mount black Metal surveillance camera wall mount 7,62 cm",13355546101,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13355546101.html,66000,0.0,0,0,No Brand,2026-04-29 14:21:24
"Wall mount black Metal surveillance camera wall mount 7,62 cm",13358287564,lazada,Thiết Bị Điện Tử,Camera Giám Sát,Hệ Thống An Ninh Cctv,https://www.lazada.vn/products/pdp-i13358287564.html,66000,0.0,0,0,No Brand,2026-04-29 14:21:24
