title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
"Bộ Que Cắm Nhỏ Giọt 4 Tia Tưới Gốc Cây – Dụng Cụ Tưới Tiêu Cho Vườn Rau, Cây Cảnh",3221296780,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i3221296780.html,1000,0.0,0,0,No Brand,2026-05-16 15:15:46
Tê nối ống LDPE 6x8mm dùng trong hệ thống tưới tự động,2351439749,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i2351439749.html,1000,5.0,2,0,No Brand,2026-05-16 15:15:46
"Béc phun sương cam kèm tê nối ống 6mm, béc tưới cây, làm mát không khí",3175463444,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i3175463444.html,1000,5.0,1,0,No Brand,2026-05-16 15:15:46
"VINTLOOK Hệ thống tưới nước tự động cho cây trồng, thiết bị tưới nhỏ giọt tiện lợi",13392808371,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i13392808371.html,1000,5.0,1,0,VINTLOOK,2026-05-16 15:15:46
Que tưới 8 tia đầu ren vặn điều chỉnh | Béc sử dụng cho hệ thống tưới tại gốc,1979546163,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i1979546163.html,2500,0.0,0,0,OEM,2026-05-16 15:15:46
"Que cắm điều chỉnh tưới nhỏ giọt lắp chai coca, pepsi, fanta Đầu tưới cây tự động",721122265,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i721122265.html,2900,4.9,40,0,No Brand,2026-05-16 15:15:46
"Que cắm nhỏ giọt 8 tia điều chỉnh lưu lượng, Béc tưới nhỏ giọt 8 tia có que cắm, Thích hợp tưới gốc cây",2520484570,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i2520484570.html,2900,5.0,3,0,No Brand,2026-05-16 15:15:46
Nhánh 5 hướng ( béc phun sương tưới lan),2410363231,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i2410363231.html,3000,0.0,0,0,No Brand,2026-05-16 15:15:46
Nhánh 6 hướng ( béc phun sương tưới lan),2410420326,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Hệ Thống Tưới Nước,https://www.lazada.vn/products/pdp-i2410420326.html,3000,0.0,0,0,No Brand,2026-05-16 15:15:46
