title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
TBRBG Treo Tường Phòng Tắm Nhà Vệ Sinh Giữ Giấy Dày Nhựa Rustproof Mô Dispenser Cho Nhà,13388730285,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13388730285.html,3694,0.0,0,0,TBRBG,2026-05-16 15:19:00
TBRBG Tiết Kiệm Không Gian Tự Dính Treo Tường Mô Chủ Nhà Bếp Lưu Trữ Organizer Hai Mục Đích Giấy Vệ Sinh Khăn Tay Không Khoan,3286566569,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i3286566569.html,4726,0.0,0,0,TBRBG,2026-05-16 15:19:00
Kệ để giấy giỏ nhựa để giấy vệ sinh để đồ đa năng,2597083735,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2597083735.html,7500,0.0,0,0,No Brand,2026-05-16 15:19:00
Hộp Đựng Giấy Vệ Sinh Dán Tường Bằng Nhựa KG01,2057160094,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2057160094.html,7500,4.666666666666667,3,0,No Brand,2026-05-16 15:19:00
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,2542992653,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2542992653.html,7900,0.0,0,0,No Brand,2026-05-16 15:19:00
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,1633193633,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1633193633.html,8000,5.0,1,0,No Brand,2026-05-16 15:19:00
"Hộp Đựng Cuộn Giấy Vệ Sinh , Đồ Dùng , Điện Thoại Chống Nước Tự Dính",1248718896,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1248718896.html,8624,5.0,10,0,No Brand,2026-05-16 15:19:00
"Giỏ Đựng Giấy Vệ Sinh Dán Tường Chịu Lực Việt Nhật Tiện Ích, Khay Đựng Giấy Dán Tường Màu Nâu, Xanh, Vàng",2590784563,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2590784563.html,9000,0.0,0,0,No Brand,2026-05-16 15:19:00
"Giỏ Đựng Giấy Vệ Sinh Treo Tường - Hộp Nhựa Đựng Khăn, Giấy Vệ Sinh Phòng Tắm, Phòng Bếp",2044517367,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2044517367.html,9000,4.916666666666667,12,0,No Brand,2026-05-16 15:19:00
SHNGki Tiết Kiệm Không Gian Tự Dính Treo Tường Mô Chủ Nhà Bếp Lưu Trữ Organizer Hai Mục Đích Giấy Vệ Sinh Khăn Tay Không Khoan,13378924068,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13378924068.html,9205,0.0,0,0,SHNGki,2026-05-16 15:19:00
PkYeG Tiết kiệm không gian treo tường nhà vệ sinh giữ giấy với mô Dispenser & Lưu trữ-Dễ dàng dính cài đặt sáng tạo CuộN hộp giấy,13378676666,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13378676666.html,9702,0.0,0,0,PkYeG,2026-05-16 15:19:00
=======
⛔FREESHIP⛔ Giỏ đựng giấy vệ sinh cao cấp (TẶNG MIẾNG DÁN) - 6K,1871125104,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1871125104.html,5000,4.608695652173913,23,0,No Brand,2026-05-01 03:28:16
Hộp đựng khăn giấy hình chữ nhật - chất liệu nhựa ABS cao cấp giá thành hợp lý,2999229946,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2999229946.html,5000,0.0,0,0,No Brand,2026-05-01 03:28:16
Kệ để giấy giỏ nhựa để giấy vệ sinh để đồ đa năng,2597083735,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2597083735.html,7500,0.0,0,0,No Brand,2026-05-01 03:28:16
Hộp Đựng Giấy Vệ Sinh Dán Tường Bằng Nhựa KG01,2057160094,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2057160094.html,7500,4.666666666666667,3,0,No Brand,2026-05-01 03:28:16
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,2542992653,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2542992653.html,7900,0.0,0,0,No Brand,2026-05-01 03:28:16
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,1633193633,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1633193633.html,8000,5.0,1,0,No Brand,2026-05-01 03:28:16
"[Việt Nhật]Giỏ đựng giấy vệ sinh, giấy ăn dán tường cường lực tiện lơi, dụng cụ phòng tắm phòng vệ sinh",2478524920,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2478524920.html,8495,5.0,1,0,No Brand,2026-05-01 03:28:16
"Hộp Đựng Cuộn Giấy Vệ Sinh , Đồ Dùng , Điện Thoại Chống Nước Tự Dính",1248718896,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1248718896.html,8624,5.0,10,0,No Brand,2026-05-01 03:28:16
"Giỏ Đựng Giấy Vệ Sinh Dán Tường Chịu Lực Việt Nhật Tiện Ích, Khay Đựng Giấy Dán Tường Màu Nâu, Xanh, Vàng",2590784563,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2590784563.html,9000,0.0,0,0,No Brand,2026-05-01 03:28:16
"Giỏ Đựng Giấy Vệ Sinh Treo Tường - Hộp Nhựa Đựng Khăn, Giấy Vệ Sinh Phòng Tắm, Phòng Bếp",2044517367,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2044517367.html,9000,4.916666666666667,12,0,No Brand,2026-05-01 03:28:16
"Giỏ, Giá, Kệ Đựng Giấy Vệ Sinh, Sữa Tắm, Đồ Nhà Tắm VIỆT NHẬT 3380 - TADAHOME",2820916477,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2820916477.html,9800,0.0,0,0,Nhựa Việt Nhật,2026-05-01 03:28:16
"Giỏ Đựng Giấy Vệ Sinh Dán Tường Tiện Lợi Kích thước: 13* 13,5 * 11cm nhựa Việt Nhật - Diệu Linh Shop",2736623181,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2736623181.html,9801,0.0,0,0,No Brand,2026-05-01 03:28:16
Giỏ đựng giấy vệ sinh dán tường tiện lợi,1907717033,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1907717033.html,9900,5.0,2,0,No Brand,2026-05-01 03:28:16
