title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
<<<<<<< HEAD
[ RẺ VÔ ĐỊCH ] Kệ Dán Tường Nhà Tắm Thanh Treo Đồ 6 Đa Năng Tiện Dụng,1742973632,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1742973632.html,1000,3.6666666666666665,9,0,No Brand,2026-05-16 15:18:37
[COD] CHENJ TOOL  Phòng tắm treo tường Máy Sấy Tóc Chủ vòi hoa sen lưu trữ giá tự dính nhựa hộ gia đình nhà vệ sinh tổ chức kệ,13383443648,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13383443648.html,3226,0.0,0,0,CHENJ,2026-05-16 15:18:37
PkYeG Phòng tắm treo tường Máy Sấy Tóc Chủ vòi hoa sen lưu trữ giá tự dính nhựa hộ gia đình nhà vệ sinh tổ chức kệ,13378766238,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13378766238.html,5010,0.0,0,0,PkYeG,2026-05-16 15:18:37
"Kệ nhựa treo tường nhà tắm, nhà bếp dán tường chịu lực",2027381551,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2027381551.html,7500,4.0,9,0,No Brand,2026-05-16 15:18:37
AACAR Treo tường không đục lỗ nhà vệ sinh mặt Sữa rửa mặt lưu trữ giá mỹ phẩm giá Gương tủ kem đánh răng cống chủ,13330111343,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13330111343.html,7633,0.0,0,0,AACAR,2026-05-16 15:18:37
SHNGki Phòng tắm Vanity bảng tổ chức tường kệ lưu trữ Nhà Giá chăm sóc da mỹ phẩm Bông hiển thị lưu trữ chủ Punch-Miễn phí,13385173629,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13385173629.html,7679,0.0,0,0,SHNGki,2026-05-16 15:18:37
"Kệ nhựa dán tường nhà tắm, nhà bếp đa năng",3076199986,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i3076199986.html,8000,0.0,0,0,No Brand,2026-05-16 15:18:37
"Kệ Dán Tường Chữ Nhật Nhà Tắm, Nhà Bếp Dán Tường Siêu Chắc, Tiện Dụng",2516522702,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2516522702.html,8900,5.0,1,0,No Brand,2026-05-16 15:18:37
=======
"Kệ để xà phòng, xà bông nhà tắm dán tường hình con cá heo bằng nhựa_Mẹ JinJin",1880830491,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1880830491.html,1900,4.95,20,0,No Brand,2026-05-01 03:27:28
Kệ góc dán tường nhà inox 304 gọn gàng tiện ích,2478781028,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2478781028.html,5000,4.90625,32,0,No Brand,2026-05-01 03:27:28
"[Giá Huỷ Diệt] khay để đồ đa năng dán tường  hình chim cánh cụt, khay đựng đồ nhà tắm dán tường, decor nhà cửa 7510 - Tuệ Tuệ 88 🤗",13323638601,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13323638601.html,7000,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ nhựa treo tường nhà tắm, nhà bếp dán tường chịu lực",2027381551,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2027381551.html,7500,4.0,9,0,No Brand,2026-05-01 03:27:28
"[Rẻ vô địch] khay để đồ đa năng dán tường  hình chim cánh cụt, khay đựng đồ nhà tắm dán tường, decor nhà cửa 7510 - Tuelam🇻🇳",13323650557,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13323650557.html,8000,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ chữ nhật dán tường nhà tắm, phòng bếp để đồ đa năng bằng nhựa không cần khoan.",1366729782,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1366729782.html,9800,3.6666666666666665,3,0,No Brand,2026-05-01 03:27:28
"Kệ Thép không gỉ đa năng chữ nhật dán tường, kệ nhà tắm, nhà bếp tiện dụng.  G355-KesatNT-HCN",1798847628,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1798847628.html,10000,4.625,8,0,No Brand,2026-05-01 03:27:28
Kệ nhà tắm Dụng cụ lấy kem đánh răng tiện lợi đa năng thông minh,1268928119,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1268928119.html,10000,5.0,2,0,No Brand,2026-05-01 03:27:28
Large Multi-Purpose Plastic Wall Shelf for Storage,3192891615,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i3192891615.html,11900,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ Dán Tường Nhà Tắm Hình Chữ Nhật, Kệ Treo Tường Đựng Đồ Đa Năng",2313432356,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2313432356.html,13000,4.87683284457478,341,0,No Brand,2026-05-01 03:27:28
"Kệ Dán Tường Hình Chữ Nhật Nhà Tắm , Nhà Bếp - Khay Đựng Đồ Việt Nhật 5698",2478202705,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2478202705.html,13900,5.0,5,0,No Brand,2026-05-01 03:27:28
Kệ Nhà Tắm Phòng Bếp Dán Tường Kệ Đựng Mỹ Phẩm Gia Vị Treo Tường Hình Chữ Nhật H091,2540181444,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2540181444.html,14300,5.0,22,0,No Brand,2026-05-01 03:27:28
"[Chính hãng] Kệ nhựa treo tường nhà tắm, nhà bếp dán tường chịu lực thoát nước dễ ràng",1217310248,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1217310248.html,14548,4.538461538461538,26,0,No Brand,2026-05-01 03:27:28
KỆ NHÀ TẮM LOẠI LỚN A4431,1562869354,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1562869354.html,14800,4.524361948955916,431,0,No Brand,2026-05-01 03:27:28
Khay Đựng Xà Bông Xà Phòng Bằng INOX Dán Tường Siêu Dính - Giá Để Đồ Xà Bông INOX Dán Tường Nhà Tắm Sạch Sẽ Gọn Gàng Tiện ích - KỆ INOX DÁN TƯỜNG ĐỂ ĐỒ ĐA NĂNG,2321646517,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2321646517.html,14835,4.761904761904762,42,0,No Brand,2026-05-01 03:27:28
"Kệ góc tam giác đa năng nhà tắm, nhà bếp bằng nhựa dán tường siêu bền",2188200121,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2188200121.html,15000,5.0,7,0,No Brand,2026-05-01 03:27:28
Kệ Góc Tam Giác Nhựa Chịu Lực Siêu Chắn,2321499006,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2321499006.html,15000,0.0,0,0,No Brand,2026-05-01 03:27:28
>>>>>>> e029f966a8dd6ea3aab7ffd2842f6a3d3f8392c3
