title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
máy giặt sanyou 9 kí giặt vắt êm khô ( LH / ZL 0966717185 ) để đặt hàng nhanh chóng !!!,2756952300,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2756952300.html,2300000,0.0,0,0,No Brand,2026-05-04 14:34:19
【Miễn Phí Lắp Đặt Cơ Bản Toàn Quốc】Máy giặt sấy TCL Care Aura 10.5KG - Động Cơ DD Inverter Cao Cấp - TCL TWD105-P122DG - Máy Giặt Sấy Cửa Trước,3175150815,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i3175150815.html,8990000,4.9,37,114,TCL,2026-05-04 14:34:19
Máy giặt sanyou 9 kí giặt vắt cực êm ( LH / ZL 0966717185 ) để đặt hàng nhanh chóng,2619018554,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2619018554.html,2000000,0.0,0,0,No Brand,2026-05-04 14:34:19
Máy giặt sanyou 7 kí giặt vắt êm khô [ LH / ZL 0966717185 ] để đặt hàng nhanh chóng,2660248902,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2660248902.html,1850000,0.0,0,0,No Brand,2026-05-04 14:34:19
[Thu thập Voucher 14% tối đa 2tr ở trạm voucher] Máy giặt Casper Inverter 9.5 kg WF-95VG5 - Mới 2024,2847443484,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2847443484.html,5790000,5.0,215,1200,Casper,2026-05-04 14:34:19
Máy giặt mini bán tự động máy giặt 4.5kg  -Ánh sáng lam diệt khuẩn - giặt đồ cho bé - giặt đồ trắng - giặt đồ lót báo hành 5 năm,2846388195,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2846388195.html,809000,4.9,56,204,No Brand,2026-05-04 14:34:19
"Máy giặt mini Giặt sạch, diệt khuẩn bằng ánh sáng xanh, loại bỏ mạt bụi và mùi hôi hiệu quả",3215014437,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i3215014437.html,659000,5.0,11,32,No Brand,2026-05-04 14:34:19
Máy Giặt Hút PerySmith M2Lite-II CleanPro Diệt Khuẩn Giặt Hút Giặt Đệm Làm Sạch Ghế Sofa Nệm Thảm,3290773324,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i3290773324.html,3659000,0.0,0,0,PerySmith,2026-05-04 14:34:19
Máy giặt lồng ngang 7 kí 5 có inverter [ LH / ZL 0966717185 ] để đặt hàng nhanh chóng,2652541318,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2652541318.html,3000000,0.0,0,0,No Brand,2026-05-04 14:34:19
"Máy Giặt Mini Tự động 100%, giặt giày quần áo vắt , tia UV , hẹn giờ，bón giặt gội -,bảo hành 3 tháng",2911297945,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy giặt,https://www.lazada.vn/products/pdp-i2911297945.html,839000,4.9,22,66,No Brand,2026-05-04 14:34:19
