title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[Công lắp 0Đ HCM/HN] Điều hòa di động Casper PC-09TL33 - Chính hãng - Bảo hành 3 năm,2911594440,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2911594440.html,4245000,5.0,10,87,Casper,2026-05-04 13:41:41
Katla Shop Máy Lạnh Xách Tay Cool Atmosphere Nhật Bản,2671033471,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2671033471.html,1840212,0.0,0,0,No Brand,2026-05-04 13:41:41
"Điều Hoà Di Động Mini, Chạy Gas,Tiết Kiệm Điện, Công Suất 5500Btu, Bảo hành 12 Tháng",3090193703,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i3090193703.html,3850000,0.0,0,0,No Brand,2026-05-04 13:41:41
"Điều Hòa Di Động Fruit Ding - Điều hòa Mini dùng cho hoạt động cắm trại, phòng vừa và nhỏ - Làm lạnh 16 độ - Máy nén Gas R134a - Công suất 400w",2609336877,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2609336877.html,4200000,5.0,1,6,No Brand,2026-05-04 13:41:41
【Bảo hành 3 năm / Trả Góp 0%】Điều hòa Mijia Air Conditioner Pro Eco Inverter 1.0 HP | Hiệu quả sử dụng năng lượng vượt trội | Tấm chắn có lỗ nhỏ để luồng gió thổi ra nhẹ nhàng | Làm mát nhanh trong 30 giây,3181221976,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i3181221976.html,8350000,5.0,8,38,Xiaomi,2026-05-04 13:41:41
"Điều hòa di động thông minh Xiaomi S01(420W-9000Btu) tiết kiệm điệm Inverter kết nối App dùng phòng nhỏ, cắm trại",2627561475,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2627561475.html,4700000,1.0,1,0,Xiaomi,2026-05-04 13:41:41
"Máy điều hòa mini di động thông minh FUJIHOME PAC05 hiệu suất vượt trội - Bảo hành điện tử toàn quốc, tích hợp Bluetooth",3049062580,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i3049062580.html,4635000,5.0,3,15,FujiHome,2026-05-04 13:41:41
"Máy lạnh đứng di động 10.000 BTU  nhập khẩu FUJIE, Điều hòa di động cây mini đa năng chính hãng điều khiển từ xa + wifi",2155849602,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2155849602.html,5649000,4.9,9,38,FujiHome,2026-05-04 13:41:41
"Máy điều hòa mini di động thông minh FUJIHOME PAC04 độ ồn thấp - Bảo hành điện tử toàn quốc, điều khiển cảm ứng",3049008720,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i3049008720.html,4635000,5.0,1,6,FujiHome,2026-05-04 13:41:41
"Điều hòa cây đứng di động 12.000 BTU FUJIE, máy lạnh di động mini điều khiển từ xa, qua App, đa năng  hút ẩm lọc không khí, không cần lắp đặt - Chính hãng bảo hành 2 năm",2155816976,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy lạnh,https://www.lazada.vn/products/pdp-i2155816976.html,5211000,5.0,7,29,FujiHome,2026-05-04 13:41:41
