title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Máy rửa bát đĩa gia đình mini dung tích 5L phù hợp với gia đình 4-5 người, rửa bằng nước nhiệt độ cao",3111716502,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i3111716502.html,3500000,3.3,4,14,No Brand,2026-05-04 12:18:58
Máy Rửa Bát Electrolux ESF6010BW - Hàng chính hãng,1049148218,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i1049148218.html,6890000,5.0,2,5,Electrolux,2026-05-04 12:18:58
Elbbkg 10-32Cm Thép Không Gỉ Vòng Nồi Nắp Phổ Thay Thế Chảo Bìa Mịn Cạnh Máy Rửa Chén An Toàn Cho Chảo Chảo Chảo Nồi Súp,3309566888,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i3309566888.html,31598,5.0,7,13,Elbbkg,2026-05-04 12:18:58
Máy rửa chén bát National BM ( Na Vòm) nội địa nhật,2212007083,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i2212007083.html,3850000,5.0,1,0,National,2026-05-04 12:18:58
"Bộ Lọc Nước Đầu Nguồn Vòi Hoa Sen,Bồn Rửa Chén,Lavabo,Máy Giặt Lọc Siêu Sạch Các Tạp Chất Dễ Dàng Lắp Đặt K195",1977589209,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i1977589209.html,45000,4.9,224,1200,No Brand,2026-05-04 12:18:58
"Máy rửa chén 6 bộ ( 12 chén, 6 đĩa, 6 tô...)  nội địa Nhật PANASONIC inverter, có ECO tiết kiệm điện và nước, rửa nước nóng 80 độ không cần xà bông, cam kết chính hãng dùng cực kỳ bền.",2225819083,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i2225819083.html,3663660,4.8,21,48,Panasonic,2026-05-04 12:18:58
(SALE 5.5)Máy rửa bát Elmich DWE9382,3165614706,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i3165614706.html,7799000,5.0,1,10,Elmich,2026-05-04 12:18:58
"2 Gioăng (ron) bầu xả chén 140mm gồm ron ( trắng+ đen) , miếng  đệm cho bầu xả chén INOX LỚN phi 140mm",3297624264,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i3297624264.html,23450,5.0,3,14,No Brand,2026-05-04 12:18:58
Máy Rửa Chén Bồn Rửa Chén Tự Động Lắp Đặt Dễ Dàng Thanh Thép Không Gỉ Mini Áp Lực Mạnh Máy Rửa Ly Loại Đẩy Cho Quầy Bar Máy Rửa Cốc Bền,2064098681,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i2064098681.html,83800,4.8,71,369,No Brand,2026-05-04 12:18:58
MÁY RỬA CỐC CHÉN SIÊU TỐC. Chất liệu INOX nguyên khối. nguyên lý tăng áp làm sạch,1934045372,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy rửa chén,https://www.lazada.vn/products/pdp-i1934045372.html,132000,4.9,59,267,No Brand,2026-05-04 12:18:58
