title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[HỎA TỐC HCM] Máy sấy tóc Gaabor N1000D công suất 1000W sấy nhanh 2 chiều nóng lạnh 3 chế độ gió ánh sáng xanh bảo vệ tóc - Bảo hành 12 tháng 1 đổi 1,2314735949,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i2314735949.html,180000,4.9,901,3100,Gaabor,2026-05-04 13:15:25
Máy sấy tóc chuyên dụng salon Davines 6690 cao cấp - HV6690,2730898734,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i2730898734.html,250000,5.0,6,19,No Brand,2026-05-04 13:15:25
"Máy Sấy Tóc ION Âm 2 Chiều Nóng Lạnh Công Suất 2200W, Nóng Lạnh2 Chiều Chăm Sóc Tóc",3077806414,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i3077806414.html,249000,0.0,0,9,No Brand,2026-05-04 13:15:25
"Máy Sấy Tóc 2 Chiều Nóng Lạnh Công Suất Lớn 2300W Nhanh Khô , 3 Chế Độ Sấy Tạo Kiểu , Chăm Sóc Tóc Chuẩn Salon Kèm Mỏ Vịt",3281310675,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i3281310675.html,59999,4.8,6,33,MÁY SẤY DQ,2026-05-04 13:15:25
Máy Sấy Tóc Công Suất Cao 2 Chiều Nóng Lạnh Pana 162 - KVS162,2197011634,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i2197011634.html,95000,5.0,1,0,No Brand,2026-05-04 13:15:25
"Máy sấy tóc Tonnifu 2 chiều nóng - mát, công suất lớn, 6 chế độ và phụ kiện, sấy tóc nhanh, tạo kiểu chuyên nghiệp",2917566637,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i2917566637.html,89500,5.0,5,29,No Brand,2026-05-04 13:15:25
"máy sấy tóc treo tường TOSHIBA 808, Bảo hành 2 năm",1047100637,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i1047100637.html,340000,4.7,3,101,No Brand,2026-05-04 13:15:25
"Máy sấy tóc treo tường INTERHASHA HÀN QUỐC, bảo hành 2 năm",1047110240,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i1047110240.html,284000,4.6,27,160,No Brand,2026-05-04 13:15:25
"Máy Sấy Tóc Công Xuất Lớn ChhacBa 6000W Chẩn Hàng SALON, Tặng Kèm Đầu Sấy ( BẢO HÀNH 12 THÁNG )",2185418995,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i2185418995.html,195000,4.5,34,138,No Brand,2026-05-04 13:15:25
"Máy Sấy Tóc ION Âm 2 Chiều Nóng Lạnh Công Suất 2200W, Nóng Lạnh2 Chiều Chăm Sóc Tóc",3077852335,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy,https://www.lazada.vn/products/pdp-i3077852335.html,270000,4.8,16,56,No Brand,2026-05-04 13:15:25
