title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Máy sấy và khử khuẩn đũa thìa bằng tia UV - Máy khử khuẩn sấy khô đũa thìa an toàn , tránh ẩm mốc và mối mọt",2021891990,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2021891990.html,75200,4.3,3,0,No Brand,2026-05-04 15:19:39
"Bộ vòi hút nước rửa chén, Vòi bơm nước rửa chén kèm kệ để đồ, tự bơm hút dầu với ống dẫn silicon dài 1,2m",3020117048,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3020117048.html,59000,5.0,34,144,No Brand,2026-05-04 15:19:39
máy khử trùng và sấy khô bát đĩa đũa,2127038632,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2127038632.html,580000,0.0,0,0,No Brand,2026-05-04 15:19:39
"Bộ vòi hút nước rửa chén KÈM KỆ ĐỂ ĐỒ, Vòi bơm nước rửa chén có giá để đồ tự bơm hút dầu với ống dẫn silicon,",2847347723,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2847347723.html,56800,4.8,59,211,No Brand,2026-05-04 15:19:39
"Máy khoan mini cầm tay,bộ bắn vít 47chi tiết,động cơ công suất cao có đèn LED ,bắt vít đa năng gia dụng thông minh",3129882518,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3129882518.html,105000,4.5,12,33,No Brand,2026-05-04 15:19:39
"Máy Đánh Bọt Que Tạo Bọt Cafe Mini, Máy Đánh Trứng Cầm Tay ZODAN F78 Không Dây Tích Điện 3 Chế Độ",2843100709,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2843100709.html,58000,4.8,589,2200,ZODAN,2026-05-04 15:19:39
"Đũa Buông Cao Cấp (hộp 10 đôi), đũa Buông xào,nấu, sản xuất tại làng nghề Bình Thuận, bền đẹp, không cong vênh, không mốc, sử dụng tốt trong máy rửa chén, máy sấy chén",2473959613,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2473959613.html,85000,5.0,6,41,No Brand,2026-05-04 15:19:39
"[GIẢM GIÁ] Tủ Sấy Quần Áo Đa Năng Công Suất Cao 600W, Gấp Gọn Tiện Lợi Máy Sấy Quần Áo Có Tia UV Khử Trùng, Điều Khiển Từ Xa, Bảo Hành 12 Tháng",3011197085,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3011197085.html,324000,4.4,9,56,No Brand,2026-05-04 15:19:39
"Nồi nấu đa năng, nồi lẩu điện đa năng, nồi hấp cao cấp 28cm, 3.8L, bảo hành 1 năm",2075101237,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2075101237.html,120000,4.9,1735,6400,ZODAN,2026-05-04 15:19:39
"[Q.Tân Bình] GIÁ SỈ ĐẨY SỐ LƯỢNG - Bộ xịt nhựa vệ sinh, bộ vòi xịt vệ sinh giá rẻ chất lượng LN rẻ",205958709,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i205958709.html,25000,4.9,43,202,No Brand,2026-05-04 15:19:39
"Bộ vòi hút nước rửa chén KÈM KỆ ĐỂ ĐỒ, Vòi bơm nước rửa chén có giá để đồ tự bơm hút dầu với ống dẫn silicon,",3001314095,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3001314095.html,58000,5.0,12,56,No Brand,2026-05-04 15:19:39
Đầu vòi rửa bát tăng áp cao cấp MÀU ĐEN xoay 360 độ tích hợp lõi lọc bên trong.,3143346304,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3143346304.html,28800,4.6,67,360,No Brand,2026-05-04 15:19:39
"Vòi hút nước rửa chén, bơm hút nước rửa chén gắn bồn rửa kèm kệ đựng đồ có móc treo tiện lợi",2959050769,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i2959050769.html,68900,5.0,46,177,No Brand,2026-05-04 15:19:39
Nắp đậy bồn rửa chén INOX,3146987883,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3146987883.html,14000,5.0,2,13,No Brand,2026-05-04 15:19:39
"Vòi bơm nước rửa chén kèm kệ để đồ, tự bơm hút dầu với ống dẫn silicon dài 1,2m",3216548747,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Máy sấy chén dĩa,https://www.lazada.vn/products/pdp-i3216548747.html,100000,5.0,10,60,No Brand,2026-05-04 15:19:39
