title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
SDJZT C8 Ổ cắm điện đầu đực Ổ cắm điện đầu nối điện nhúng 35mm * 15mm AC 2.5A 250V ổ cắm 8 hình,2743762348,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2743762348.html,0,5.0,14,0,SDJZT,2026-05-16 15:15:34
SDJZT Ổ cắm AC-04 Ổ cắm điện 3 chấu 250V 10A có tai cho xe hơi điện máy tính,3149771628,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i3149771628.html,0,5.0,1,0,SDJZT,2026-05-16 15:15:34
QIUWU Công nghiệp không thấm nước Ổ cắm EU ổ cắm đồng liên hệ với cơ thể EU cắm,2747236256,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2747236256.html,239,5.0,12,0,QIUWU,2026-05-16 15:15:34
AGBBG Ổ cắm chống nước công nghiệp Ổ cắm EU thân tiếp xúc bằng đồng Phích cắm EU,2742926695,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2742926695.html,714,4.8,5,0,No Brand,2026-05-16 15:15:34
PkYeG Công nghiệp không thấm nước Ổ cắm EU ổ cắm đồng liên hệ với cơ thể EU cắm,3255195898,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i3255195898.html,2184,0.0,0,0,PkYeG,2026-05-16 15:15:34
SHNGki C8 Ổ cắm điện đầu đực Ổ cắm điện đầu nối điện nhúng 35mm * 15mm AC 2.5A 250V ổ cắm 8 hình,2745372039,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2745372039.html,2746,5.0,3,0,SHNGki,2026-05-16 15:15:34
Ổ CẮM ĐIỆN THÁO BỘ LƯU ĐIỆN,2517455238,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2517455238.html,2900,4.916666666666667,12,0,No Brand,2026-05-16 15:15:34
AGBBG Ổ cắm điện đầu vào AC 3 chân mới có công tắc cầu chì 10A 250V 3 chấu,2845722740,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2845722740.html,2993,5.0,2,0,No Brand,2026-05-16 15:15:34
JINHF Ac30 Ổ cắm điện AC gắn thanh ray DIN 35mm loại EU và AU 10A 16A 25A 250V 440V 2/3/4/5,3051758847,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i3051758847.html,4158,0.0,0,0,JINHF,2026-05-16 15:15:34
SDJZT 1PC đen double-layer USB Nữ Cơ sở Loại-C sạc Ổ cắm ổ cắm điện với cáp nối USB sạc cổng dữ liệu giao diện,2921784867,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Ổ Cắm Điện,https://www.lazada.vn/products/pdp-i2921784867.html,5113,4.428571428571429,7,0,SDJZT,2026-05-16 15:15:34
