title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Cân tiểu ly điện tử mini nhà bếp Kitche Scale, Cân điện tử mini độ chính xác cao định lượng 0.1Gr đến 5000Gr, Tặng kèm 2 pin AAA",584990734,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i584990734.html,53336,0.0,0,6100,No Brand,2026-05-04 14:55:45
"MIKI Kệ Gia Vị INOX 304 Đặt Bàn Cao Cấp Không Han Gỉ 2/3 tầng Kèm Khay Để Thớt, Cắm Dao Tiện Dụng",2655716539,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2655716539.html,149000,4.7,97,356,No Brand,2026-05-04 14:55:45
7000RPM Quạt Thổi Chất Lượng Cao Dụng Cụ Thổi Bếp Dầu Thải Nhỏ 9733 Bếp Gỗ Điều Khiển Tốc Độ Gia Dụng Bếp Nướng BBQ 12V Máy thổi,2520648392,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2520648392.html,123500,4.8,53,271,No Brand,2026-05-04 14:55:45
"Kệ Inox đa năng Gia Vị, Xà Phòng Inox Treo Tường",2132338891,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2132338891.html,59000,4.9,708,2900,No Brand,2026-05-04 14:55:45
"COMBO 6 Hũ Gia Vị Thủy Tinh Có Thìa – Hũ Đựng Gia Vị Thông Minh, Bảo Quản Gia Vị Luôn Tươi Mới",3119014138,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i3119014138.html,32000,4.7,45,135,No Brand,2026-05-04 14:55:45
FREESHIP🎁Quạt Thổi Chất Lượng Cao Dụng Cụ Thổi Bếp Dầu Thải Nhỏ Bếp Gỗ Điều Khiển Tốc Độ Gia Dụng Bếp Nướng BBQ 12V Máy thổi,2521290111,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2521290111.html,127700,4.9,32,208,No Brand,2026-05-04 14:55:45
Giá cài dao thớt bằng inox có 5 móc treo tiện lợi loại dày ( tặng kèm ốc vít ),3176023862,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i3176023862.html,66000,5.0,1,5,No Brand,2026-05-04 14:55:45
7000RPM Quạt Thổi Chất Lượng Cao Dụng Cụ Thổi Bếp Dầu Thải Nhỏ 9733 Bếp Gỗ Điều Khiển Tốc Độ Gia Dụng Bếp Nướng BBQ 12V Máy thổi,2524304898,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2524304898.html,119300,4.9,15,141,No Brand,2026-05-04 14:55:45
Hũ Đựng Dầu Mỡ Bằng Gốm Chịu Nhiệt Độ Cao Dùng Trong Nhà Bếp Hũ Đựng Gia Vị Cấp Thực Phẩm Hũ Đựng Dầu Mỡ Động Vật Có Nắp,3220374536,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i3220374536.html,71000,0.0,0,97,No Brand,2026-05-04 14:55:45
"Combo 2 Lưỡi dao máy xay thịt 2L, 3L- phụ kiện máy xay thịt đa năng",2004378035,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Phụ kiện đồ gia dụng,https://www.lazada.vn/products/pdp-i2004378035.html,15000,4.7,157,1000,No Brand,2026-05-04 14:55:45
