title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
LAZ nigori Hoa Oải Hương gói tủ quần áo túi nước hoa tinh dầu khử mùi xe tươi tủ quần áo phòng ngủ phòng kéo dài mùi thơm,3324015068,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3324015068.html,0,5.0,5,0,Laz Nigori,2026-05-16 15:40:33
Heabety Thân Thiện Với Môi Bằng Gỗ Hương Liệu Khuếch Tán Hương Thơm Khuếch Tán Động Vật Sư Tử Con Voi Hình Dạng Bằng Gỗ Khuếch Tán Làm Mới Không Khí Lâu Dài,3215326631,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3215326631.html,0,5.0,5,0,Heabety,2026-05-16 15:40:33
Elbbkg Thân Thiện Với Môi Bằng Gỗ Hương Liệu Khuếch Tán Hương Thơm Khuếch Tán Động Vật Sư Tử Con Voi Hình Dạng Bằng Gỗ Khuếch Tán Làm Mới Không Khí Lâu Dài,3215352094,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3215352094.html,0,4.828125,64,0,Elbbkg,2026-05-16 15:40:33
Q TÚI THƠM THẢO MỘC T1 Tinh Dầu Tự Nhiên Treo Phòng Ngủ - Gói Thơm Mini Để Tủ Quần Áo Xe Ô Tô Nhà Vệ Sinh Y,2000871469,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i2000871469.html,1000,4.676056338028169,71,0,No Brand,2026-05-16 15:40:33
DONGYANSHIJIA Hoa Oải Hương gói tủ quần áo túi nước hoa tinh dầu khử mùi xe tươi tủ quần áo phòng ngủ phòng mùi thơm kéo dài,3130972079,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3130972079.html,1000,0.0,0,0,DONGYANSHIJIA,2026-05-16 15:40:33
SeasTina Túi Nước Hoa Tinh dầu khử mùi túi hoa oải hương cho tủ quần áo túi tủ quần áo phòng ngủ tươi mát cho xe hơi mùi thơm lâu dài,3131658094,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3131658094.html,1000,4.2,20,0,SeasTina,2026-05-16 15:40:33
[HCM] Lá thơm treo xe ôtô cây thơm theo tủ quần áo khử mùi-CA666,2561762170,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i2561762170.html,1299,0.0,0,0,No Brand,2026-05-16 15:40:33
"Túi thơm thảo mộc tinh dầu tự nhiên treo phòng, tủ quần áo, xe hơi có móc treo",2404120138,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i2404120138.html,1500,3.0,1,0,No Brand,2026-05-16 15:40:33
"Túi thơm thảo mộc tinh dầu tự nhiên treo phòng, treo tủ quần áo, xe hơi có móc treo",2563727338,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i2563727338.html,1950,0.0,0,0,No Brand,2026-05-16 15:40:33
QIHUISHI Hoa hình nhà vệ sinh khử mùi gel cho Freshening phòng tắm với hương thơm lâu dài và thiết kế thanh lịch,3276715123,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Phụ Kiện Làm Thơm Phòng,https://www.lazada.vn/products/pdp-i3276715123.html,2000,5.0,8,0,QIHUISHI,2026-05-16 15:40:33
