title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Kẹp tài liệu a4 cute - kẹp tài liệu nhựa trong suốt - 1 cái - giá rẻ - BOPBO STORE,2474406331,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2474406331.html,2500,0.0,0,0,No Brand,2026-05-01 04:35:13
Cuốn sổ tay văn phòng phẩm nhỏ đáng yêu của học sinh văn phòng phẩm mang theo một cuốn sổ tay nhỏ ký tên FAVOURIE,2343823416,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2343823416.html,2900,5.0,6,0,No Brand,2026-05-01 04:35:13
"Kẹp Bướm, Kẹp Tài Liệu Màu Deli 19mm 25mm 32mm 41mm 50mm - 855xES",2198502067,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2198502067.html,4000,0.0,0,0,No Brand,2026-05-01 04:35:13
"Kẹp tài liệu giấy tờ văn phòng kẹp bướm nhiều màu kích thước 15mm, 19mm, 25mm, 32mm, 41mm, 51mm kẹp màu HOKAMI STORE",2814272255,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2814272255.html,4000,0.0,0,0,No Brand,2026-05-01 04:35:13
"Kẹp tài liệu (Kẹp rút gáy) khổ A4 in hình dễ thương, ngộ nghĩnh kích thước 21.5 x 31.5cm",2384158950,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2384158950.html,4300,5.0,2,0,No Brand,2026-05-01 04:35:13
"Kẹp Nhựa Màu Tam Giác - Kẹp Góc - Giữ Giấy Tờ, Tài Liệu , Hồ Sơ Nhiều Màu Sắc Sinh Viên , Văn Phòng, VPP",2440963317,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2440963317.html,5000,5.0,7,0,No Brand,2026-05-01 04:35:13
"Kẹp tài liệu văn phòng, Rút gáy xoay Shuya, bảng kẹp file giấy tờ cao cấp khổ A4  Q324",2206690939,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2206690939.html,5500,0.0,0,0,No Brand,2026-05-01 04:35:13
"Đồ Chuốt Bút Chì, Gọt Chì Mẫu Phi Hành Gia Xinh Xắn",2405709218,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2405709218.html,6000,0.0,0,0,No Brand,2026-05-01 04:35:13
Bìa cây gáy lớn đựng tài liệu khổ A4 - Văn phòng phẩm Thu Thảo,3129932164,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i3129932164.html,6000,0.0,0,0,No Brand,2026-05-01 04:35:13
Colored Plastic Paper Clips C62 - 3 Packs,1483723580,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i1483723580.html,6500,5.0,1,0,No Brand,2026-05-01 04:35:13
Colored Plastic Paper Clips C62 - Combo of 3 Packs,1483664972,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i1483664972.html,7000,5.0,1,0,No Brand,2026-05-01 04:35:13
"[GIÁ SẬP SÀN] Kẹp tài liệu, rút gáy Hình kẹp giấy A4 - 1 chiếc",458220212,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i458220212.html,7000,0.0,0,0,No Brand,2026-05-01 04:35:13
COMBO 10 Bút Bi Bấm Mực Gel Màu Đen Ngòi 0.5mm Màu Morandi Basic Vỏ Nhựa Trong | Phụ Kiện Sinh Viên.,3284520458,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i3284520458.html,7340,0.0,0,0,No Brand,2026-05-01 04:35:13
"Set dụng cụ học tập 5 món dễ thương gồm bút chì, gôm, thước, gọt chì - Combo dụng cụ cho học sinh",2598451500,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2598451500.html,7500,5.0,1,0,No Brand,2026-05-01 04:35:13
"Bìa kẹp hồ sơ cho học sinh sinh viên , Bìa lá có cây giữ tài liệu chống thấm , Bìa rút gáy nhám chống nước giá rẻ , Bìa hồ sơ a4 có cây kẹp văn phòng , Bìa lá cây gáy dễ rút dễ dùng ,đồ dùng học tập, Phát Huy Hoàng",1979128523,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i1979128523.html,8000,5.0,8,0,OEM,2026-05-01 04:35:13
"Hộp 12 kẹp bướm giấy tờ 15mm · Echoolax giá rẻ, kẹp văn phòng phẩm siêu chắc, phụ kiện học tập kẹp đề cương, kẹp tài liệu văn phòng, kẹp giấy a4 mini tiện lợi, kẹp giấy bướm màu đen nhỏ, đồ dùng học tập, Phát Huy Hoàng",2061414031,lazada,Hàng Gia Dụng & Đời Sống,Văn Phòng Phẩm & Thủ Công,Phụ Kiện Trường Học & Văn Phòng,https://www.lazada.vn/products/pdp-i2061414031.html,8000,5.0,6,0,OEM,2026-05-01 04:35:13
