title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Quạt Cầm Tay Mini Di Động, Sạc USB, Kích Thước Nhỏ, Chất Liệu Nhựa, Dùng Cho Sinh Viên Ký Túc Xá, Gia Đình, Thiết Bị Làm Mát",3166100195,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i3166100195.html,59500,0.0,0,47,No Brand,2026-05-04 12:10:26
Máy Mát Xa Mắt Di Động Có Thể Sạc Lại Bằng USB Với 10 Chế Độ Rung Giảm Mệt Mỏi Mắt Thiết Bị Làm Đẹp Máy Chăm Sóc Mắt,13344502987,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i13344502987.html,150750,0.0,0,46,No Brand,2026-05-04 12:10:26
VIVAZ 360 °   Sự xoay chuyển Kẹp điều hòa ô tô 199 tốc độ có thể điều chỉnh Kẹp rộng Thiết bị làm mát  Màn hình LED Quạt làm mát mini không gây tiếng ồn Văn phòng du lịch tại nhà,13369451064,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i13369451064.html,239404,0.0,0,0,Upluckey,2026-05-04 12:10:26
Thiết Bị Làm Mát CPU Ống Đồng Đôi 9cm Kiểu Tháp Hoạt Động Yên Tĩnh Kiểm Soát Nhiệt Độ Máy Tính Để Bàn Thương Hiệu Survival Battle Tank,2830634016,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i2830634016.html,131000,0.0,0,601,No Brand,2026-05-04 12:10:26
DORADO Đa chức năng Con lăn massage đá lạnh Công cụ chăm sóc da làm mát 2 trong 1 Con lăn đá hai đầu Quà tặng Thiết bị làm đẹp bằng nén lạnh Máy mát xa,13369199716,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i13369199716.html,64053,0.0,0,0,YYlingx,2026-05-04 12:10:26
Máy Mát Xa Mắt Foreverlily Không Dùng Điện EMS Thiết Bị Làm Đẹp Mắt Chống Nhăn Giảm Mệt Mỏi Dưới Mắt Máy Mát Xa Kính Chăm Sóc Mắt,3205982201,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i3205982201.html,405450,5.0,1,7,foreverlily,2026-05-04 12:10:26
"Máy Mát Xa Cổ Vai Bằng Năng Lượng USB, Thiết Bị Mát Xa Chuyên Nghiệp Thư Giãn Cơ Thang, Chăm Sóc Cột Sống Cổ, Sản Phẩm Mới Của Master.",13328249940,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i13328249940.html,362600,4.2,12,1100,No Brand,2026-05-04 12:10:26
AN249 Có thể điều chỉnh Máy mát xa mini Đầu massage mềm mại Chống mài mòn Thiết bị massage mô sâu Chất lượng cao Dễ dàng vận hành Máy massage cơ cầm tay Thư giãn cơ bắp,3165680672,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i3165680672.html,99000,4.9,55,189,No Brand,2026-05-04 12:10:26
"Tản Nhiệt Điện Thoại Làm Mát Bằng Bán Dẫn Với Kẹp Từ Tính, Màn Hình Kỹ Thuật Số, Quạt Di Động Tháo Rời Dành Cho Thiết Bị Chơi Game",3181253857,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i3181253857.html,201600,5.0,6,16,No Brand,2026-05-04 12:10:26
"Quạt cầm tay ALIZZ AL kèm dây đeo cổ là thiết bị làm mát tiện lợi, dễ dàng mang theo mọi lúc mọi nơi",3152007695,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Thiết bị làm mát,https://www.lazada.vn/products/pdp-i3152007695.html,257000,5.0,7,22,Alizz,2026-05-04 12:10:26
