title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Android TV Box MXQ PRO 4K bản 8G+128GB Tiếng Việt Wifi 5G, Android tivi box,box ti vi panasonic chinh hang",2560970074,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2560970074.html,296600,4.6,39,107,No Brand,2026-05-04 12:27:35
Anten thông minh + dây anten 15m (đúc sẵn jax),220915960,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i220915960.html,39000,4.7,1266,4800,No Brand,2026-05-04 12:27:35
"Thanh lý Tivi Sony 32inch LCD ảnh đẹp, siêu bền, ngoại hình đẹp",2306048385,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2306048385.html,1480000,4.8,13,31,Sony,2026-05-04 12:27:35
[SALE SỐC]  Android Tivi Aqua 43 inch AQT43K800UG - Freeship toàn quốc - Bảo hành 1 đổi 1 trong 730 ngày đối với lỗi màn hình,2842494310,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2842494310.html,7490000,5.0,1,0,AQUA,2026-05-04 12:27:35
(Loại 1) Anten thông minh thu sóng DVB T2+15m dây cáp+đúc sẵn jack nối,101891457,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i101891457.html,68500,4.5,1273,7000,No Brand,2026-05-04 12:27:35
Smart Tivi Crystal UHD Samsung 4K 55 inch UA55CU8000,2544229459,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2544229459.html,9700000,5.0,2,8,Samsung,2026-05-04 12:27:35
Samsung Smart TV 4K UHD 43 inch UA43AU7002 Tặng kèm remote giọng nói,2553755581,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2553755581.html,5900000,5.0,4,7,Samsung,2026-05-04 12:27:35
"Smart Tivi 55 inch Giá Rẻ ƞhất SMART TV 4K COOCAA 55 inch viền mỏng - Youtube - Model 55S3U Pro Games mode, Dolby audio, Youtube , Bảo Hành 2 Năm, 1 năm ClipTV",2391482014,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2391482014.html,6508000,5.0,5,8,Coocaa,2026-05-04 12:27:35
"Thanh lý Android Tivi Sony 4K 49 inch KD - bắt wifi, youtobe và các ứng dụng xem truyền hình khác đảm bảo nguyên zin 100%",2364514290,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2364514290.html,5800000,5.0,5,15,Sony,2026-05-04 12:27:35
Google Tivi Mini LED Sony 4K 75 inch K-75XR70 - Mới 2024,2657333512,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2657333512.html,58190000,0.0,0,8,Sony,2026-05-04 12:27:35
Tivi Smart tv Asanzo 32 inch remote giọng nói wifi internet,700736702,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i700736702.html,3770000,5.0,4,5,ASANZO,2026-05-04 12:27:35
[Công lắp 0Đ 0Đ HCM/ HN] Smart Tivi Casper Ultra HD 4K 50inch / 55 inch - D50UGC620 / D55UGC620 - Chính hãng,3262778419,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i3262778419.html,11990000,0.0,0,6,Casper,2026-05-04 12:27:35
"Thanh lý Smart Tivi LG 4K 43 inch có wifi,youtobe truy cập mạng siêu nhanh",2309662702,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2309662702.html,3700000,4.6,15,31,LG,2026-05-04 12:27:35
Smart Tivi Xiaomi P1 43 Inch Tivi Thông Minh Cho Mọi Nhà,2230170421,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Tivi thông minh,https://www.lazada.vn/products/pdp-i2230170421.html,6490000,0.0,0,0,Xiaomi,2026-05-04 12:27:35
