title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Wall Mount With Cover Storage Organizer Large Capacity,13363733007,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i13363733007.html,33150,0.0,0,0,No Brand,2026-05-16 15:47:29
Tủ Nhựa Đựng Đồ Đa Năng - Hộp 9 Ngăn Đựng Đồ Mini Tặng Kèm Sticker,2185395233,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i2185395233.html,39999,5.0,1,0,No Brand,2026-05-16 15:47:29
[FREESHIP] Tủ Mini Ngăn Kéo Trong Suốt Để Bàn Đựng Trang Sức Mỹ Phẩm,1841081196,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i1841081196.html,42700,4.891566265060241,83,0,No Brand,2026-05-16 15:47:29
Drawer-style Clothes Organizer Plastic,13358500714,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i13358500714.html,44850,0.0,0,0,DAODUOBAO,2026-05-16 15:47:29
Mini Display Shelves Mini Storage Cabinets for Collecting Dolls Toy Storage Cabinets Grocery Store Mini Food Items Decor Study Desk Doll House Decoration,13332601205,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i13332601205.html,50000,0.0,0,0,No Brand,2026-05-16 15:47:29
Tủ kệ 9 ngăn mini phong cách Hàn Quốc,1486590600,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i1486590600.html,55000,4.846153846153846,13,0,No Brand,2026-05-16 15:47:29
FANGXIANSHENG | Bed Under Large Drawer Storage Organizer Easy Sliding High Load Capacity,3280769415,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i3280769415.html,60000,4.0,0,0,FANGXIANSHENG,2026-05-16 15:47:29
TỦ NHỰA TOMI DUY TÂN 3-4-5 TẦNG,2145352232,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i2145352232.html,60000,0.0,0,0,Duy Tân,2026-05-16 15:47:29
Clothes Organization Storage Box,13359128867,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i13359128867.html,61750,0.0,0,0,YOUNA,2026-05-16 15:47:29
Foldable Clothes Storage Box,13375687285,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Tủ Chứa & Sắp Xếp Đồ,https://www.lazada.vn/products/pdp-i13375687285.html,66950,0.0,0,0,MIYUN,2026-05-16 15:47:29
