title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Mới 2 Cái Nhà Tủ Lạnh Khóa An Toàn Tủ Lạnh Tủ Đông Khóa Cửa Đa Năng Khóa An Toàn Trẻ,3143178784,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i3143178784.html,12000,4.8,81,599,No Brand,2026-05-04 12:56:03
Tủ lạnh sanyou 150l làm lạnh và đông đá nhanh [ [ LH / ZL : 0966.71.71.85 ] để đặt hàng nhanh chóng nhé !,3064721955,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i3064721955.html,1500000,0.0,0,0,No Brand,2026-05-04 12:56:03
"Rổ tủ đông D44*R20*C21cm, miệng rổ 39cm (2 rổ)",2478536796,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i2478536796.html,194400,4.9,7,32,No Brand,2026-05-04 12:56:03
P PMC Mới 1 Cái Nhà Tủ Lạnh Khóa An Toàn Tủ Lạnh Tủ Đông Khóa Cửa Đa Năng Khóa An Toàn Trẻ,3048645801,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i3048645801.html,12000,4.8,170,1200,P PMC,2026-05-04 12:56:03
"Tủ đông mini 65 lít Tủ trữ đông sữa mẹ,thịt,cá,Làm đá nhanh Có 5 mức nhiệt độ Tiết kiệm năng lượng BH 1 năm",2746851606,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i2746851606.html,2190000,4.5,6,21,No Brand,2026-05-04 12:56:03
[HCM]cảm biến nhiệt độ tủ đông thermostat f133,1307447683,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i1307447683.html,65000,4.9,23,139,No Brand,2026-05-04 12:56:03
Tủ lạnh sanyou 110 lít làm lạnh tốt đông đá nhanh [ LH / ZL 0966717185 ] để đặt hàng nhanh chóng,2655462918,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i2655462918.html,1500000,5.0,1,6,No Brand,2026-05-04 12:56:03
TBRBG 12 liên tiếp kem khuôn mẫu dễ dàng để demold Silicone Popsicle khay cho tủ đông tự chế Ice Cube với nắp nhà bếp món tráng miệng,3106352151,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i3106352151.html,79911,0.0,0,0,TBRBG,2026-05-04 12:56:03
Rơ le khởi đông tủ lạnh ELECTROLUX hãng,1641233815,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i1641233815.html,55000,0.0,0,0,No Brand,2026-05-04 12:56:03
Khuôn Làm Đá Silicon Hình Hoa Hồng DIY Khuôn Có Phễu 6 Lỗ Khay Đá Có Thể Tái Sử Dụng Tủ Đông,13365901193,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ đông,https://www.lazada.vn/products/pdp-i13365901193.html,29000,0.0,0,0,No Brand,2026-05-04 12:56:03
