title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Zdssy R36S cầm tay cổ điển bảng điều khiển trò chơi điện tử hệ thống Linux 3.5 Inch IPS Màn Hình Mini tay cầm xách tay đầu phát video 64GB 128GB Preloaded 15000 Trò Chơi,3270248931,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i3270248931.html,969000,4.7,5,11,ZDSSY,2026-05-04 14:01:25
"Tay Cầm Gamepad Bluetooth P4 Không Dây – Cảm Ứng, Rung, LED – Dùng Cho PC Android iOS máy tính , laptop , smartphone",1767598685,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i1767598685.html,270000,5.0,11,43,Coolmoon,2026-05-04 14:01:25
AqToCna Video Trò Chơi Giao Diện Điều Khiển 2.4G Kép Không Dây Điều Khiển 64GB 32GB 20000 Trò Chơi 4K HD Retro Mini Cầm Tay Trò Chơi Máy Nghe Nhạc Trò Chơi Thanh Cho Quà Tặng,3094226142,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i3094226142.html,367525,5.0,5,14,AqToCna,2026-05-04 14:01:25
"Camera Wifi Gọi Video 2 Chiều Full HD Màn Hình IPS 2.8 inch - Báo Khóc Trẻ Em, Đàm Thoại 2 Chiều, Phát Hiện Chuyển Động",2431072877,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i2431072877.html,539000,4.9,69,240,No Brand,2026-05-04 14:01:25
SD&HI 1 Bộ 44mp HD Mini 2.4inch máy ảnh ảnh 4K máy ảnh kỹ thuật số 8X video zoom nhanh hỗ trợ chức năng trò chơi và máy ảnh nhiệt,3255421373,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i3255421373.html,395623,3.0,1,5,SD&HI,2026-05-04 14:01:25
Đồng hồ thông minh myFirst Fone R1s Gọi Video 4G|Đo Nhịp Tim | Định Vị GPS |Chống nước,3063115160,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i3063115160.html,2790000,5.0,2,10,myFirst,2026-05-04 14:01:25
Ekleva Chuyên Nghiệp 48MP Wifi máy quay video kỹ thuật số HDR 8K Camcord 7680*4320P Cho phát trực tiếp Vlog Máy Ghi Âm 18X Thời Gian Trôi Quay Webcam Ổn Định Máy Quay,2597957216,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i2597957216.html,3706113,5.0,25,15,Ekleva,2026-05-04 14:01:25
"Đồng hồ thông minh trẻ em Y36 nghe gọi được video Đồng hồ định vị trẻ em Y36 (GỌI VIDEO/4G) Đồng Hồ Định vị Trẻ Em Y36 (bản 2024), Nghe Gọi Video 4G, Định Vị, chống nước IP67, sử dụng Tiếng Việt Chính Hãng Suno Top",2841853036,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i2841853036.html,700000,4.8,59,95,SUNO,2026-05-04 14:01:25
"Gậy 2.1m Thu Gọn 60cm Kèm ( Trục Xoay 360 Độ , Kẹp , Remote ) Gíup Livestream , Quay Video , Toktok , Chụp Hình..",2617916183,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i2617916183.html,64000,4.9,60,254,No Brand,2026-05-04 14:01:25
"PC Gaming lắp ráp Intel Core i5-14600KF RTX 5070 32GB SSD 2TB, máy tính để bàn chỉnh sửa video,",13310293073,lazada,TV & Thiết Bị Điện Gia Dụng,Tivi & Videos,Video,https://www.lazada.vn/products/pdp-i13310293073.html,49247200,0.0,0,0,No Brand,2026-05-04 14:01:25
