title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Đèn pha năng lượng mặt trời Vạn Năng Solar 300w,273384891,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn ngoài trời,https://tiki.vn/product-p273384891.html?spid=273384892,1280000,5.0,3,15,Vạn Năng Solar,2026-04-29 13:54:47
Đèn pin sạc cầm tay chống nước TERINO T518 - Hàng chính hãng,8709333,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn pin,https://tiki.vn/product-p8709333.html?spid=8709334,525000,3.7,3,18,TERINO,2026-04-29 13:54:47
Đèn pin sạc cầm tay tìm kiếm cứu nạn Terino YD-898 (chống nước) - Hàng chính hãng,193922391,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn pin,https://tiki.vn/product-p193922391.html?spid=193922392,1500000,4.0,1,3,TERINO,2026-04-29 13:54:47
Đèn pin thoát hiểm TERINO EG-40PA,8568994,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn pin,https://tiki.vn/product-p8568994.html?spid=8568995,1620000,2.3,3,9,TERINO,2026-04-29 13:54:47
"Đèn Bàn Học Gắn Tường , Gắn Tủ Sách FEIDASH YJD - Sử Dụng Pin Sạc Có Thể Di Chuyển Dễ Dàng, Thời Gian Sử Dụng Lên Đến 4 Giờ - 3 Chế Độ Sáng Tiện Lợi, Sử Dụng Phím Bấm Cảm Ứng, Lắp Đặt Dễ Dàng - Cáp Sạc USB An Toàn Khi Sử Dụng - Hàng Chính Hãng",271381278,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn học và đọc sách,https://tiki.vn/product-p271381278.html?spid=271381279,179000,3.4,5,21,feidash,2026-04-29 13:54:47
"Đèn LED cảm biến chuyển động cảm biến thông minh, ánh sáng bảo vệ mắt, sạc pin USB đời mới, dán tường, tủ quần áo, cầu thang, phòng ngủ… Cảm Ứng không dây",279213678,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn cảm ứng,https://tiki.vn/product-p279213678.html?spid=276108365,110000,4.5,5,17,LuckyJQR,2026-04-29 13:54:47
Đèn ngủ cảm ứng vịt con Elmich NLE0739 - Hàng chính hãng,278921825,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn ngủ,https://tiki.vn/product-p278921825.html?spid=278921826,394000,0.0,0,3,Elmich,2026-04-29 13:54:47
"Đèn Pin Cầm Tay Siêu Sáng Mini Có Sạc USB Chiếu Xa 5 Chế Độ Sáng, Pin Trâu Chống Thấm Nước, Tiện Dụng – Hàng Nhập Khẩu",278641632,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn pin,https://tiki.vn/product-p278641632.html?spid=278641633,110000,5.0,1,14,LuckyJQR,2026-04-29 13:54:47
"Cầu Dao Chuyển Nguồn Tự Động – 100A Công Suất Lớn, Không Mất Điện Khi Chuyển Nguồn Không Bị Mất Điện",278195883,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Bóng và linh kiện đèn,https://tiki.vn/product-p278195883.html?spid=278195884,685000,0.0,0,1,OEM,2026-04-29 13:54:47
"Đèn led cắm cổng usb uốn dẻo thuận tiện cho việc học tập, đọc sách, làm việc ban đêm",277936639,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn học và đọc sách,https://tiki.vn/product-p277936639.html?spid=277936640,6900,0.0,0,7,AlphaVH,2026-04-29 13:54:47
ĐÈN ĐƯỜNG NĂNG LƯỢNG MẶT TRỜI SOLAR LIGHT 500W,279282370,tiki,Nhà Cửa - Đời Sống,Đèn & thiết bị chiếu sáng,Đèn ngoài trời,https://tiki.vn/product-p279282370.html?spid=279282371,999000,0.0,0,0,Vạn Năng Solar,2026-04-29 13:54:47
