title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Máy xay thịt đa năng Joyoung JFC-808 Hàng Chính Hãng,279077935,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",https://tiki.vn/product-p279077935.html?spid=279077936,529000,0.0,0,2,Joyoung,2026-04-29 13:58:24
Máy xay thịt đa năng Philips HR1501/00 1 lít - Hàng chính hãng,278992468,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",https://tiki.vn/product-p278992468.html?spid=278992469,636000,5.0,2,8,Philips,2026-04-29 13:58:24
Bình đun nước siêu tốc mini ruột Inox 304 Koreno Thái Lan KN-208 dung tích 0.8L - Hàng chính hãng,278961014,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Bình đun siêu tốc,https://tiki.vn/product-p278961014.html?spid=278961099,399000,4.5,2,4,Bennix,2026-04-29 13:58:24
Nồi Hấp điện 3 Tầng MAGIC A-61 Hàng chính hãng,278842532,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,https://tiki.vn/product-p278842532.html?spid=278842533,790000,0.0,0,1,Magic Eco,2026-04-29 13:58:24
Máy xay cầm tay DAEWOO DWBL-4515 (450ml) Hàng Chính Hãng,278730219,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,"Máy xay, máy ép",https://tiki.vn/product-p278730219.html?spid=278730220,391000,4.0,1,13,Daewoo,2026-04-29 13:58:24
"Nồi chiên không dầu thế hệ mới dung tích lớn, công suất 1500W - Hàng nhập khẩu",278097488,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,https://tiki.vn/product-p278097488.html?spid=278097494,575000,5.0,1,12,Anh Lam Store,2026-04-29 13:58:24
Nồi cơm điện Kangaroo 1.5 lít KGRC15M1 - Hàng chính hãng,277512225,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,https://tiki.vn/product-p277512225.html?spid=277512226,668000,1.0,1,6,Kangaroo,2026-04-29 13:58:24
Nồi cơm nắp rời Toshiba 1.8 lít RC-18MH2PV(F) - Hàng chính hãng,277506590,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,https://tiki.vn/product-p277506590.html?spid=277506591,519000,5.0,2,16,Toshiba,2026-04-29 13:58:24
"Máy Nhổ Lông Gà Vịt Cầm Tay – Chạy Pin, Đa Năng, Làm Sạch Nhanh Chóng - HÀNG CHÍNH HÃNG MINIIN",276930198,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Đồ dùng nhà bếp khác,https://tiki.vn/product-p276930198.html?spid=276930199,139000,3.3,3,11,MINIIN,2026-04-29 13:58:24
Nồi Kho Cá JLPL@L JL-KC2510 2.5L - Màu Ngẫu Nhiên - Hàng Chính Hãng,276916420,tiki,Điện Gia Dụng,Đồ dùng nhà bếp,Nồi điện các loại,https://tiki.vn/product-p276916420.html?spid=276916421,240000,0.0,0,1,JLPL@L,2026-04-29 13:58:24
