title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Bàn treo ban công, bàn treo ban công gấp gọn",118243720,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Ngoại thất sân vườn,https://tiki.vn/product-p118243720.html?spid=118243721,650000,3.9,27,93,anzzar,2026-04-29 13:55:31
Kéo cắt cành cộng lực chuyên dụng Germany -dụng cụ làm vườn đa năng,250512089,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ làm vườn,https://tiki.vn/product-p250512089.html?spid=190322460,280000,4.6,102,504,OEM,2026-04-29 13:55:31
"Áo Mưa Chui Rằn Ri Vải Dù Siêu Bền – Chống Thấm, Không Tạt, Gọn Nhẹ, Unisex Nam Nữ",274424387,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274424387.html?spid=274424388,149000,3.0,1,1,XUDI,2026-04-29 13:55:31
"Áo Mưa Bít Cho Bé 1–10 Tuổi Unisex – Trùm Kín Không Ướt, Vải Dù Nhẹ Bền, Có Túi Gọn Nhẹ, Dùng Đi Học Đi Chơi, Giao Màu Ngẫu Nhiên",274145306,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274145306.html?spid=274145310,109000,4.0,1,1,XUDI,2026-04-29 13:55:31
Máy phun rửa áp lực cao Karcher K2 Classic,163304843,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Máy xịt rửa và phụ kiện,https://tiki.vn/product-p163304843.html?spid=163304844,2590000,4.5,46,215,Karcher,2026-04-29 13:55:31
"Viên uống tăng cân Kian Pee Wan ( Kiện Tỳ Hoàn ) - Loại siêu xịn - Xuất xứ Malaysia giúp ăn ngon miệng, ngủ ngon - Mã số 1062",279295518,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ ngoài trời khác,https://tiki.vn/product-p279295518.html?spid=279295520,250000,0.0,0,3,OEM,2026-04-29 13:55:31
"Viên uống tăng cân Trùng thảo sâm nhung bổ tỳ khai vị đại bổ hoàn nhập khẩu Malaysia giúp ăn ngon miệng, ngủ ngon - Mã số 1407",279292513,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ ngoài trời khác,https://tiki.vn/product-p279292513.html?spid=279292515,150000,0.0,0,6,OEM,2026-04-29 13:55:31
Hạt giống rau Mồng tơi Đỏ - Mồng tơi Tím  VTP202,279224450,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p279224450.html?spid=279224451,12900,0.0,0,7,An Phát ,2026-04-29 13:55:31
Vòi xịt vệ sinh có giá đỡ và dây cấp Chiba Hafele 589.34.920 -Hàng Chính Hãng,279070083,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Máy xịt rửa và phụ kiện,https://tiki.vn/product-p279070083.html?spid=279070084,315000,5.0,2,21,HAFELE,2026-04-29 13:55:31
Phân bón lá Growmore Root Plex Seaweed Extract Rong biển USA 1 lít,278882069,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p278882069.html?spid=278882070,148500,0.0,0,2,UNIGREEN,2026-04-29 13:55:31
"Bộ Vòi Tưới Cây , Rửa Xe 12m Kèm Vòi Tưới 6 Chế Độ - Hàng Nhập Khẩu",184913941,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ làm vườn,https://tiki.vn/product-p184913941.html?spid=184913942,545000,4.5,25,187,PEAFLO,2026-04-29 13:55:31
"Quần Áo Mưa 2XL & 3XL Vải Dù CAO CẤP – Form Rộng, Chống Thấm Mạnh, Unisex Nam Nữ",274144154,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274144154.html?spid=274144156,159000,4.8,5,34,XUDI,2026-04-29 13:55:31
"Set 2 Bọc Giày Chống Nước Đi Mưa Có Khóa Kéo, Phù Hợp Mọi Loại Giày",276778782,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p276778782.html?spid=276778790,109000,4.0,1,0,LYNUSAN,2026-04-29 13:55:31
"Bộ áo mưa 2XL vải dù cao cấp ,chống thấm ,chống nước ,dày , trang nhã nhỏ gọn tiện dụng mang theo cho cả nam và nữ",179523121,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p179523121.html?spid=179523122,159000,4.0,1,8,OEM,2026-04-29 13:55:31
"Áo Mưa Bộ Vải Dù – Thời Trang, Siêu Bền, Chống Nước – 2XL–3XL – Nam Nữ Unisex",274462107,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274462107.html?spid=274462109,159000,4.5,4,20,XUDI,2026-04-29 13:55:31
"[KoSuyTu] Dụng Cụ Lấy Ráy Tai Có Camera Nội Soi Full HD – Kết Nối Điện Thoại - Đèn LED Chiếu Sáng, An Toàn Cho Cả Gia Đình",278772641,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ ngoài trời khác,https://tiki.vn/product-p278772641.html?spid=278772642,148000,3.0,2,10,OEM,2026-04-29 13:55:31
Kéo cắt tỉa cây kiểng - Kéo cắt cành và thu hoạch trái cây công nghê Nhật,278245075,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ làm vườn,https://tiki.vn/product-p278245075.html?spid=278245076,149000,0.0,0,2,BDVX,2026-04-29 13:55:31
"Kéo Cắt Tỉa Cành Cây Deli Chính Hãng 8inch - Lưỡi Thép Sắc Bén, Siêu Bền, Tay Cầm Đệm Cao Su An Toàn, Chắc Chắn DL580201",278119925,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ làm vườn,https://tiki.vn/product-p278119925.html?spid=278131484,129000,5.0,2,11,Deli,2026-04-29 13:55:31
Bể bơi phao bơi cho bé 3 tầng đủ kích cỡ,277571522,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Bể bơi và phụ kiện,https://tiki.vn/product-p277571522.html?spid=277571544,175000,0.0,0,3,TIEN ANH HOUSE,2026-04-29 13:55:31
"Phân Bón Hoa Mai Greenhome, Minro, Bao 1kg, Hữu Cơ, Dưỡng Cây, Bung Chồi, Mượt Lá, Khoẻ Rễ, Bền Hoa",275604456,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275604456.html?spid=275604458,44900,4.7,3,126,Greenhome,2026-04-29 13:55:31
"Áo mưa bít vải dù cao cấp kín người ,(áo mưa chui ),cho người lớn ,nhiều màu sắc tươi trẻ , phù hợp cả nam và nữ",179523208,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p179523208.html?spid=179523210,150000,4.3,6,40,OEM,2026-04-29 13:55:31
"Áo Mưa Bít Vải Dù Chống Thấm – Kín Người, Không Tạt, Nhẹ Gọn, Unisex Nam Nữ",274133322,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274133322.html?spid=274133324,139000,4.7,6,36,XUDI,2026-04-29 13:55:31
"Áo Mưa Chui Vải Dù Cao Cấp – Chống Nước, Kín Gió, Tiện Lợi, Unisex Nam Nữ",274133281,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274133281.html?spid=274133285,139000,4.5,2,22,XUDI,2026-04-29 13:55:31
Ủng Bọc Giày Đi Mưa Chống Nước Có Đế Chống Trơn Trượt Cao Cấp,92521124,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p92521124.html?spid=92521126,78000,4.7,318,1984,OEM,2026-04-29 13:55:31
Ô Dù Gấp Gọn Chống Nắng UV Cao Cấp Chống Mưa Nhỏ Gọn Dễ Mang Theo,274508855,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p274508855.html?spid=274508856,129000,1.0,1,11,XUDI,2026-04-29 13:55:31
Hạt giống Bắp cải Baby - bắp cải tí hon VTP04,275346580,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275346580.html?spid=275346581,13900,3.7,3,31,An Phát ,2026-04-29 13:55:31
Hạt giống Măng tây Xanh Italy VTP40,275344801,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275344801.html?spid=275344802,13728,0.0,0,8,An Phát ,2026-04-29 13:55:31
Hạt giống bông cải xanh baby - lơ xanh baby VTP52,275344089,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275344089.html?spid=275344090,14560,0.0,0,12,An Phát ,2026-04-29 13:55:31
Phân bón N3M kích thích ra rễ cực mạnh giúp cây trồng sinh trưởng khỏe,275339625,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275339625.html?spid=275339626,36400,5.0,2,37,BDVX,2026-04-29 13:55:31
Thuốc kích thích sinh trưởng ATO.NIK giúp kích rễ - nảy mầm cho cây trồng và hoa kiểng - Hộp 10 gói - gói 10ml,275338915,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275338915.html?spid=275339178,15600,4.7,7,68,BDVX,2026-04-29 13:55:31
Hạt giống bí đao xanh F1 - Bí chanh giống khỏe trái sai VTP05,275315958,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p275315958.html?spid=275315959,13000,5.0,2,33,An Phát ,2026-04-29 13:55:31
Áo Mưa Thời Trang Họa Tiết Gấu Nice Thiết Kế Thân Dài Có Kính Chắn Mưa Và Bao Tay Tiện Lợi- CÓ 4 MÀU - LOẠI 1 - HÀNG CHÍNH HÃNG MINIIN,275246769,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p275246769.html?spid=276472256,92650,5.0,1,9,MINIIN,2026-04-29 13:55:31
"Ô Dù Che Mưa, Che Nắng, Gấp Gọn Tiện Lợi, Thiết Kế Sang Trọng Và Bền Bỉ, Ô Dù Có Lựa Chọn Màu Sắc- Hàng Chính Hãng Teement",275128356,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Áo mưa, ô dù và phụ kiện đi mưa",https://tiki.vn/product-p275128356.html?spid=275128360,180000,5.0,6,28,TEEMENT,2026-04-29 13:55:31
"Hạt Giống Rau Greenhome, Ăn Lá, Nhiều Loại, Trồng Chậu, Dễ Trồng, Trồng Quanh Năm, Năng Suất Cao",274869073,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p274869073.html?spid=274869105,15900,0.0,0,34,SENVANG SEEDS,2026-04-29 13:55:31
"Phân Trùn Quế Viên Nén Greenhome, Lavamix, Túi lưới, Bao 36 Túi,  Dinh Dưỡng Hữu Cơ, Không Mùi, Tốt Cho Lan, Bonsai, Rau",274714194,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,"Hoa tươi, Cây cảnh & Hạt giống",https://tiki.vn/product-p274714194.html?spid=274714196,69900,0.0,0,18,Minro,2026-04-29 13:55:31
Đế Lót Chậu Cây Có Bánh Xe ANKAN - Lắp Ráp Theo Ý Khách Hàng Chọn Kích Thước Đế Và Tải Trọng Của Đế - Hàng Chính Hãng,274077878,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Ngoại thất sân vườn,https://tiki.vn/product-p274077878.html?spid=274090097,89000,5.0,1,12,ANKAN,2026-04-29 13:55:31
Dụng Cụ Tưới Nước Nhỏ Giọt Có Van Điều Chỉnh,253313487,tiki,Nhà Cửa - Đời Sống,Ngoài trời & sân vườn,Dụng cụ làm vườn,https://tiki.vn/product-p253313487.html?spid=253313488,25000,0.0,0,16,OEM,2026-04-29 13:55:31
