title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"GƯƠNG DÁN TƯỜNG TOÀN THÂN 110x40cm – Gương Mềm Không Vỡ, Dán Tường Siêu Dính Decor Phòng Ngủ - HÀNG CHÍNH HÃNG MINIIN",279193694,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p279193694.html?spid=279193695,139000,5.0,1,8,MINIIN,2026-04-29 13:51:00
Kệ Sách Để Sàn - GP217,279184817,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p279184817.html?spid=279184819,562925,5.0,1,9,HUCHU,2026-04-29 13:51:00
Đệm ngồi Deli nệm lót ghế cao su non siêu đàn hồi chống trĩ chống đau ê mông êm ái giúp ngồi thoải mái cả ngày tiện dụng,278696348,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p278696348.html?spid=278696352,195000,0.0,0,6,Deli,2026-04-29 13:51:00
"Két Sắt Vân Tay DELI, Két Sắt Điện Tử Thông Minh Chống Cưa Cắt Chống Cháy An Toàn Bảo Vệ Tài Sản",278525716,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p278525716.html?spid=278525718,2549000,0.0,0,0,Deli,2026-04-29 13:51:00
Ghế du lịch xếp gọn 7075,278481817,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p278481817.html?spid=278481818,79000,4.0,1,10,CAVARA,2026-04-29 13:51:00
Gel da lỏng Sửa Chữa Đồ Da 20Ml Dung Dịch Làm Sạch Da Kem Sửa Chữa Bổ Sung Cho Ghế Xe Hơi và Sofa gia đình tại Nhà,278211868,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p278211868.html?spid=278211903,42000,0.0,0,0,OEM,2026-04-29 13:51:00
Máy Tính Cầm Tay Thiết Kế Độc Đáo - Tiện Dụng - Cho Học Sinh,277929176,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p277929176.html?spid=279324360,96000,0.0,0,0,OEM,2026-04-29 13:51:00
Set 200 Túi Bọc Thực Phẩm size lớn - Màng bọc thực phẩm size lớn Dùng Một Lần,277867176,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p277867176.html?spid=277867177,25000,0.0,0,9,OEM,2026-04-29 13:51:00
"Bộ Bàn Ghế Chống Gù Cho Bé – Giúp Bé Ngồi Đúng Tư Thế, Phát Triển Lành Mạnh - HÀNG CHÍNH HÃNG MINIIN",277534977,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p277534977.html?spid=277534988,1200000,3.0,2,9,MINIIN,2026-04-29 13:51:00
Kệ Giày Dép 4 Tầng Khung Inox Chắc Chắn - Hàng chính hãng ( Hoa văn giao ngẫu nhiên),276614765,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p276614765.html?spid=275079711,79000,5.0,1,28,Gro-Fa,2026-04-29 13:51:00
Hộp Nhựa Chia Ngăn DELI Có Thể Tháo Rời Xếp Chồng -Khay Nhựa Chia Ngăn Đựng Quần Áo Đồ,276414234,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p276414234.html?spid=276414238,145800,4.0,1,86,Deli,2026-04-29 13:51:00
"[Mình Ngọc_Chi phí thấp nhất _Ghế Roichen] Ghế  chỉnh dáng ngồi đúng Roichen Hàn Quốc, Ghế dành cho Nam",275849448,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p275849448.html?spid=275849452,853000,0.0,0,2,Roichen,2026-04-29 13:51:00
Bàn làm việc bàn học chữ K HG,275239197,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p275239197.html?spid=275239205,396000,5.0,2,16,HG FURNITURE H i G,2026-04-29 13:51:00
ghế xoay văn phòng ghế văn phòng HG,275238631,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p275238631.html?spid=275238632,520000,4.0,13,67,HG FURNITURE H i G,2026-04-29 13:51:00
"Kệ Để Giày Dép Gỗ Thiết Kế Nhỏ Gọn, Tối Ưu Diện Tích Kệ Giày Dép Xếp Gọn Đa Năng Kệ Gỗ MDF Phong Cách Hiện Đại",274628787,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p274628787.html?spid=274628795,213000,5.0,5,39,Gosashi,2026-04-29 13:51:00
"Tủ Đựng Mỹ Phẩm Dán Tường HOKORI Cao Cấp, Hộp Treo Tường Đa Năng Chống Nước, Gắn Tường Siêu Chắc Chắn - Hàng Việt Nam",274580221,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p274580221.html?spid=274587184,198450,4.8,6,32,Hokori,2026-04-29 13:51:00
Đệm Ngồi 3D Silicon 2 Lớp Tổ Ong Lót Ghế Thoáng Khí Chống Đau Mỏi Lưng,271120475,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p271120475.html?spid=271120476,125000,4.8,13,121,PEAFLO,2026-04-29 13:51:00
"Ghế Sofa Giường thông minh gấp gọn SUMIKA 336, chiều rộng 80cm",270791057,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p270791057.html?spid=270791058,2793000,5.0,2,5,Sumika,2026-04-29 13:51:00
Ghế chỉnh dáng ngồi đúng nữ Roichen,262728881,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p262728881.html?spid=270834602,829000,4.0,3,9,Roichen,2026-04-29 13:51:00
"Giường gấp gọn thông minh tải trọng cao Q115 NIKITA, gọn nhẹ tiết kiệm không gian linh hoạt 2024",254080771,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p254080771.html?spid=254080772,919000,4.8,12,76,Nikita,2026-04-29 13:51:00
"Kệ gỗ treo tường trang trí nhiều kích thước, kệ trang trí Anzzar, decor phòng ngủ, phòng khách, thanh gỗ treo tường màu nâu socola",199708120,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p199708120.html?spid=199708122,90000,4.8,24,311,anzzar,2026-04-29 13:51:00
Tựa Lưng Ghế Văn Phòng Công Thái Học Đệm Tựa Lưng Văn Phòng,199638326,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p199638326.html?spid=201127042,415000,4.8,93,727,Office Chill,2026-04-29 13:51:00
"Rèm Rido Trang Trí cửa Sổ,Ri Đô Vải Cản Nắng Cực Tốt ,Lan Can Cầu Thang,Gác Xép",196569248,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p196569248.html?spid=196569274,56840,4.6,20,118,MODERO,2026-04-29 13:51:00
"Rèm Cửa Sổ Cao Cấp,Chống Nắng Tốt,Nhiều Màu,Kích Thước",196564480,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p196564480.html?spid=196564488,65000,4.8,6,38,MODERO,2026-04-29 13:51:00
"Bánh xe nhựa PU cao cấp cho ghế xoay văn phòng, ghế giám đốc, ghế game, ghế công thái học, ghế trưởng phòng - Tự lắp ráp đơn giản tại nhà",194134492,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p194134492.html?spid=194134493,55000,4.0,1,36,Capta,2026-04-29 13:51:00
"Ghế Xoay Văn Phòng Lưới Làm Việc Công Thái Học Deli - Tay Gập Thông Minh, Có Chỉnh Lưng, Lưới Thoáng Khí, Chân Xoay Tiện Ích, Đệm Ghế Êm Aí, Nhiều Màu - Phù Hợp Học Sinh, Văn Phòng, Game Thủ, Gaming - Hàng chính hãng",193081467,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p193081467.html?spid=259514987,1649000,4.5,143,597,Deli,2026-04-29 13:51:00
GHẾ - GIƯỜNG XẾP  DUY LỢI INOX CỠ ĐẠI (TẶNG 10 MÓC ÁO KÉP NHỰA CAO CẤP DUY LỢI),190732185,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p190732185.html?spid=190732186,1289000,5.0,16,64,Duy Lợi,2026-04-29 13:51:00
Kệ để máy tính đa năng KM03 kệ màn hình máy tính để bàn bằng gỗ bền chắc mẫu đẹp có hộc cất bàn phím ngăn để tài liệu,189885445,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p189885445.html?spid=189885447,209000,5.0,9,38,OEM,2026-04-29 13:51:00
Hộp Nhựa Đựng Bông Tẩy Trang Dạng Ống PaKaSa - Hàng Chính Hãng,167732668,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p167732668.html?spid=167732670,59590,4.5,6,44,PaKaSa,2026-04-29 13:51:00
Bàn làm việc bàn học bàn máy tính kệ lửng,131407909,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p131407909.html?spid=131407948,352750,4.5,58,189,HG FURNITURE H i G,2026-04-29 13:51:00
bàn làm việc chân gấp gọn,131407865,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p131407865.html?spid=131407885,450000,4.5,109,451,HG FURNITURE H i G,2026-04-29 13:51:00
Bàn làm việc bàn học 80*40cm,131407864,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p131407864.html?spid=131407878,289000,4.2,5,33,HG FURNITURE H i G,2026-04-29 13:51:00
( Bảo hành 3 năm) Bàn Để Laptop Gấp Đa Năng Bàn Học Thông Minh,116729673,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p116729673.html?spid=116729674,599000,4.6,25,148,ABATSU,2026-04-29 13:51:00
Đệm Ngồi Thông Minh Lưu Thông Máu Thoáng Khí PEAFLO,116198000,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng khách,https://tiki.vn/product-p116198000.html?spid=116198001,125000,4.5,108,493,PEAFLO,2026-04-29 13:51:00
"Kệ gỗ treo tường, kệ trang trí Anzzar, decor phòng ngủ, phòng khách, giá gỗ treo tường",107411559,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ăn,https://tiki.vn/product-p107411559.html?spid=107411561,120000,4.6,78,404,anzzar,2026-04-29 13:51:00
KÉT SẮT MINI HÌNH QUYỂN SÁCH,88074012,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất phòng ngủ,https://tiki.vn/product-p88074012.html?spid=278501294,119000,5.0,2,8,OEM,2026-04-29 13:51:00
"Kệ sách mini bằng gỗ, để trên bàn làm việc hoặc bàn học. Hàng tự lắp ghép đa năng, thông minh. Gồm 3 màu đẹp hiện đại.",56247996,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p56247996.html?spid=143339834,59500,4.0,1,8,OEM,2026-04-29 13:51:00
BÀN MÁY TÍNH bàn làm việc kèm kệ sách blv11,48037948,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p48037948.html?spid=48037954,845250,5.0,3,12,HUCHU,2026-04-29 13:51:00
kệ sách đứng đa tầng gp42,45067450,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p45067450.html?spid=45067452,622380,4.2,6,20,HUCHU,2026-04-29 13:51:00
Kệ Sách 4 Tầng Rộng 60cm,21171713,tiki,Nhà Cửa - Đời Sống,Nội thất,"Nội thất phòng học, làm việc",https://tiki.vn/product-p21171713.html?spid=248179906,650000,0.0,0,4,OEM,2026-04-29 13:51:00
Ron lông nheo cạnh cửa lông chống ồn ngăn bụi cửa sổ và cửa đi trong Gia đình,278218965,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p278218965.html?spid=278219846,52000,0.0,0,0,OEM,2026-04-29 13:51:00
Đèn Pin Led Cob 2 Chế Độ Chống Nước Di Động Có Tay Cầm Dùng 3 Pin Aa Tiện Dụng,277999940,tiki,Nhà Cửa - Đời Sống,Nội thất,Nội thất khác,https://tiki.vn/product-p277999940.html?spid=277999941,72000,0.0,0,1,OEM,2026-04-29 13:51:00
