title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bàn Thờ Thần Tài Thổ Địa - Song Long Chầu Nguyệt BTN-01,279284223,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279284223.html?spid=279284226,399000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Phụ Kiện Bàn Thờ Thần Tiền Và Tiên Đồng Ngọc Nữ Manihum - Quà Tặng Phong Thủy May Mắn Chiêu Tài - BTNPK-01,279285665,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279285665.html?spid=279285666,179000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Bục Gỗ Tam Cấp MANIHUM Đài Tụ Tam Lộc - Quà Tặng May Mắn Phong Thủy Chiêu Tài - BTL-01,279285430,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279285430.html?spid=279285431,179000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Phụ Kiện Bàn Thờ Tượng Di Lặc Và Tiên Đồng Ngọc Nữ Manihum - Quà Tặng Phong Thủy May Mắn Chiêu Tài - BTNPK-02,279286090,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279286090.html?spid=279286091,179000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Phụ Kiện Bàn Thờ Bộ Mâm Cúng Tam Vị Cát Tường Manihum - Quà Tặng Phong Thủy May Mắn Chiêu Tài - BTLPK-02,279286132,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279286132.html?spid=279286133,239000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Gói 10 Viên Băng Phiến Xua Đuổi Chuột Siêu Hiệu quả,279293036,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p279293036.html?spid=279293042,33500,5.0,1,0,TIEN ANH HOUSE,2026-04-29 13:53:23
"MÓC TREO Đồng hồ báo thức điện tử để bàn màn hình đa chức năng thời gian, lịch, báo thức, nhiệt độ - Giao Màu Ngẫu Nhiên",279008228,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Đồng hồ,https://tiki.vn/product-p279008228.html?spid=279327560,160000,4.0,1,6,LuckyJQR,2026-04-29 13:53:23
"Bản đồ Tờ gấp Việt Nam, Thế giới, Hà Nội, Asean",278992098,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278992098.html?spid=278992208,50000,5.0,1,10,OEM,2026-04-29 13:53:23
"Nẹp gỗ Bản đồ Việt Nam, Thế giới, Hà Nội, Asean",278992051,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278992051.html?spid=278992055,170000,0.0,0,0,OEM,2026-04-29 13:53:23
"Dây Liễn Treo Tết Hình Quạt Đỏ – Bộ Chữ Vạn Sự Như Ý / Chúc Mừng Năm Mới – Trang Trí Tết 2026, Decor Nhà Cửa, Cửa Ra Vào - HÀNG CHÍNH HÃNG MINIIN",278943703,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278943703.html?spid=278943705,79000,5.0,1,1,MINIIN,2026-04-29 13:53:23
Phụ Kiện Ông Thần Tài Dát Vàng Cao Cấp TL04 - Tặng Túi Gấm Lộc,273933353,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p273933353.html?spid=273933354,159000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
Bàn Thờ Thần Tài Ông Địa Manihum Kim Tài Phúc Địa -Quà Tặng Phong Thủy May Mắn Chiêu Tài- BTN-02,279285399,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p279285399.html?spid=279285400,368000,0.0,0,0,Thế Giới Tí Hon,2026-04-29 13:53:23
"Mèo thần tài lục lạc , may mắn thu hút tài lộc , có khe để tiền , kèm đệm lót xinh xắn  ,thu hút khách hàng , mang vận khí tốt lành , công việc kinh doanh thuận lợi  vạn sự hanh thông  xua tan vận đen ,đem nhiều may mắn đến cho gia chủ",276905028,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p276905028.html?spid=276905029,179000,0.0,0,1,LYNUSAN,2026-04-29 13:53:23
"Hoa lụa, combo 5 - 10 cành hoa hoàng phi yến dài 1m trang trí nhà cửa phong cách hiện đại AZ-105",94519471,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Lọ hoa & hoa trang trí,https://tiki.vn/product-p94519471.html?spid=94519473,225000,4.5,5,29,anzzar,2026-04-29 13:53:23
"Mèo thần tài lục lạc ,may mắn , thu hút tài lộc , có khe để tiền , kèm đệm lót xinh xắn  ,thu hút khách hàng , mang vận khí tốt lành , công việc kinh doanh thuận lợi vạn sự hanh thông xua tan vận đen ,đem nhiều may mắn đến cho gia chủ",276905026,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p276905026.html?spid=276905027,179000,0.0,0,0,LYNUSAN,2026-04-29 13:53:23
"Bản đồ Tờ rời Việt Nam, Thế giới, Hà Nội, Asean",278937825,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278937825.html?spid=278937829,100000,0.0,0,2,OEM,2026-04-29 13:53:23
"Nẹp gỗ Bản đồ Việt Nam, Thế giới, Hà Nội, Asean",278937745,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278937745.html?spid=278937759,170000,0.0,0,0,OEM,2026-04-29 13:53:23
"Bản đồ Tờ rời Việt Nam, Thế giới, Hà Nội, Asean",278910889,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278910889.html?spid=278913210,100000,1.0,1,6,OEM,2026-04-29 13:53:23
Bộ bảng nội quy tiêu lệnh PCCC,278692933,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278692933.html?spid=278692934,80000,0.0,0,3,OEM,2026-04-29 13:53:23
Hộp bút Kuromi Melody Cinnamoroll 7 món cute dễ thương hoạt hình Sanrio cho bé - giao mẫu ngẫu nhiên,278525672,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p278525672.html?spid=278525674,55000,0.0,0,0,TIEN ANH HOUSE,2026-04-29 13:53:23
"Đồng hồ báo thức điện tử để bàn màn hình đa chức năng thời gian, lịch, báo thức, nhiệt độ DH89",273054636,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Đồng hồ,https://tiki.vn/product-p273054636.html?spid=273054640,115000,5.0,13,90,PEAFLO,2026-04-29 13:53:23
"Tượng Mèo Vẩy Tay Tự Động Trưng Bày Cửa Hàng, Quán Ăn, Địa Điểm Kinh Doanh - Hàng Chính Hãng",191422218,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Vật phẩm phong thủy,https://tiki.vn/product-p191422218.html?spid=191422220,94962,4.8,5,28,PaKaSa,2026-04-29 13:53:23
Đồng hồ treo tường kim trôi không ồn minimalist phong cách tối giản trang trí phòng khách Bảo hành 12 tháng Deli,272484433,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Đồng hồ,https://tiki.vn/product-p272484433.html?spid=272484435,225000,4.8,42,279,Deli,2026-04-29 13:53:23
"Đồng hồ báo thức điện tử để bàn màn hình đa chức năng thời gian, lịch, báo thức, nhiệt độ DH89",45300792,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Đồng hồ,https://tiki.vn/product-p45300792.html?spid=184600534,115000,4.5,37,276,OEM,2026-04-29 13:53:23
Tranh ảnh thế giới ép bóng - Hàng đẹp,278075008,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Tranh trang trí,https://tiki.vn/product-p278075008.html?spid=278075010,139000,0.0,0,23,PROLEA PL,2026-04-29 13:53:23
Combo 10 Lồng Đèn Đỏ Trang Trí Tết Bằng Nilon Chống Nước Mẫu Đèn Tổ Ong - Hàng Chính Hãng MINIIN,276854292,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p276854292.html?spid=276854294,6000,5.0,2,47,MINIIN,2026-04-29 13:53:23
Combo 2 Khung Bằng Khen 21x30CM Hoa Văn Đẹp chất lượng,276828044,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p276828044.html?spid=276828053,175000,0.0,0,2,OEM,2026-04-29 13:53:23
"Thảm Trải Sàn Bali Hoạ Tiết Hoàng Gia Cổ Điển, Thảm Trải Phòng Khách Đế Cao Su Chống Trơn Trượt - Hàng Chính Hãng MINIIN",276408470,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p276408470.html?spid=276408472,199000,2.0,1,28,MINIIN,2026-04-29 13:53:23
"Cụm hoa cúc giả - 1 cụm 9 bông - dài 25cm - Cây giả, hoa lụa Decor trang trí nhà cửa",275485722,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Lọ hoa & hoa trang trí,https://tiki.vn/product-p275485722.html?spid=275485724,49000,0.0,0,8,ZooZoo,2026-04-29 13:53:23
Tượng Chú Tiểu Bình An Hoan Lạc Gốm Cát_ Hàng Chính Hãng,275324519,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Trang trí nhà cửa khác,https://tiki.vn/product-p275324519.html?spid=275324526,149000,0.0,0,1,Kai Nguyễn,2026-04-29 13:53:23
"Bộ 20 Tấm Xốp Dán Tường 3D PVC Gỗ Kem 60x30cm Keo Sẵn Dày 2,5mm Cao Cấp, Sang Trọng",275261808,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Decal & giấy dán tường,https://tiki.vn/product-p275261808.html?spid=275261809,220000,4.0,1,5,XỐP 3D KN,2026-04-29 13:53:23
Bộ 5 Tấm Xốp Dán Tường 3D Giả Gạch Màu 70cmx77cm,275224132,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Decal & giấy dán tường,https://tiki.vn/product-p275224132.html?spid=275224134,65000,4.5,5,93,XỐP 3D KN,2026-04-29 13:53:23
"Bộ 10 Tấm Xốp Dán Tường 3D PVC Vân Đá Trắng Chỉ Vàng 60x30cm Keo Sẵn Dày 2,5mm Cao Cấp, Sang trọng",275224046,tiki,Nhà Cửa - Đời Sống,Trang trí nhà cửa,Decal & giấy dán tường,https://tiki.vn/product-p275224046.html?spid=275224047,110000,5.0,3,12,XỐP 3D KN,2026-04-29 13:53:23
