title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Nước tẩy bồn cầu Yesus Toilet Bowl Cleaner tẩy siêu mạnh Thái Lan 500g,279302885,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p279302885.html?spid=279302886,95000,0.0,0,0,Doori,2026-04-29 14:01:20
Combo 10 Vỉ Viên Treo Bồn Cầu Evershine (5 Chanh + 5 Lavender)  - Sạch Bay Vi khuẩn Sau Mỗi Lần Xả Nước,279273535,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p279273535.html?spid=279273536,275000,0.0,0,0,Evershine,2026-04-29 14:01:20
Combo 6-24 chai Nước tẩy đa năng khử mùi chuyên dụng ZONROX JAVEL 6in1 500ml,279232564,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p279232564.html?spid=216435736,78600,0.0,0,3,Zonrox,2026-04-29 14:01:20
"[THƠM-SẠCH-DIỆT KHUẨN] Cốc tẩy bồn cầu, toilet Mr.Fresh 180g Nhiều Hương",278789582,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p278789582.html?spid=278789586,57000,0.0,0,0,OEM,2026-04-29 14:01:20
"Viên diệt khuẩn, khử mùi hôi bồn rửa - Hương cam - Hàng Nội Địa Nhật Bản",278717086,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p278717086.html?spid=278717088,39500,0.0,0,0,Kokubo,2026-04-29 14:01:20
"Chổi cọ toilet cán dài, đầu cong Seiwa Pro 40cm",278498233,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p278498233.html?spid=278498234,41500,0.0,0,0,Seiwa-Pro,2026-04-29 14:01:20
Nước tẩy rửa bồn cầu đậm đặc 960ml,278398907,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p278398907.html?spid=278398908,100000,0.0,0,0,LuckyJQR,2026-04-29 14:01:20
"Combo 2 Can Dung Dịch Vệ Sinh, Diệt Khuẩn, Khử Mùi Chuồng Trại, Chăn Nuôi ASFA FARM 5 lít",277165264,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p277165264.html?spid=277165265,515000,0.0,0,0,Asfa,2026-04-29 14:01:20
"Nước Tẩy Rửa Bồn Cầu Logeski 500ml, công thức kiềm không làm hư hại các sản phẩm men sứ, gạch nhà vệ sinh",276937530,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p276937530.html?spid=276937531,129000,0.0,0,0,FTAKY,2026-04-29 14:01:20
"Viên tẩy bồn cầu Denkmit Đức 16 viên diệt khuẩn, khử mùi hôi, sạch mảng bám",276754665,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p276754665.html?spid=276754666,125000,0.0,0,0,Doori,2026-04-29 14:01:20
"Camera Kiểm Tra Đường Ống RIDGID (55903) Màn Hình 3.5"" Camera Cầm Tay Số 1 Tại Mỹ - Hàng Chính Hãng",276425782,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p276425782.html?spid=276425783,22050000,0.0,0,0,RIDGID,2026-04-29 14:01:20
Tẩy Toilet Công Nghệ Sinh Học Bell Home Hương Quế 1KG Đỏ,276386875,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p276386875.html?spid=276386876,49000,0.0,0,0,Bellhome ,2026-04-29 14:01:20
"Nước lau kính Nanoka 500ml Siêu sạch, hạn chế bám bụi, không để lại vết sọc trên kính",263052696,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p263052696.html?spid=263052697,30000,0.0,0,0,NANOKA,2026-04-29 14:01:20
Chai tẩy bụi dạng áp suất hơi thổi sạch các lớp bụi bám cho các bề mặt tiếp xúc nhỏ hoặc các vi mạch Sprayway 805 Made In USA,247680551,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p247680551.html?spid=247680552,375000,0.0,0,0,Sprayway,2026-04-29 14:01:20
Chai xịt tẩy rửa các chất dầu mỡ TPR063,207903253,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p207903253.html?spid=207903255,135000,0.0,0,2,TPR,2026-04-29 14:01:20
Hóa chất tẩy rửa cáu cặn nồi hơi tháp giải nhiệt cooling tower ở tại Hải Dương Hải Phòng Thái Nguyên,207280215,tiki,Chăm sóc nhà cửa,Vệ sinh nhà tắm,Bộ sản phẩm vệ sinh nhà cửa,https://tiki.vn/product-p207280215.html?spid=207280216,2550000,0.0,0,0,Adana,2026-04-29 14:01:20
