title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
thanh lí tủ lạnh sanyou 130 lít giá rẻ ( LH / ZL : 0966717185) để đặt hàng nhanh chóng,2596726847,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2596726847.html,1500000,0.0,0,0,No Brand,2026-05-04 12:32:20
tủ lạnh mini 50 lít nhẹ điện nguyên zin ( lh / zl 0976854244) để đặt hàng nhanh chóng,2686096062,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2686096062.html,1300000,5.0,3,12,Sanyo,2026-05-04 12:32:20
"Tủ Lạnh SANYO SR-125PN 120L – Nhỏ Gọn, Tiết Kiệm Điện, Phù Hợp Gia Đình Nhỏ - Sinh Viên. lh: @394_@63_632",13344277969,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i13344277969.html,1700000,0.0,0,0,No Brand,2026-05-04 12:32:20
Tủ lạnh mini 8L 12L 16L  (Hàng sẵn 16L),2609316505,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2609316505.html,820000,4.7,37,133,No Brand,2026-05-04 12:32:20
Thanh lí tủ lạnh sanyou 110l giá rẻ [LH /ZL : 0966717185 ] để đặt hàng nhanh chóng,2593873970,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2593873970.html,1500000,0.0,0,0,No Brand,2026-05-04 12:32:20
(BH 1 năm) Tủ lạnh mini 2 chế độ nóng lạnh 4 lít cho gia đình và trên ô tô,2389999631,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2389999631.html,699000,5.0,9,25,ALOMA,2026-05-04 12:32:20
Tủ lạnh sanyou 110 lít đã qua sử dụng [ LH / ZL 0966717185 ] để đặt hàng nhanh chóng,2695649931,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2695649931.html,1500000,0.0,0,0,No Brand,2026-05-04 12:32:20
NOER 8 lít Tủ lạnh mini Màn hình hiển thị nhiệt độ kỹ thuật số Cửa đơn Tủ lạnh ô tô Di động Hộ gia đình Hộp làm mát mini Tủ lạnh thực phẩm đẹp,13369411374,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i13369411374.html,396652,0.0,0,0,allcoupon,2026-05-04 12:32:20
tủ lạnh sanyou 120 lít xả tuyết tự động ( LH / ZL 096677185 ) để đặt hàng nhanh chóng,2756231099,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2756231099.html,1800000,0.0,0,0,No Brand,2026-05-04 12:32:20
"Tủ lạnh VBELL 90L hai lớp, Hiệu làm lạnh nhanh ngăn đá và ngăn lạnh",1638565749,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i1638565749.html,2600000,3.9,11,41,huayra,2026-05-04 12:32:20
tủ lạnh mini 90 lít làm lạnh tốt đông đá nhanh ( LH / ZL 0966717185 ) để đặt hàng nhanh chóng,2598105699,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2598105699.html,1300000,0.0,0,0,No Brand,2026-05-04 12:32:20
[ GIAO SAU 04/05] Tủ lạnh Panasonic Inverter 251L NR-PB251CPSV Ngăn đông mềm Ngăn đá dưới,2427294952,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2427294952.html,9790000,4.9,232,775,Panasonic,2026-05-04 12:32:20
"Tủ Lạnh Mini 6 Lít, Tủ Đựng Mỹ Phẩm, Để Trên Ô Tô Tiện Lợi, Làm Lạnh Nhanh Tiết Kiệm Điện Và Không Gian",2609314653,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2609314653.html,547000,4.5,11,38,No Brand,2026-05-04 12:32:20
Tủ lạnh mini 90 lít nhỏ gọn nhẹ điện [ LH / ZL 0966717185 ] để đặt hàng nhanh chóng,2679148126,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng lớn,Tủ lạnh,https://www.lazada.vn/products/pdp-i2679148126.html,1200000,0.0,0,0,No Brand,2026-05-04 12:32:20
