title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Ấm siêu tốc Thái Jiplai 2.5L,3007190439,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i3007190439.html,95000,3.7,3,15,No Brand,2026-05-04 14:49:59
Elbbkg Thép không gỉ thớt giá lưu trữ hộ gia đình nồi nắp giá nhà bếp dụng cụ lưu trữ giá,3263972378,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i3263972378.html,28287,4.8,17,98,Elbbkg,2026-05-04 14:49:59
Ấm siêu tốc INOX/THUỶ TINH chịu nhiệt 2.3L bình đun nhanh 1500W cách nhiệt,2559418943,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2559418943.html,95000,5.0,5,26,No Brand,2026-05-04 14:49:59
"Ấm siêu tốc 2.5L Cuckoo GD-ST20, bình đun nước siêu tốc, công suất 1500W đun sôi cực nhanh, dung tích 2.5L, hai lớp cách nhiệt an toàn, ấm đun nước siêu tốc, tiết kiệm điện năng, ấm siêu tốc mini, ấm siêu tốc thái lan, am dun nuoc",2461543991,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2461543991.html,109000,4.8,45,120,No Brand,2026-05-04 14:49:59
"Kệ Đựng Gia Vị Nhà Bếp Chữ B - Kệ Đựng Đồ Dùng Nhà Bếp, kệ gia vị 2 tầng Có Ống Đũa",2506448984,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2506448984.html,40000,4.7,32,131,No Brand,2026-05-04 14:49:59
Ấm siêu tốc thủy tinh 2L CUCKOO GD-ST16 Bình siêu tốc trong suốt Cường lực Đun sôi nhanh Tự ngắt khi Sôi,2652114536,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2652114536.html,129000,4.3,6,14,No Banh,2026-05-04 14:49:59
"Ấm đun siêu tốc, Bình đun nước thủy tinh siêu tốc 1.8L - Bảo Hành 1 Năm - Ấm đun  siêu tốc- An toàn cho mọi gia đình, ấm đun nước siêu tốc, âm nước siêu tốc thái lan, bình đun nước giữ nhiệt, am sieu toc giá rẻ",2007253507,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2007253507.html,125000,4.8,585,2000,ZODAN,2026-05-04 14:49:59
Ấm Siêu Tốc JipLai Thái Lan 2.5L - Ấm Siêu Tốc Thái Công Nghệ Inverter Chống Nóng,2535034022,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2535034022.html,79000,0.0,0,0,No Brand,2026-05-04 14:49:59
"Ấm Siêu Tốc Cuckoo 2 Lớp, Công Suất Lớn 1500W,Dung Tích 2.5L An Toàn Tiết Kiệm Điện_ST19",2536376992,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i2536376992.html,99000,5.0,3,11,No Brand,2026-05-04 14:49:59
Leego Kệ Để Đồ Rửa Chén Bát Dốc Khăn，Kệ Treo Cạnh Bồn Rửa Chén Có Giá Nghiêng Hứng Nước,3155039888,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhà bếp,https://www.lazada.vn/products/pdp-i3155039888.html,46000,4.8,66,169,No Brand,2026-05-04 14:49:59
