title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Quạt mini GOOJODOQ cầm tay với 4000mAh,5 bánh răng gió mạnh,điều chỉnh mức 100 Level,Tiếng ồn nhỏ,có thể gập lại",2871595253,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2871595253.html,269000,4.9,2531,9700,GOOJODOQ,2026-05-04 12:22:40
"Máy xay đa năng OSAKA Nhật Bản nắp đồng 700ml tiện dụng - Máy say sinh tố, thịt, cá cầm tay , bảo hành 12 tháng , Máy Xay Đồ Ăn Dặm",2404591996,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2404591996.html,55000,4.6,272,1200,No Brand,2026-05-04 12:22:40
Máy Xay Sinh Tố Mini Cầm Tay Pin Sạc USB- Máy Xay Công Suất mạnh 6 Lưỡi giúp máy Xáy nhanh và mịn- Cối Nhựa Pp Cao Cấp Cứng Cáp và chống qua đập tốt.,2223217742,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2223217742.html,96800,4.2,95,304,No Brand,2026-05-04 12:22:40
"Máy đánh trứng đa năng 7 Tốc độ ZODAN - Bảo hành 12 tháng - máy đánh bọt cà phê, máy trộn bột, cây đánh trứng, máy nhồi bột, máy đánh kem trộn, máy trộn kem, cây đánh trứng cầm tay",1987802355,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i1987802355.html,85000,4.9,2300,8100,ZODAN,2026-05-04 12:22:40
"Nồi lẩu điện đa năng mini SHANBAN công suất 600W 2 nấc điều chỉnh nhiệt, Dung tích 2000ml, Kèm xửng hấp Inox.",2368454005,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2368454005.html,139000,4.8,297,1000,No Brand,2026-05-04 12:22:40
"Ấm đun siêu tốc, Bình Đun Nước Siêu Tốc Thủy Tinh Cuckoo Dung Tích 2L, Công suất 1500W, Ấm Siêu Tốc Trong Suốt thuỷ tinh chống sốc nhiệt, có Đèn Led, Tự Ngắt Khi Sôi, Bình Siêu Tốc, Ấm Đun Nước, Ấm Siêu Tốc Mini",2400325458,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2400325458.html,79000,4.8,281,847,No Brand,2026-05-04 12:22:40
"Ấm siêu tốc 2.5L Cuckoo GD-ST20, bình đun nước siêu tốc, công suất 1500W đun sôi cực nhanh, dung tích 2.5L, hai lớp cách nhiệt an toàn, ấm đun nước siêu tốc, tiết kiệm điện năng, ấm siêu tốc mini, ấm siêu tốc thái lan, am dun nuoc",2461543991,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2461543991.html,109000,4.8,45,120,No Brand,2026-05-04 12:22:40
Chảo Chống Dính Mini Tiện Lợi,1372016714,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i1372016714.html,58400,4.8,262,1700,No Brand,2026-05-04 12:22:40
Máy Rửa Mặt Cầm Tay FOREVER MINI Cao Cấp. Máy rửa mặt Forever mini hàng nội địa Trung,3080900726,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i3080900726.html,59000,0.0,0,0,No Brand,2026-05-04 12:22:40
"Phích vuông thái 2.3L 3932, Phích mini giữ nhiệt tiện lợi, Phích Đá giữ nhiệt lên đến 8h, Phích Đá Việt Nhật cao cấp. Sắp xếp nhà cửa Đồ Dùng gia đình MIKA",2631341412,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2631341412.html,62900,4.7,20,82,Việt Nhật,2026-05-04 12:22:40
"Máy Massage Cầm Tay Mini KH-720 Với 6 Chế Độ Massage Toàn Thân, 4 Đầu Thay Thê Phù Hợp, Pin Tốt Hoạt Động Lên Đến 5h, Cổng Sạc Type C, Máy Massage Cầm Tay Cao Cấp.",3007058735,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i3007058735.html,99000,5.0,5,17,No Brand,2026-05-04 12:22:40
"Bộ nạo rau củ quả 5 LƯỠI DAO , INOX 304 không gỉ, đồ bào rau củ đa năng cao cấp đa năng tiện dụng",2491265247,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2491265247.html,45000,4.7,59,636,No Brand,2026-05-04 12:22:40
(loại xịn BH 3 năm )Bếp mini 1000W- Bếp Điện hơ lá trầu -hơ cho bé và mẹ-nấu nướng đồ ăn Siêu Tiết Kiệm loại tốt,1298136002,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i1298136002.html,135000,4.9,695,2900,No Brand,2026-05-04 12:22:40
(loại xịn BH 3 năm )Bếp điện mini 1000- Bếp Điện hơ lá trầu -hơ cho bé và mẹ-nấu nướng đồ ăn Siêu Tiết Kiệm,2416581635,lazada,TV & Thiết Bị Điện Gia Dụng,Điện gia dụng nhỏ,Đồ gia dụng nhỏ,https://www.lazada.vn/products/pdp-i2416581635.html,95000,4.4,7,22,No Brand,2026-05-04 12:22:40
