title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Hộp mặt nạ Yến sào Hydrogel làm sáng và săn chắc da,279247038,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p279247038.html?spid=279247039,330000,0.0,0,0,Sanest Khánh Hòa,2026-04-24 14:47:11
Mặt nạ bùn trà xanh giảm mụn làm sạch da TreeChada Cleansing Mask Thái Lan 100g,279230514,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p279230514.html?spid=279230515,275000,0.0,0,1,Doori,2026-04-24 14:47:11
Mặt Nạ Ngủ Dưỡng Ẩm Phục Hồi Da Chuyên Sâu Belif Multi Vitamin Mask 120ml,278279821,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p278279821.html?spid=278279822,750000,0.0,0,0,Belif,2026-04-24 14:47:11
Mặt nạ chống lão hóa The Derma Best VC100 + Retinol 5 Sheets,277619363,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p277619363.html?spid=277619364,180000,0.0,0,0,Quality 1st,2026-04-24 14:47:11
Bộ 5 mặt nạ keo ong tái tạo da 2 trong 1 CNP Laboratory Propolis Energy Ampule 2-Step Mask (5 x 41.5ml),276430867,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p276430867.html?spid=276430868,375000,0.0,0,0,CNP Laboratory,2026-04-24 14:47:11
Mặt Nạ Tinh Chất Rau Má Saborino Làm Dịu Da Và Dưỡng Ẩm Chuyên Sâu cho da mụn Medical Facial Sheet Mask Acne 10 Miếng,275844329,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p275844329.html?spid=275844330,290000,0.0,0,1,Saborino,2026-04-24 14:47:11
Mặt Nạ Keana Giảm Mụn Thu Nhỏ Lỗ Chân Lông Tightening Mask 10 Miếng,275843809,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p275843809.html?spid=275843810,175000,0.0,0,1,Keana,2026-04-24 14:47:11
"100, 50 Miếng Mặt Nạ Làm Dịu Da SOOTHING Awakethe Cell Hàn Quốc - Phục Hồi, Làm Dịu (Chính Hãng)",275491385,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p275491385.html?spid=275491389,1500000,0.0,0,1,AWAKETHECELL,2026-04-24 14:47:11
"COMBO 4 BỘT MẶT NẠ DẺO TBM HÀN QUỐC (Cool, Vitamin C, Than bùn, Collagen) 1000g/ gói - Chính hãng, Có giấy phép BYT",273249728,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p273249728.html?spid=273249731,2159000,0.0,0,0,TBM,2026-04-24 14:47:11
Mặt Nạ Dưỡng Da Tinh Chất Acid Hyaluronic Bổ Sung Hyaluronic Clear Turn Kosé Nhật Bản 30 Miếng,272225930,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p272225930.html?spid=272225931,259000,0.0,0,1,Clear Turn,2026-04-24 14:47:11
Mặt Nạ Nâng Cơ Giúp Làm Săn Chắc Da Clear Turn Kose Nhật Bản (40 Miếng/Túi),270507557,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p270507557.html?spid=270507558,399000,0.0,0,2,Clear Turn,2026-04-24 14:47:11
Mặt nạ trắng da ngừa nám Transino Whitening Facial EX,252638447,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p252638447.html?spid=252638448,489000,0.0,0,0,Transino,2026-04-24 14:47:11
"Hộp 10 miếng mặt nạ H.A Cao cấp Hàn Quốc BENEW - Hyaluronic Vitamin Complex siêu cấp ẩm, bổ sung dưỡng chất",242739278,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p242739278.html?spid=242739279,230000,0.0,0,1,Benew,2026-04-24 14:47:11
Bộ 10 miếng mặt nạ Hàn Quốc Tinh chất Hoa hồng - Dabo First Solution Mask Pack Rose,194013249,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p194013249.html?spid=194013250,145000,0.0,0,1,Dabo,2026-04-24 14:47:11
Mặt Nạ Dưỡng Trắng - Nâng Cơ - Giảm Nhăn Nhân Sâm VK II ( LSW ) ( 6 miếng/hộp ),186689883,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p186689883.html?spid=186689884,120000,0.0,0,0,Love Skin White,2026-04-24 14:47:11
MẶT NẠ CHIẾT XUẤT ĐẬU NÀNH SỮA CHUA DƯỠNG ẨM VÀ LÀM SÁNG DA NHẬT BẢN  TOFU MORITAYA  (HŨ 150GR),173406460,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p173406460.html?spid=173406462,429000,5.0,1,5,Tamanokoshi,2026-04-24 14:47:11
Mặt nạ trắng da Skinavis Brightening Mask - Hộp 10 miếng,172001238,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p172001238.html?spid=172001239,450000,0.0,0,5,SKINAVIS,2026-04-24 14:47:11
"Mặt nạ đất sét giảm mụn đầu đen, kiềm dầu DERMEDEN Exfoliating Mask AHA 50ml",154523235,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p154523235.html?spid=154523248,900000,0.0,0,2,Dermeden,2026-04-24 14:47:11
Mặt nạ Hyaluronic Acid tinh khiết siêu cấp ẩm căng mọng tế bào Tegoder Hyaluronic Acid face mask 200 ml mã 6156,124390704,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p124390704.html?spid=124390709,1699000,0.0,0,9,Tegoder,2026-04-24 14:47:11
Mặt nạ vàng 24K dưỡng da và tăng cường độ ẩm Gold Mask Face Nutrition Deep Hydration,110015115,tiki,Làm Đẹp - Sức Khỏe,Chăm sóc da mặt,Mặt nạ,https://tiki.vn/product-p110015115.html?spid=110015116,650000,0.0,0,3,GOLD SNAIL,2026-04-24 14:47:11
