title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Áo Len Cardigan Dệt Kim Dài Tay Cổ Tròn Cho Nam Áo Khoác Ngoài Phong Cách Mỹ Áo Khoác Len Dày Thoáng Khí Màu Trơn,3299296297,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3299296297.html,158400,0.0,0,0,No Brand,2026-05-01 02:08:53
Áo Len Cardigan Dệt Kim Cổ Đứng Mùa Thu Đông Mới Cho Nam Dáng Rộng Cỡ Lớn Dài Tay Lót Lông Cừu Áo Len Dệt Kim Thường Ngày,3252856339,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3252856339.html,163200,5.0,2,0,No Brand,2026-05-01 02:08:53
PEIXI | Áo Kẹp Cổ Tròn Tay Ngắn Màu Xám Cao Cấp Thu Đông,13319279214,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13319279214.html,187920,0.0,0,0,PEIXI,2026-05-01 02:08:53
Incerun cardigan cho hợp thời trang nam baggy đồng bằng tay áo dài mùa thu phong cách phương Tây mặc dài #1013,3216976281,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3216976281.html,209584,5.0,1,0,INCERUN,2026-05-01 02:08:53
Áo Len Cardigan Nam Phong Cách Mỹ Cổ Điển Thường Ngày Màu Trơn Dài Tay Dài Thường Xuyên Không Có Thương Hiệu Mùa Đông 2025,3225762232,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3225762232.html,209600,5.0,0,0,No Brand,2026-05-01 02:08:53
Áo Khoác Nam Cardigan Nam Len Cao Cấp Thời Trang SZone SAL219,957784691,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i957784691.html,227000,0.0,0,0,SZone,2026-05-01 02:08:53
"Áo Khoác Cardigan Nam Dáng Ôm, Dệt Kim, Thời Trang Thu Đông, Áo Len Mặc Thường Ngày, Tay Dài, Áo Khoác Ngoài Thoải Mái",13328559897,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13328559897.html,229600,0.0,0,0,No Brand,2026-05-01 02:08:53
PEIXI | Áo Sweater Dài Oversized Eo Rộng Phong Cách Thoải Mái Elegance,13319708518,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13319708518.html,272700,0.0,0,0,PEIXI,2026-05-01 02:08:53
Nam Size Lớn Dệt Kim Cardigan Tay Dài Màu Nguyên Chất Sợi Mở Áo Khoác Thu Đông Nam Áo Len Áo Khoác Ngoài,13340047905,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13340047905.html,276800,0.0,0,0,No Brand,2026-05-01 02:08:53
"Áo Len Cardigan Nam Dáng Rộng, Cổ V, Tay Dài, Chất Liệu Dệt Kim, Thời Trang Thu Đông Cao Cấp, Phong Cách Lười Biếng, Đa Năng, Áo Khoác Ngoài",13340337254,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13340337254.html,277600,0.0,0,0,No Brand,2026-05-01 02:08:53
"Áo Khoác Cardigan Dệt Kim Nhẹ Dành Cho Nam Áo Len Dài Phong Cách Giản Dị Áo Len Dài Phong Cách Hợp Thời Trang Áo Khoác Ngoài Mùa Xuân, Mùa Thu Áo Thun Thời Trang",3235432975,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3235432975.html,278400,0.0,0,0,No Brand,2026-05-01 02:08:53
"Áo Len Cardigan Nam Dài Trung Bình, Kiểu Dáng Thời Trang, Chất Liệu Dệt Kim, Chống Gió, Thích Hợp Cho Mùa Thu Đông Xuân, Mẫu Mới Về.",3262751352,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3262751352.html,278400,0.0,0,0,No Brand,2026-05-01 02:08:53
Áo Len Dệt Kim Nam Mở Cardigan Dáng Rộng Thường Ngày Dài Tay Màu Trơn Phong Cách Hàn Quốc Cặp Đôi Thời Trang Mùa Thu Thời Trang Mỹ Mới,13359619070,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13359619070.html,280000,0.0,0,0,No Brand,2026-05-01 02:08:53
Incerun cardigan cho nam giới thời trang dạo phố vân trơn vải nhung kẻ tay áo dài Đồng bằng phong cách Hàn Quốc mặc #1013,3216957678,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3216957678.html,293337,0.0,0,0,INCERUN,2026-05-01 02:08:53
"Áo Len Cardigan Dệt Kim Họa Tiết Fair Isle Màu Xanh Coban Dành Cho Nam, Phong Cách Vintage, Thời Trang Thu Đông Cho Cặp Đôi, Áo Khoác Ngoài Dệt Kim.",13354023545,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13354023545.html,294000,0.0,0,0,No Brand,2026-05-01 02:08:53
"Áo Len Cardigan Dệt Kim Họa Tiết Fair Isle Màu Xanh Coban Dành Cho Nam, Phong Cách Vintage, Thời Trang Mùa Thu, Áo Khoác Ngoài, Áo Gile Đôi.",13354842268,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13354842268.html,294000,0.0,0,0,No Brand,2026-05-01 02:08:53
Incerun cardigan cho mùa thu nam vân trơn tay áo dài nút lên ve áo dài phong cách phương Tây quần áo #1013,3216955713,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3216955713.html,337184,0.0,0,0,INCERUN,2026-05-01 02:08:53
"Áo Cardigan Len Nam Cỡ Lớn, Dáng Đơn, Phong Cách Thường Ngày, Thời Trang, Họa Tiết Săn Hươu, Áo Khoác Ngoài Mùa Thu/đông",13349976539,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13349976539.html,340000,0.0,0,0,No Brand,2026-05-01 02:08:53
QIAOJIAOYA | Áo Sweater Knit Dây Vai Elegance,3279361010,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3279361010.html,375300,4.461538461538462,13,0,QIAOJIAOYA,2026-05-01 02:08:53
JIFANPAUL | Áo Cardigan Len Nam Ấm Áp,3246335644,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i3246335644.html,378000,4.666666666666667,6,0,JIFANPAUL,2026-05-01 02:08:53
Áo cardigan nam hai mảnh giả áo len tay áo dài áo cardigan Hai Mảnh cho nam Áo áo cho doanh nhân trang trọng Dệt Kim Kiểu Color Block dài tay một hàng cổ áo nhồi lông và thoải mái,13359604293,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13359604293.html,385622,0.0,0,0,No Brand,2026-05-01 02:08:53
"Áo Len Cardigan Nam Dáng Rộng, Chất Liệu Dệt Kim Dày Dặn, Lót Lông Cừu Ấm Áp, Cổ Đứng, Phối Màu, Dáng Rộng Rãi, Tay Dài, Mùa Thu Đông.",13328160224,lazada,Thời Trang & Phụ Kiện Nam,Trang Phục Nam,Áo Len Và Cardigan Nam,https://www.lazada.vn/products/pdp-i13328160224.html,388000,0.0,0,0,No Brand,2026-05-01 02:08:53
