title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
PkYeG Mini 320ml dễ thương Thermos chai xách tay nhiệt Mug thép không gỉ cách nhiệt cup Vacuum flasks chai nước cho cô gái Kid,3199371296,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i3199371296.html,12986,3.0,6,0,PkYeG,2026-05-08 09:07:12
BÌnh giữ nhiệt cao cấp - Bình đựng nước chống nóng/ Bình giữ nhiệt 6oup 450ml chất lượng tốt ( Màu ngẫu nhiên)/ Bình Giữ Nhiệt Cao cấp chống va đập - Dung tích 450ml,260344824,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i260344824.html,13000,4.6,10,0,OEM,2026-05-08 09:07:12
Bình Giữ Nhiệt Xương Rồng Thủy Tinh Vỏ Nhựa Cao Cấp,1784752344,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i1784752344.html,14353,0.0,0,0,Nobard,2026-05-08 09:07:12
Bình Giữ Nhiệt NICE Lõi Thủy Tinh Vỏ Nhựa 400ml,2351381674,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i2351381674.html,14399,0.0,0,0,No Brand,2026-05-08 09:07:12
"Ly giữ nhiệt - Bình giữ nhiệt Gấu dâu lotso siêu cute 450ml, chất liệu inox cao cấp",2597130046,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i2597130046.html,15000,0.0,0,0,No Brand,2026-05-08 09:07:12
"Bình giữ nhiệt gấu dâu cao cấp Losto 450ml ly giữ nhiệt gấu dâu có quai xách tiện lợi, cốc giữ nhiệt tặng kèm ống hút",2418519187,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i2418519187.html,15000,5.0,1,0,No Brand,2026-05-08 09:07:12
BÌNH GIỮ NHIỆT 500ml. LY  GIỮ NHIỆT. NHỰA DUY TÂN.,3221478593,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i3221478593.html,15000,0.0,0,0,Duy Tân,2026-05-08 09:07:12
"Bình Đựng Nước, Chai Đựng Nước Giữ Nhiệt Hình Xương Rồng 400ml",2040311812,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i2040311812.html,15000,4.875,16,0,OEM,2026-05-08 09:07:12
Bình nước thủy tinh có lớp nhựa chống nóng giữ nhiệt 6oup 450ml,2097491632,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i2097491632.html,15000,0.0,0,0,No Brand,2026-05-08 09:07:12
[COD] SHNGki  Mini 320ml dễ thương chai xách tay Nhiệt Cốc thủy tinh cách nhiệt cup Vacuum flasks chai nước cho cô gái Kid,13312628256,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Bình Giữ Nhiệt,https://www.lazada.vn/products/pdp-i13312628256.html,18159,0.0,0,0,SHNGki,2026-05-08 09:07:12
