title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
TBRBG Tủ lạnh thực phẩm tươi sống lưu trữ Hộp tủ lạnh Bên Cửa Trái Cây Rau gia vị thực phẩm trường hợp container nhà bếp tổ chức Lưu trữ boxs,2828370526,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2828370526.html,0,4.0,3,0,TBRBG,2026-05-08 09:07:38
TBRBG Tủ lạnh thực phẩm tươi sống lưu trữ Hộp tủ lạnh Bên Cửa Trái Cây Rau gia vị thực phẩm trường hợp container nhà bếp tổ chức Lưu trữ boxs,2856281652,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2856281652.html,0,5.0,7,0,TBRBG,2026-05-08 09:07:38
ZTHOME [Home Tidying] Màu Sắc Ngẫu Nhiên Thực Phẩm Lưu Trữ Container Nhỏ Nhựa Chống Ẩm Container Mini Nhà Bếp Lưu Trữ Box Với Leakproof Nắp,2831860437,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2831860437.html,0,0.0,0,0,ZTHOME,2026-05-08 09:07:38
ZLinKJ 1 cái hộp bảo quản thực phẩm tủ lạnh đông lạnh thịt rau tươi giữ hộp trong suốt nhà bếp hộp lưu trữ kín,2918882944,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2918882944.html,0,5.0,4,0,ZLINKJ,2026-05-08 09:07:38
ZTHOME [Home Tidying] Tủ Lạnh Đông Lạnh Thịt Lưu Trữ Hộp Tươi-Giữ Hộp Cấp Thực Phẩm Trái Cây Thịt Đóng Băng Niêm Phong Hộp Nhà Bếp Lưu Trữ Trường Hợp,2834016894,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2834016894.html,0,0.0,0,0,ZTHOME,2026-05-08 09:07:38
TBRBG Hộp bảo quản thực phẩm trong suốt hộp lưu trữ kín nhà bếp hộp đựng rau thịt đông lạnh hộp đựng tươi,3181626651,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3181626651.html,0,5.0,2,0,TBRBG,2026-05-08 09:07:38
PkYeG Tủ lạnh thực phẩm tươi sống lưu trữ Hộp tủ lạnh Bên Cửa Trái Cây Rau gia vị thực phẩm trường hợp container nhà bếp tổ chức Lưu trữ boxs,3185224491,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3185224491.html,0,5.0,1,0,PkYeG,2026-05-08 09:07:38
TBRBG Nhà Bếp tủ lạnh lưu trữ hộp giữ tươi hộp rau thực phẩm Giỏ cống kín Crisper hai lớp tròn,3094043171,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3094043171.html,0,4.5,6,0,TBRBG,2026-05-08 09:07:38
GUOUqna Tươi hộp mì nhựa bảo quản thực phẩm hộp kín hình chữ nhật trái cây container tủ lạnh lưu trữ nhà bếp cung cấp công cụ nhà,3030186946,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3030186946.html,999,4.780487804878049,41,0,GUOUqna,2026-05-08 09:07:38
Seastina  nhà bếp hiện đại cửa tủ lạnh tổ chức để lưu trữ thực phẩm và tiết kiệm không gian,3166422272,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3166422272.html,1000,5.0,5,0,SeasTina,2026-05-08 09:07:38
SDJZT Giá kệ đứng nhiều lớp tiết kiệm không gian rustproof thớt thực tế nhà bếp tổ chức nồi nắp chủ sắt nghệ thuật nhà,2930333853,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i2930333853.html,2049,4.833333333333333,12,0,SDJZT,2026-05-08 09:07:38
"STAR FRUIT Bộ đựng lưu trữ thực phẩm hiện đại cho nhà bếp-Thiết kế kín khí, chống rò rỉ",3163483635,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3163483635.html,3000,5.0,12,0,STAR FRUIT,2026-05-08 09:07:38
"Thùng Lưu Trữ nhựa hình vuông lớn yzlong cho bàn làm việc, nhà bếp, phòng tắm-tổ chức mỹ phẩm, đồ ăn nhẹ, quần áo, và nhiều hơn nữa",3218152486,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Chứa Đồ Nhà Bếp & Phụ Kiện,https://www.lazada.vn/products/pdp-i3218152486.html,3000,5.0,3,0,YA ZHOU LONG,2026-05-08 09:07:38
