title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Đèn ngủ mini USB cho phòng ngủ, đèn bàn di động bảo vệ mắt",13380727296,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13380727296.html,7000,0.0,0,0,Lizard,2026-05-01 03:32:11
"Đèn LED mini USB tiện lợi, ánh sáng siêu sáng bảo vệ mắt, dùng cho phòng ngủ, ký túc xá và đi du lịch",13366744288,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13366744288.html,9000,0.0,0,0,Lizard,2026-05-01 03:32:11
"Đèn led USB thích hợp để bàn học, đọc sách đầu giường [có dây nối, củ sạc loại 1",1501181380,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i1501181380.html,9600,0.0,0,0,No Brand,2026-05-01 03:32:11
"Đèn chiếu sáng LED - 1 cụm có 6 đèn led 2W- học tập, đọc sách",1041282233,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i1041282233.html,10000,4.25,8,0,No Brand,2026-05-01 03:32:11
"[HCM] Thanh đèn LED mini 8 bóng, 24 bóng siêu sáng cổng cắm USB thích hợp để bàn học, đọc sách đầu giường -GL602",2741614804,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i2741614804.html,11000,4.682926829268292,41,0,No Brand,2026-05-01 03:32:11
"Đèn ngủ thông minh USB cảm biến chuyển động và điều khiển bằng giọng nói, đèn bàn nhỏ hiện đại cho phòng ngủ và ký túc xá",13365675986,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13365675986.html,11000,0.0,0,0,Lizard,2026-05-01 03:32:11
"Rosy Recess Portable USB LED Desk Lamp, Ultra-Bright Eye-Caring Night Light for Bedroom, Dorm, and Travel Use",13358426996,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13358426996.html,11000,0.0,0,0,Rosy Recess,2026-05-01 03:32:11
"[Hcm]Mini Led Light Bar with 8 Bulbs and 24 Super Bright Bulbs with USB Port, Suitable for Study Desk, Reading, Bedside Table",1482717571,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i1482717571.html,11000,4.837209302325581,129,0,No Brand,2026-05-01 03:32:11
"VINTLOOK Đèn ngủ mini USB cho phòng ngủ, đèn bàn di động bảo vệ mắt",3315832681,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3315832681.html,12000,5.0,4,0,VINTLOOK,2026-05-01 03:32:11
"Li-Ning Đèn LED mini USB tiện lợi, ánh sáng siêu sáng bảo vệ mắt, dùng cho phòng ngủ, ký túc xá và đi du lịch",13358085175,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13358085175.html,13000,0.0,0,0,Li-Ning,2026-05-01 03:32:11
"SEA JJT Đèn LED mini USB tiện lợi, ánh sáng siêu sáng bảo vệ mắt, dùng cho phòng ngủ, ký túc xá và đi du lịch",13358095014,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13358095014.html,13000,0.0,0,0,SEA JJT,2026-05-01 03:32:11
"QIHUISHI Portable USB LED Desk Lamp, Ultra-Bright Eye-Caring Night Light for Bedroom, Dorm, and Travel Use",13361003371,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13361003371.html,15000,0.0,0,0,QIHUISHI,2026-05-01 03:32:11
"STAR FRUIT⭐ USB LED Desk Lamp for Study, Modern Eye-Care Light for Bedroom & Office",3175384369,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3175384369.html,15000,5.0,2,0,STAR FRUIT,2026-05-01 03:32:11
"Li-Ning Đèn ngủ thông minh USB cảm biến chuyển động và điều khiển bằng giọng nói, đèn bàn nhỏ hiện đại cho phòng ngủ và ký túc xá",13358560624,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13358560624.html,16000,0.0,0,0,Li-Ning,2026-05-01 03:32:11
"SEA JJT Đèn ngủ thông minh USB cảm biến chuyển động và điều khiển bằng giọng nói, đèn bàn nhỏ hiện đại cho phòng ngủ và ký túc xá",13358039480,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13358039480.html,16000,0.0,0,0,SEA JJT,2026-05-01 03:32:11
"QIHUISHI Smart USB Night Light with Motion Sensor and Voice Control, Modern Mini Desk Lamp for Bedroom and Dormitory",13361061095,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i13361061095.html,16000,0.0,0,0,QIHUISHI,2026-05-01 03:32:11
Store HHDKE4 Đèn bàn cho nghiên cứu LED bàn đèn dimmiable Mini bảng Top cuốn sách ánh sáng văn phòng,3006522478,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Bàn,https://www.lazada.vn/products/pdp-i3006522478.html,16211,0.0,0,0,No Brand,2026-05-01 03:32:11
