title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Modern Minimalist Nordic Creative Floor Lamp,13370038501,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13370038501.html,66000,0.0,0,0,No Brand,2026-05-01 03:35:21
Large Smokeless Standing Wax Candle for Luxurious Event Decoration Dn023,2418307727,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i2418307727.html,70000,0.0,0,0,No Brand,2026-05-01 03:35:21
"USB Rechargeable LED Floor Lamp Motion Sensor-Adjustable Brightness, Perfect for Closet, Stairs, and Other Areas Ideal",13367555572,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13367555572.html,102577,0.0,0,0,No Brand,2026-05-01 03:35:21
MAKERVY 1/12 Đèn sàn LED nhà búp bê Ánh sáng Cổ điển Đèn sàn thu nhỏ  Cảnh nhỏ Mẫu đèn sàn Trang trí phòng khách,13374264366,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374264366.html,114000,0.0,0,0,MOPFOL,2026-05-01 03:35:21
PAZNUL Cổ điển Đèn sàn LED nhà búp bê 1/12 Ánh sáng Mẫu đèn sàn  Cảnh nhỏ Đèn sàn nhà búp bê Trang trí phòng khách,13374384384,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374384384.html,114000,0.0,0,0,Fudeshe,2026-05-01 03:35:21
NUBE Cổ điển Đèn sàn LED nhà búp bê Ánh sáng 1/12 Mẫu đèn sàn  Cảnh nhỏ Đèn sàn thu nhỏ Trang trí phòng khách,13373353162,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13373353162.html,114000,0.0,0,0,okhobby,2026-05-01 03:35:21
LUZMAR 1/12 Đèn sàn LED nhà búp bê Cổ điển Ánh sáng Đèn sàn nhà búp bê  Cảnh nhỏ Đèn sàn thu nhỏ Trang trí phòng khách,13374396392,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374396392.html,114100,0.0,0,0,petofqq,2026-05-01 03:35:21
LUXERY Cổ điển Đèn sàn LED nhà búp bê 1/12 Ánh sáng Đèn sàn nhà búp bê  Mô phỏng Đèn sàn thu nhỏ Trang trí phòng khách,13374316474,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374316474.html,115100,0.0,0,0,allcoupon,2026-05-01 03:35:21
MAJESTI Cổ điển Đèn sàn LED nhà búp bê Ánh sáng 1/12 Đèn sàn thu nhỏ  Mô phỏng Đèn sàn nhà búp bê Trang trí phòng khách,13374418222,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374418222.html,115100,0.0,0,0,BYOBYO,2026-05-01 03:35:21
CLARO Cổ điển Đèn sàn LED nhà búp bê 1/12 Ánh sáng Đèn sàn thu nhỏ  Mô phỏng Mẫu đèn sàn Trang trí phòng khách,13374440133,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374440133.html,115100,0.0,0,0,Benytro,2026-05-01 03:35:21
LUXURYLYN Cổ điển Đèn sàn LED nhà búp bê 1/12 Ánh sáng Đèn sàn nhà búp bê  Cảnh nhỏ Đèn sàn thu nhỏ Trang trí phòng khách,13374346259,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374346259.html,116000,0.0,0,0,couponhub,2026-05-01 03:35:21
FLORI Cổ điển Đèn sàn LED nhà búp bê Ánh sáng 1/12 Đèn sàn nhà búp bê  Cảnh nhỏ Mẫu đèn sàn Trang trí phòng khách,13368896083,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13368896083.html,116000,0.0,0,0,Skyblon,2026-05-01 03:35:21
MAJESTICX 1/12 Đèn sàn LED nhà búp bê Cổ điển Ánh sáng Đèn sàn nhà búp bê  Mô phỏng Mẫu đèn sàn Trang trí phòng khách,13374350431,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Đứng,https://www.lazada.vn/products/pdp-i13374350431.html,116100,0.0,0,0,FEIYING,2026-05-01 03:35:21
