title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Đèn trang trí tường, đèn năng lượng mặt trời trang trí sân vườn TMC Store - Chống mưa bền bỉ",2547603930,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2547603930.html,17000,4.6,5,0,No Brand,2026-05-01 03:32:51
Đèn Led Năng Lượng Mặt Trời Chống Thấm Nước Gắn Hàng Rào/ Cầu Thang/ Hành Lang/ Sân Vườn -RA888,3103942798,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i3103942798.html,18083,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn Led Năng Lượng Mặt Trời Chống Thấm Nước Gắn Hàng Rào / Cầu Thang / Hành Lang / Sân Vườn-CA666,3110830132,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i3110830132.html,18083,5.0,10,0,No Brand,2026-05-01 03:32:51
Fully waterproof solar LED lights for fence/staircase/Corridor/garden-lumbal,3123005751,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i3123005751.html,18083,3.1666666666666665,6,0,No Brand,2026-05-01 03:32:51
Đèn LED Pha Lê Gắn Tường Năng Lượng Mặt Trời Chiếu Sáng Lối Đi - Chân Cầu Thang - Hàng Rào - Hành Lang - Chống Nước IP65,2265248708,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2265248708.html,24000,0.0,0,0,No Brand,2026-05-01 03:32:51
"High-Power LED Headlamp with USB Rechargeable, Waterproof, Adjustable Beam for Outdoor Camping, Night Fishing, Cycling and Search",13348443238,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i13348443238.html,25000,0.0,0,0,No Brand,2026-05-01 03:32:51
"Solar Lights for Ground Plugs, Grass Plugs, Garden Decoration Lights for Plant Pots",3176135034,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i3176135034.html,27800,0.0,0,0,No Brand,2026-05-01 03:32:51
"Đèn ban công năng lượng mặt trời T16 - TMC Store - Trang trí tường, cầu thang, sân vườn sang trọng",2044095592,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2044095592.html,28000,4.785714285714286,14,0,No Brand,2026-05-01 03:32:51
Đèn Gắn Tường Hiệu Ứng XY MT-1231 - Sử Dụng Năng Lượng Mặt Trời - Chống Nước IP65 - Bảo Hành 12 Tháng - Có Video,2151220277,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2151220277.html,29000,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn Gắn Tường Hiệu Ứng XY MT-1231 - Sử Dụng Năng Lượng Mặt Trời - Chống Nước IP65 - Bảo Hành 12 Tháng - Có Video,2151243400,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2151243400.html,29000,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn sân vườn năng lượng mặt trời Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2377747993,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2377747993.html,35000,1.0,1,0,OEM,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2348897516,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2348897516.html,36000,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2339390515,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2339390515.html,38000,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2466975947,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2466975947.html,38000,4.0,1,0,No Brand,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2299700868,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2299700868.html,38000,3.0,2,0,OEM,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2248928281,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2248928281.html,38200,0.0,0,0,No Brand,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2254005542,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2254005542.html,39000,0.0,0,0,OEM,2026-05-01 03:32:51
Đèn LED Bãi Cỏ Năng Lượng Mặt Trời Đèn Năng Lượng Mặt Trời Chống Mưa Ngoài Trời Đèn Sân Vườn,2305078681,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Ngoài Trời,https://www.lazada.vn/products/pdp-i2305078681.html,39000,0.0,0,0,No Brand,2026-05-01 03:32:51
