title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
WHPHous Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,13327741518,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i13327741518.html,6600,0.0,0,0,WHPHous,2026-05-01 03:31:02
BIGHSM Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3144110818,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3144110818.html,9183,0.0,0,0,BIGHSM,2026-05-01 03:31:02
JCTTTY Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3173925284,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3173925284.html,9183,5.0,3,0,JCTTTY,2026-05-01 03:31:02
SHPYHT Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3119954294,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3119954294.html,9775,5.0,1,0,SHPYHT,2026-05-01 03:31:02
"Đèn ngủ led cảm ứng cảm biến tự động tắt mở ánh sáng khi trời tối không dây, gắn cầu thang, treo tường nhà bếp phòng tắm",2626224484,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i2626224484.html,9900,4.857142857142857,14,0,No Brand,2026-05-01 03:31:02
[Freeship Giá Sỉ] Đèn LED dán tường 3 bóng,2402967796,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i2402967796.html,9900,4.857142857142857,6,0,No Brand,2026-05-01 03:31:02
"Đèn LED Dán Tường, Phòng Ở 3 Bóng (Tròn) và Đèn Usb 1W Mini (Trắng/ Vàng) giao ngẫu nhiên",3091584733,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3091584733.html,10250,0.0,0,0,No Brand,2026-05-01 03:31:02
kittenBaby Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3202952114,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3202952114.html,10447,0.0,0,0,KITTENBABY,2026-05-01 03:31:02
MADOU3  Sáng Tạo Đèn LED Đêm 1W Cắm Ánh Sáng Giường Tường Đèn Nhà Chiếu Sáng Phòng Ngủ Ánh Sáng Trang Trí Nội Thất,3137834161,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3137834161.html,11800,0.0,0,0,CISWGE,2026-05-01 03:31:02
LED Solar Wall Light Ultra-Bright Smart Light Sensitive Security Lamps Led Lights for Bedroom Garden SUS-VN,3074157972,lazada,Hàng Gia Dụng & Đời Sống,Đèn & Thiết Bị Đèn,Đèn Tường,https://www.lazada.vn/products/pdp-i3074157972.html,12000,0.0,0,0,OEM,2026-05-01 03:31:02
