title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[COD] KOQZM Dễ thương chai Nước Gấu Shaker chai sữa trà uống cốc cầm tay uống chai nhà bếp sữa trà Chai nước nhà vài món quà giáng sinh,3275391985,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3275391985.html,1817,0.0,0,0,KOQZM,2026-05-08 09:08:40
WHPHous 50 cái dùng một lần rõ ràng cốc nhựa ngoài trời dã ngoại sinh nhật nhà bếp bên Bộ đồ ăn bên ly nhựa cho đồ uống lạnh,3261804089,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3261804089.html,7995,5.0,1,0,WHPHous,2026-05-08 09:08:40
JINHF 2pcs xe đạp cup chủ Expander cho xe đạp đa chức năng cup chủ giữ giữ điện thoại của bạn đồ uống Thùng rác một cách an toàn tại chỗ,3331403631,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3331403631.html,9988,0.0,0,0,JINHF,2026-05-08 09:08:40
"Túi xách lưu niệm C & K có thể được chụp, có thể mang theo túi, túi đóng gói đồ uống đa đặc điểm kỹ thuật PVC trong suốt Túi Quà Tặng",3079072939,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3079072939.html,11000,5.0,4,0,CHERL & KOLRS,2026-05-08 09:08:40
GUOUqna 50 cái dùng một lần rõ ràng cốc nhựa ngoài trời dã ngoại sinh nhật nhà bếp bên Bộ đồ ăn bên ly nhựa cho đồ uống lạnh,3279885866,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3279885866.html,11325,5.0,1,0,GUOUqna,2026-05-08 09:08:40
Elbbkg 1 3 chai nước dễ thương cho trà sữa nước ép cà Phê Cốc uống nước cầm tay trong suốt,3274958685,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3274958685.html,13015,5.0,1,0,Elbbkg,2026-05-08 09:08:40
"kittenBaby Trẻ em vui vẻ đồ uống màu sắc phù hợp với đồ chơi 10 20 chai + cơ sở, mầm non đoán Bộ nhớ đào tạo Câu Đố tương tác",13388375215,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13388375215.html,13364,0.0,0,0,KITTENBABY,2026-05-08 09:08:40
"BIGHSM Trẻ em vui vẻ đồ uống màu sắc phù hợp với đồ chơi 10 20 chai + cơ sở, mầm non đoán Bộ nhớ đào tạo Câu Đố tương tác",13388373255,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13388373255.html,13364,0.0,0,0,BIGHSM,2026-05-08 09:08:40
"HFTOY Trẻ em vui vẻ đồ uống màu sắc phù hợp với đồ chơi 10 20 chai + cơ sở, mầm non đoán Bộ nhớ đào tạo Câu Đố tương tác",13389674063,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13389674063.html,13364,0.0,0,0,HFTOY,2026-05-08 09:08:40
"SHgeZm Trẻ em vui vẻ đồ uống màu sắc phù hợp với đồ chơi 10 20 chai + cơ sở, mầm non đoán Bộ nhớ đào tạo Câu Đố tương tác",13388355302,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13388355302.html,13364,0.0,0,0,SHgeZm,2026-05-08 09:08:40
TBRBG 300ml Mini rơm chai nước chống Mùa Thu Dễ Thương cà phê tách trà drinkware ngoài trời di động thể thao nước chai cup,3010204796,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3010204796.html,15515,0.0,0,0,TBRBG,2026-05-08 09:08:40
DomeDecor 300ml Mini rơm chai nước chống Mùa Thu Dễ Thương cà phê tách trà drinkware ngoài trời di động thể thao nước chai cup,3020890193,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i3020890193.html,15636,0.0,0,0,No Brand,2026-05-08 09:08:40
Ly Ống Hút 500ML 1000ML Có Nắp Kín An Toàn,1986240205,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i1986240205.html,16500,4.571428571428571,28,0,No Brand,2026-05-08 09:08:40
SHGMYD Bình nước uống xe đạp leo núi tiện dụng 750ml có giá đỡ lồng,2743274498,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i2743274498.html,20313,4.882352941176471,17,0,SHGMYD,2026-05-08 09:08:40
"Bình uống sữa, uống nước bằng nhựa cho bé 40ml",2322530088,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i2322530088.html,20900,5.0,5,0,I None,2026-05-08 09:08:40
SHZTGM Xe đạp tay lái núi 2-in-1 người giữ điện thoại và cốc chủ phổ có thể điều chỉnh xe đạp phụ kiện cho ngoài trời lưu trữ đồ uống,13389044171,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Đồ Dùng Uống Nước,https://www.lazada.vn/products/pdp-i13389044171.html,21168,0.0,0,0,SHZTGM,2026-05-08 09:08:40
