title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Li-Ning Kẹp lông Vàng nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi Làm Đẹp kẹp an toàn đặc biệt,13388277109,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388277109.html,17000,0.0,0,0,Li-Ning,2026-05-08 09:12:04
Biển jjt lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi vẻ đẹp đặc biệt kẹp an toàn,13388323125,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388323125.html,17000,0.0,0,0,SEA JJT,2026-05-08 09:12:04
Calcenubes Vàng Lông Clip Nhíp Chính Xác Lông mi giả dụng cụ phụ trợ Lông Mi Vẻ Đẹp Đặc Biệt kẹp an toàn,13388133094,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388133094.html,19000,0.0,0,0,CalceNubes,2026-05-08 09:12:04
STAR FRUIT Kẹp Lông Vũ Vàng Nhíp Kẹp Dụng Cụ Phụ Trợ Kẹp An Toàn Đặc Biệt Cho Lông Mi Giả Mỹ Phẩm Làm Đẹp Lông Mi,13388351287,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388351287.html,19000,0.0,0,0,STAR FRUIT,2026-05-08 09:12:04
Bella lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi Làm Đẹp kẹp an toàn đặc biệt,13389538421,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389538421.html,22000,0.0,0,0,No Brand,2026-05-08 09:12:04
DSLONG 2pcs 20/25/50mm Khóa cong Nhựa Đen Khóa nhả bên Chất lượng cao Khóa an toàn có thể điều chỉnh Dụng Cụ Ngoài trời,13389340421,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389340421.html,25000,0.0,0,0,DSLONG,2026-05-08 09:12:04
SUDMFK Chống trượt Gương dùng một lần An toàn Chống sương mù Gương kiểm tra Bền Đơn giản Gương Nha khoa bằng nhựa Dụng cụ nha sĩ,13342891306,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13342891306.html,25900,0.0,0,0,No Brand,2026-05-08 09:12:04
WAPKTY Tiết kiệm lao động Máy  cầm tay Polystyrene Không tiếp xúc Hộp đựng thuốc mini  Chống rơi Dụng cụ lấy thuốc Thuốc,13389402458,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389402458.html,26000,0.0,0,0,WAPKTY,2026-05-08 09:12:04
WAPKTY 1/2PCS Tiết kiệm lao động Máy  cầm tay Chống rơi Hộp đựng Dụng cụ lấy thuốc  Không tiếp xúc Hộp thuốc hàng ngày Du lịch,13389356640,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389356640.html,26000,0.0,0,0,WAPKTY,2026-05-08 09:12:04
móc an toàn 5ly 6ly 8ly 10ly chất liệu SẮT và INOX 304 giá xưởng lãi mỗi tình cảm,2668682287,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i2668682287.html,27000,4.75,4,0,No Brand,2026-05-08 09:12:04
Hồng RECESS lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi vẻ đẹp đặc biệt kẹp an toàn,13388055579,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388055579.html,29000,0.0,0,0,Rosy Recess,2026-05-08 09:12:04
Dũng khí Vault lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi vẻ đẹp đặc biệt kẹp an toàn,13389376377,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389376377.html,29000,0.0,0,0,Mettle Vault,2026-05-08 09:12:04
Lông Vàng Kẹp Nhíp Chính Xác Lông mi giả dụng cụ phụ trợ Lông Mi Vẻ Đẹp Đặc Biệt kẹp an toàn,13389354618,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389354618.html,29000,0.0,0,0,No Brand,2026-05-08 09:12:04
Biển amila lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi Làm Đẹp kẹp an toàn đặc biệt,13388243158,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13388243158.html,29000,0.0,0,0,SEA AMILA,2026-05-08 09:12:04
Naichong lông vàng Kẹp nhíp chính xác Lông mi giả dụng cụ phụ trợ lông mi Làm Đẹp kẹp an toàn đặc biệt,13389558364,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389558364.html,29000,0.0,0,0,No Brand,2026-05-08 09:12:04
Nhật báo Người Lao Động từ ngày 15-09-2025 đến 21-09-2025,3199051226,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i3199051226.html,38500,0.0,0,0,Báo Người lao động,2026-05-08 09:12:04
Nhật báo Người Lao Động từ ngày 19-01-2026 đến 25-01-2026,3322674191,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i3322674191.html,38500,0.0,0,0,Báo Người lao động,2026-05-08 09:12:04
Lông Vàng Kẹp Nhíp Chính Xác Lông mi giả dụng cụ phụ trợ Lông Mi Vẻ Đẹp Đặc Biệt kẹp an toàn,13389430048,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389430048.html,39000,0.0,0,0,No Brand,2026-05-08 09:12:04
DÂY QUAI NÓN SAFETY FIRST - BẢO VỆ AN TOÀN CHO NGƯỜI LAO ĐỘNG - HÀN QUỐC,13364430680,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13364430680.html,41000,0.0,0,0,Safety First,2026-05-08 09:12:04
TOOEARY MALL Rỗng Dụng cụ xúc rác cho mèo Nhựa Tiết kiệm sức lao động Dụng cụ xúc rác cho thú cưng Di động Rò rỉ nhanh Dụng cụ vệ sinh cho mèo con,13389384220,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13389384220.html,44000,0.0,0,0,TOOEARY,2026-05-08 09:12:04
"GĂNG TAY BẢO HỘ LAO ĐỘNG, GĂNG TAY SƠN XANH PHỦ CAO SU CHỐNG TĨNH ĐIỆN CHỐNG TRƠN TRƯỢT",1952566619,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i1952566619.html,45000,5.0,1,0,No Brand,2026-05-08 09:12:04
HUISHU An Ninh Dây bện chắc chắn 100cm/39'' Chống Trộm Dây cáp thép Chất lượng cao Bảo vệ an toàn hành lý Dụng Cụ Ngoài trời,13346360955,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13346360955.html,45000,0.0,0,0,No Brand,2026-05-08 09:12:04
Wletr Kích Thước Lớn Thép Không Gỉ An Toàn Pin 1Pcs 12.8Cm DIY May Công Cụ Phụ Kiện Kim Bọc Chân An Toàn Cho Sửa Chữa Các Tập tin,13365713260,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13365713260.html,47110,0.0,0,0,No Brand,2026-05-08 09:12:04
LUSIT Bướm Nút quần jean Có thể điều chỉnh Ngôi sao năm cánh Khóa thắt lưng Tính cách Dụng cụ siết eo Ghim an toàn Trang trí trang phục,13387623150,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13387623150.html,48000,0.0,0,0,gifthub,2026-05-08 09:12:04
Báo Xuân Người Lao Động 2026,3324913531,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i3324913531.html,49000,0.0,0,0,Báo Người lao động,2026-05-08 09:12:04
MUSASI Liên kết nhanh Thép không gỉ 304 Dụng cụ leo núi ngoài trời Đồ nghề Du lịch An toàn Móc Carabiner Vòng khóa,13367548016,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13367548016.html,50500,0.0,0,0,Fudeshe,2026-05-08 09:12:04
【Aust】 kết quả đáng tin cậy cho lái xe an toàn độ chính xác cao Tread đo thả kháng,13367916202,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13367916202.html,51000,0.0,0,0,No Brand,2026-05-08 09:12:04
BUJUE 1pc Chất lượng cao Dụng cụ đi xe đạp Kẹp dây an toàn Chỗ ngồi Phụ tùng xe đạp Phụ kiện xe đạp leo núi Kẹp ống dây an toàn,13383601169,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13383601169.html,51000,0.0,0,0,YYlingx,2026-05-08 09:12:04
COOLSOOL 1pc Chất lượng cao Dụng cụ đi xe đạp Kẹp dây an toàn Kẹp ống dây an toàn Phụ kiện xe đạp leo núi Chỗ ngồi Phụ tùng xe đạp,13383621177,lazada,Hàng Gia Dụng & Đời Sống,Sửa Chữa Nhà Cửa,Dụng Cụ An Toàn Lao Động,https://www.lazada.vn/products/pdp-i13383621177.html,51500,0.0,0,0,gifthub,2026-05-08 09:12:04
