title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tất Bốt Hàn Quốc Sang Chảnh Cho Bé Gái,2333747738,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i2333747738.html,12800,0.0,0,0,No Brand,2026-05-01 02:10:06
ElgMK Bốt Đi Mưa mini nhiều màu trang trí nhà búp bê thu nhỏ phụ kiện 1/12,13383024296,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13383024296.html,13133,0.0,0,0,ELGMK,2026-05-01 02:10:06
[COD] SHPYHT Bốt Đi Mưa mini nhiều màu trang trí nhà búp bê thu nhỏ phụ kiện 1/12,13360926500,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13360926500.html,13500,0.0,0,0,SHPYHT,2026-05-01 02:10:06
Bốt Đi Mưa mini nhiều màu trang trí nhà búp bê thu nhỏ phụ kiện 1/12,13358428587,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13358428587.html,17445,0.0,0,0,N2HAO,2026-05-01 02:10:06
NAPKERY Nhiều kiểu Thời trang Nữ 1/3 1/6 Giày đế bệt Bốt dài đầu gối Phụ kiện Giày bốt cho búp bê anh hùng,13384372093,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13384372093.html,24000,0.0,0,0,NAPKERY,2026-05-01 02:10:06
Giày Bốt Đi Tuyết Dài Đến Giữa Bắp Chân Cho Nữ Tất Ấm Áp Chống Lạnh Có Viền Vân Gỗ Thoải Mái Tất Đi Trong Nhà Cho Mùa Thu Đông,13380828944,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13380828944.html,27000,0.0,0,0,No Brand,2026-05-01 02:10:06
Bốt giáng sinh Giày ông già Noel Mini Nhà búp bê 1:12 Ngón chân cái Mẫu giày ông già Noel Bốt trang trí ông già Noel thu nhỏ Nhựa Giày đi mưa thu nhỏ Nhà búp bê Nhà búp bê,13353064742,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13353064742.html,29000,0.0,0,0,No Brand,2026-05-01 02:10:06
ABOND Bốt giáng sinh Giày ông già Noel Mini Ngón chân cái Nhà búp bê 1:12 Mẫu giày ông già Noel Bốt ông già Noel thu nhỏ Nhựa Giày đi mưa thu nhỏ Nhà búp bê Nhà búp bê,13367535712,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13367535712.html,29191,0.0,0,0,No Brand,2026-05-01 02:10:06
OOC Bốt giáng sinh Giày ông già Noel Mini Ngón chân cái Nhà búp bê 1:12 Giày đi mưa thu nhỏ Nhà búp bê Bốt trang trí ông già Noel thu nhỏ Nhựa Mẫu giày ông già Noel Nhà búp bê,13368829206,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13368829206.html,29207,0.0,0,0,No Brand,2026-05-01 02:10:06
SKJK Nhà búp bê 1:12 Giày ông già Noel Mini Bốt giáng sinh Ngón chân cái Mẫu giày ông già Noel Bốt trang trí ông già Noel thu nhỏ Mô phỏng Giày đi mưa thu nhỏ Nhà búp bê Nhà búp bê,13368338290,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Bốt,https://www.lazada.vn/products/pdp-i13368338290.html,29270,0.0,0,0,No Brand,2026-05-01 02:10:06
