title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Decal dán tường thước đo động vật làm xiếc SK9188 - Giấy dán tường - Hình dán tường - Sticker,2110876892,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i2110876892.html,2900,0.0,0,0,OEM,2026-05-01 03:35:34
"1 mét decal giấy dán tường CÁC MÀU ĐƠN SẮC (mua số lượng 1 là 1 mét dài, mua số lượng 5 là 5 mét dài)",1534673693,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1534673693.html,3000,4.809399477806789,383,0,No Brand,2026-05-01 03:35:34
"1 Mét Giấy Dán Tường, Khổ 45CM Rộng Decal PVC Trang Trí ( có keo ) - MỘT MÀU NỀN VÂN VẢI PT321",1609214948,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1609214948.html,5000,4.772151898734177,79,0,No Brand,2026-05-01 03:35:34
"1M GIẤY DÁN TƯỜNG CÁC MẪU VÁN GỖ KHỔ 45CM CÓ KEO SẴN (mua 1 là 1 mét, mua 9 là 9 mét)",1551224109,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1551224109.html,5000,4.85,20,0,No Brand,2026-05-01 03:35:34
Giấy Dán Tường 45cm Rộng x 1m Dài - Tông Hồng Đáng Yêu MM017,2218639809,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i2218639809.html,5000,4.760416666666667,96,0,No Brand,2026-05-01 03:35:34
"1M GIẤY DÁN TƯỜNG NHIỀU MẪU GỖ TRANG TRÍ KHỔ 45CM CÓ KEO SẴN (mua 1 là 1 mét, mua 9 là 9 mét)",1544719427,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1544719427.html,5000,4.853365384615385,416,0,No Brand,2026-05-01 03:35:34
"Decal Dán Tường, Trang Trí Ổ Điện Hình Chú Mèo Đang Ngủ, Gấu, Cún- Decor Phòng Ngủ, Phòng Khách",1567351899,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1567351899.html,5990,0.0,0,0,No Brand,2026-05-01 03:35:34
1M GIẤY DÁN TƯỜNG NHIỀU MẪU HOẠT HÌNH VUI NHỘN KHỔ 45CM CÓ KEO SẴN,1723775586,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1723775586.html,6000,4.711934156378601,243,0,No Brand,2026-05-01 03:35:34
1 mét decal giấy dán tường họa tiết xinh khổ 45cm có keo sẵn (mua số lượng 1 là 1 mét),1534620316,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1534620316.html,6000,4.856864274570983,2564,0,No Brand,2026-05-01 03:35:34
1 mét decal giấy dán tường CÁC MẪU Ô KẺ khổ 45cm có keo sẵn,1717737614,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1717737614.html,6200,4.8361204013377925,299,0,No Brand,2026-05-01 03:35:34
Decal giấy dán tường màu trắng bề mặt nhám khổ 45cm keo sẵn,1717757579,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1717757579.html,6900,5.0,4,0,No Brand,2026-05-01 03:35:34
"1 Meter of Faux Fabric Wallpaper Decal, 45cm Wide, Pre-Adhesive",1723659817,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i1723659817.html,6900,5.0,8,0,No Brand,2026-05-01 03:35:34
1 mét Decal giấy dán tường nhiều mẫu HOẠT HÌNH 2 có keo sẵn khổ 45cm,2365811578,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,"Giấy Dán Tường, Decal",https://www.lazada.vn/products/pdp-i2365811578.html,6900,5.0,5,0,No Brand,2026-05-01 03:35:34
