title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Gối massage cổ vai gáy, gối massage hồng ngoại 20 bi cao cấp hỗ trợ mát xa toàn thân",2609510016,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2609510016.html,5000,0.0,0,0,No Brand,2026-05-08 09:15:12
"Gối Muji Xuất Nhật Kẻ Caro Mềm Mịn, Tạo Giấc Ngủ Ngon",2554110234,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2554110234.html,12000,0.0,0,0,No Brand,2026-05-08 09:15:12
"gối , gối nằm , ruột gối nằm hình ngộ nghĩnh vải poly 45x65cm",3077897132,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i3077897132.html,19000,0.0,0,0,No Brand,2026-05-08 09:15:12
"Gối ngải cứu cắm điện giúp giảm đau mỏi vai gáy, Gối ngải cứu điện, Gối mát xa thảo dược",3103619678,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i3103619678.html,19000,0.0,0,0,No Brand,2026-05-08 09:15:12
Gối Nằm Tiết Kiệm Vải Kate Nhiều Họa Tiết Đẹp Hy&Han Unistore,1444984822,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i1444984822.html,20000,5.0,2,0,No Brand,2026-05-08 09:15:12
Gối Hỗ Trợ Cổ Hình U Từ Tre,13365928514,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i13365928514.html,22400,0.0,0,0,WUUJIA+,2026-05-08 09:15:12
gối hơi 100% Gòn xã hàng tồn kho,2052140636,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2052140636.html,28420,4.571428571428571,14,0,No Brand,2026-05-08 09:15:12
]Gối Nằm Cao Su Non Nhân Tạo Chất Lượng Cao. Đầu Tư Giấc Ngủ là Đầu Tư Cho Sức Khỏe (kích thước 40*60cm) - gối nằm caosu - gối caosu - ruột gối caosu,2040593181,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2040593181.html,29000,4.815789473684211,152,0,No Brand,2026-05-08 09:15:12
"Combo 2 Chiếc Gối Nằm Gòn 40x60cm Cao Cấp, Gối Ôm Sài Gòn 30 x 90cm, Cặp Gối Nằm Gối Hơi Sài Gòn Siêu Êm, Gối Có Khóa Kéo, Gối Ôm Sài Gòn",2364931101,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2364931101.html,29000,4.823529411764706,340,0,No Brand,2026-05-08 09:15:12
Gối kê tay làm móng siêu sang xịn giúp làm nail dễ thao tác đủ màu Hot nhất,3124916216,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i3124916216.html,29084,0.0,0,0,No Brand,2026-05-08 09:15:12
Gối Hình Chữ U Du Lịch Cầm Tay Tiện Lợi Đựng Đồ Dùng Hàng Ngày Bằng Vải Polyester Thoải Mái Cho Trẻ Em Và Người Lớn,13346990712,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i13346990712.html,32800,0.0,0,0,No Brand,2026-05-08 09:15:12
"Gối Tựa Sofa, Đệm Ghế, Đồ Chơi Nhồi Bông, Gối Ôm 3D Bằng Bông PP, Len, Polyester Năm 2024 - Vật Liệu May Vá",13357494697,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i13357494697.html,34200,0.0,0,0,No Brand,2026-05-08 09:15:12
"Gối Cao Su Non Người Lớn--Gối bơm hơi ngủ văn phòng, du lịch (46x30cm)--chống đau mỏi vai gáy",2718886414,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2718886414.html,34420,5.0,3,0,No Brand,2026-05-08 09:15:12
"Gối Ngủ 35x55cm Kèm Ruột – Vỏ Gối Màu Ngẫu Nhiên, Êm Ái, Trang Trí Giường Ngủ",3072036009,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i3072036009.html,35000,0.0,0,0,No Brand,2026-05-08 09:15:12
gối ngủ văn phòng cho bé hay người lớn đều được,2666915098,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Gối,https://www.lazada.vn/products/pdp-i2666915098.html,35000,5.0,1,0,No Brand,2026-05-08 09:15:12
