title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bộ Pass Gương Treo Phòng Tắm 45x60cm 50x70cm Gương Phòng Tắm Gương Bàn Trang Điểm Bát Treo Gương Back Treo Gương,847214906,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i847214906.html,18000,5.0,3,0,No Brand,2026-05-01 03:29:55
Shaving Makeup Mirrors Acrylic Washroom Travel Accessories With Wall Suction For Men Women Shower Bath Mirror Bathroom Tools,2481914617,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2481914617.html,19000,3.0,6,0,No Brand,2026-05-01 03:29:55
STAR FRUIT⭐ Modern Desktop Single-Sided Mirror for Home and Bathroom Use,3192034332,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i3192034332.html,23000,4.75,15,0,STAR FRUIT,2026-05-01 03:29:55
20cm square wall whole body mirror no drill wall bathroom wardrobe khaki-Hause,2649521693,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2649521693.html,26000,4.853658536585366,41,0,No Brand,2026-05-01 03:29:55
DONGYANSHIJIA Modern Desktop Single-Sided Mirror for Home and Bathroom Use,3146133915,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i3146133915.html,29000,0.0,0,0,DONGYANSHIJIA,2026-05-01 03:29:55
[COD] CHENJ TOOL  Acrylic chống sương mù gương tắm cạo fogless gương nhà vệ sinh không thể phá vỡ di động du lịch cạo râu phụ kiện phòng tắm công cụ,13361611339,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i13361611339.html,30272,0.0,0,0,CHENJ,2026-05-01 03:29:55
Gương phòng tắm Gương trang điểm phòng tắm tự dán gắn tường Gương Acrylic không đục lỗ,2909113138,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2909113138.html,36000,0.0,0,0,No Brand,2026-05-01 03:29:55
40*40cm Gương tròn 3D Siêu Rõ Nét Gương dán tường Gương Dán Tường Soi Toàn Thân Gương Nhà Tắm Phòng,2705732092,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2705732092.html,37000,5.0,14,0,No Brand,2026-05-01 03:29:55
Gương HD Gương dán tường Gương khâu acrylic Gương tự dính Gương hình bầu dục Trang trí phòng tắm,2705519978,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2705519978.html,37000,4.818181818181818,11,0,No Brand,2026-05-01 03:29:55
LABAICAI Độ nét cao Gương phản chiếu Acrylic Có hút tường Treo dễ dàng Gương cạo râu Đa năng Gương Gương phòng tắm du lịch Phòng tắm,13362289959,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i13362289959.html,38000,0.0,0,0,LABAICAI,2026-05-01 03:29:55
Super Clear 3D Round Mirror Wall Mirror Full Body Wall Mirror Bathroom Mirror,3193059834,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i3193059834.html,39000,0.0,0,0,No Brand,2026-05-01 03:29:55
LIUJIR Độ nét cao Gương phản chiếu Acrylic Treo dễ dàng Có hút tường Gương phòng tắm du lịch Di động Chống rơi Gương cạo râu Phòng tắm,13361211384,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i13361211384.html,39000,0.0,0,0,LIUJIR,2026-05-01 03:29:55
Gương trang trí phòng ngủ và phòng tắm với nhiều kích cỡ khác nhau Gương treo tường mềm acrylic hoạt hình dễ thương,2911465606,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i2911465606.html,40000,0.0,0,0,No Brand,2026-05-01 03:29:55
HOUCHU Treo dễ dàng Gương phản chiếu Acrylic Độ nét cao Có hút tường Gương cạo râu Đa năng Chống rơi Gương phòng tắm du lịch Phòng tắm,13372398776,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i13372398776.html,42000,0.0,0,0,Houchu,2026-05-01 03:29:55
HOUCHU Treo dễ dàng Gương phản chiếu Acrylic Có hút tường Độ nét cao Gương cạo râu Sáng Tạo Chống sương mù Gương phòng tắm du lịch Phòng tắm,13372514568,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Gương Phòng Tắm,https://www.lazada.vn/products/pdp-i13372514568.html,43000,0.0,0,0,Houchu,2026-05-01 03:29:55
