title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
TBRBG Treo Tường Phòng Tắm Nhà Vệ Sinh Giữ Giấy Dày Nhựa Rustproof Mô Dispenser Cho Nhà,13388730285,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13388730285.html,3694,0.0,0,0,TBRBG,2026-05-16 15:19:00
TBRBG Tiết Kiệm Không Gian Tự Dính Treo Tường Mô Chủ Nhà Bếp Lưu Trữ Organizer Hai Mục Đích Giấy Vệ Sinh Khăn Tay Không Khoan,3286566569,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i3286566569.html,4726,0.0,0,0,TBRBG,2026-05-16 15:19:00
Kệ để giấy giỏ nhựa để giấy vệ sinh để đồ đa năng,2597083735,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2597083735.html,7500,0.0,0,0,No Brand,2026-05-16 15:19:00
Hộp Đựng Giấy Vệ Sinh Dán Tường Bằng Nhựa KG01,2057160094,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2057160094.html,7500,4.666666666666667,3,0,No Brand,2026-05-16 15:19:00
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,2542992653,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2542992653.html,7900,0.0,0,0,No Brand,2026-05-16 15:19:00
GIỎ NHỰA ĐỰNG GIẤY VỆ SINH PHỤ KIỆN NHÀ TẮM,1633193633,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1633193633.html,8000,5.0,1,0,No Brand,2026-05-16 15:19:00
"Hộp Đựng Cuộn Giấy Vệ Sinh , Đồ Dùng , Điện Thoại Chống Nước Tự Dính",1248718896,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i1248718896.html,8624,5.0,10,0,No Brand,2026-05-16 15:19:00
"Giỏ Đựng Giấy Vệ Sinh Dán Tường Chịu Lực Việt Nhật Tiện Ích, Khay Đựng Giấy Dán Tường Màu Nâu, Xanh, Vàng",2590784563,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2590784563.html,9000,0.0,0,0,No Brand,2026-05-16 15:19:00
"Giỏ Đựng Giấy Vệ Sinh Treo Tường - Hộp Nhựa Đựng Khăn, Giấy Vệ Sinh Phòng Tắm, Phòng Bếp",2044517367,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i2044517367.html,9000,4.916666666666667,12,0,No Brand,2026-05-16 15:19:00
SHNGki Tiết Kiệm Không Gian Tự Dính Treo Tường Mô Chủ Nhà Bếp Lưu Trữ Organizer Hai Mục Đích Giấy Vệ Sinh Khăn Tay Không Khoan,13378924068,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13378924068.html,9205,0.0,0,0,SHNGki,2026-05-16 15:19:00
PkYeG Tiết kiệm không gian treo tường nhà vệ sinh giữ giấy với mô Dispenser & Lưu trữ-Dễ dàng dính cài đặt sáng tạo CuộN hộp giấy,13378676666,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Hộp Đựng Giấy Vệ Sinh,https://www.lazada.vn/products/pdp-i13378676666.html,9702,0.0,0,0,PkYeG,2026-05-16 15:19:00
