title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Kệ để xà phòng, xà bông nhà tắm dán tường hình con cá heo bằng nhựa_Mẹ JinJin",1880830491,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1880830491.html,1900,4.95,20,0,No Brand,2026-05-01 03:27:28
Kệ góc dán tường nhà inox 304 gọn gàng tiện ích,2478781028,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2478781028.html,5000,4.90625,32,0,No Brand,2026-05-01 03:27:28
"[Giá Huỷ Diệt] khay để đồ đa năng dán tường  hình chim cánh cụt, khay đựng đồ nhà tắm dán tường, decor nhà cửa 7510 - Tuệ Tuệ 88 🤗",13323638601,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13323638601.html,7000,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ nhựa treo tường nhà tắm, nhà bếp dán tường chịu lực",2027381551,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2027381551.html,7500,4.0,9,0,No Brand,2026-05-01 03:27:28
"[Rẻ vô địch] khay để đồ đa năng dán tường  hình chim cánh cụt, khay đựng đồ nhà tắm dán tường, decor nhà cửa 7510 - Tuelam🇻🇳",13323650557,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i13323650557.html,8000,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ chữ nhật dán tường nhà tắm, phòng bếp để đồ đa năng bằng nhựa không cần khoan.",1366729782,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1366729782.html,9800,3.6666666666666665,3,0,No Brand,2026-05-01 03:27:28
"Kệ Thép không gỉ đa năng chữ nhật dán tường, kệ nhà tắm, nhà bếp tiện dụng.  G355-KesatNT-HCN",1798847628,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1798847628.html,10000,4.625,8,0,No Brand,2026-05-01 03:27:28
Kệ nhà tắm Dụng cụ lấy kem đánh răng tiện lợi đa năng thông minh,1268928119,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i1268928119.html,10000,5.0,2,0,No Brand,2026-05-01 03:27:28
Large Multi-Purpose Plastic Wall Shelf for Storage,3192891615,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i3192891615.html,11900,0.0,0,0,No Brand,2026-05-01 03:27:28
"Kệ Dán Tường Nhà Tắm Hình Chữ Nhật, Kệ Treo Tường Đựng Đồ Đa Năng",2313432356,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Kệ Phòng Tắm,https://www.lazada.vn/products/pdp-i2313432356.html,13000,4.87683284457478,341,0,No Brand,2026-05-01 03:27:28
