title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Khăn tắm nén cotton mẫu cô gái (70x140cm), khăn tắm du lịch dùng 1 lần dạng viên nén G446-KhanTamNen-CG",3066339014,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i3066339014.html,3999,5.0,1,0,No Brand,2026-05-01 03:27:11
"Khăn Tắm Viên Nén Du Lịch size 70x140 cm Nhỏ Gọn, Mang Đi Du Lịch , Đi Chơi An Toàn Tiện Lợi",2525575446,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2525575446.html,8000,4.5,4,0,No Brand,2026-05-01 03:27:11
"Disposable Travel Tablet Bath Towels, Convenient Bath Towels",1956896661,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i1956896661.html,8900,4.961832061068702,130,0,No Brand,2026-05-01 03:27:11
[MKhăn1] Khăn Tắm Nén Du Lịch 70x140Cm Bỏ Túi Tiện Lợi .TTVM,2635921607,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2635921607.html,9000,5.0,1,0,No Brand,2026-05-01 03:27:11
Khăn Tắm Nén Cotton Màu Đỏ Dùng Một Lần Kích Thước 70x140cm - Khăn Tắm Du Lịch Dạng Viên Nén,2607368736,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2607368736.html,9000,5.0,11,0,No Brand,2026-05-01 03:27:11
"Car Cleaning Towel, Spa 30X30Cm Lotus Towel 100% Premium Microfiber, Soft, Smooth, Absorbent, No Color Shedding",2395667006,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2395667006.html,9900,4.951557093425605,289,0,LotusTowel,2026-05-01 03:27:11
"Cotton Compressed Bath Towel for Girls (70X140Cm), Disposable Travel Bath Towel in Tablet Form G446-Khantamnen-Cg",2667967052,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2667967052.html,9999,4.973684210526316,38,0,No Brand,2026-05-01 03:27:11
Khăn Tắm Viên Nén Du Lịch (70x140cm) Dùng Một Lần bằng Cotton Tiện Lợi,3146993509,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i3146993509.html,10000,0.0,0,0,No Brand,2026-05-01 03:27:11
"Khăn tắm nén du lịch cotton lớn 70x140cm dùng một lần, loại lớn dày - KHĂN NÉN KHÁCH SẠN - Khăn tắm nén du lịch bằng cotton dùng một lần 70*140 cm",2561506564,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2561506564.html,10000,5.0,2,0,No Brand,2026-05-01 03:27:11
"Cotton Compressed Travel Towels Large Size (70X140Cm), Disposable Compressed Bath Towels",2549023436,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2549023436.html,10000,5.0,37,0,No Brand,2026-05-01 03:27:11
"Khăn tắm nén du lịch dùng 1 lần, khăn tắm cotton 140x70cm",1939757127,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i1939757127.html,10000,0.0,0,0,No Brand,2026-05-01 03:27:11
"Cotton Compressed Travel Towels Large Size (70X140Cm), Disposable Compressed Bath Towels",2694091556,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Khăn Tắm,https://www.lazada.vn/products/pdp-i2694091556.html,10000,5.0,1,0,No Brand,2026-05-01 03:27:11
