title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Nồi Gang Chảo Xào Không Dính Cho Đầu Bếp,13350817092,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13350817092.html,64200,0.0,0,0,No Brand,2026-05-08 09:06:47
ZHENGXIANG | Nồi Đun Không Dính,13315396772,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13315396772.html,94417,0.0,0,0,ZHENGXIANG,2026-05-08 09:06:47
Không soong đồ nấu nướng đôi xử lý súp nồi với Glass bìa cho cảm ứng nồi nấu ăn,13351558248,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13351558248.html,95155,0.0,0,0,E-WOITD,2026-05-08 09:06:47
FENGBAI | Nồi Súp Gốm Kiểu Cổ Chống Nhiệt Độ Cao,13315428095,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13315428095.html,99000,0.0,0,0,FENGBAI,2026-05-08 09:06:47
SHANNAIER | Chảo Rán Bánh Kếp Chống Dính,13324044507,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13324044507.html,105700,5.0,1,0,SHANNAIER,2026-05-08 09:06:47
KASIHAN | Quần Ngủ Mùa Hè Nhẹ Nhàng Bằng Cotton Chống UV,3283168248,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i3283168248.html,113050,4.902255639097745,142,0,KASIHAN,2026-05-08 09:06:47
SHANNAIER | Chảo Sắt Không Tráng Men,13323956444,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13323956444.html,114000,5.0,1,0,SHANNAIER,2026-05-08 09:06:47
ZIYINGCHA | Chảo Đúc Không Dính Inox Để Rán Trứng,13319450825,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13319450825.html,125000,5.0,1,0,ZIYINGCHA,2026-05-08 09:06:47
Chảo Đa Năng Không Dính Từ Đá,13343588856,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13343588856.html,128352,3.0,2,0,No Brand,2026-05-08 09:06:47
Nồi Đa Năng Chống Dính cho Sữa Chua và Nấu Ăn,13350691950,lazada,Hàng Gia Dụng & Đời Sống,Bếp & Phòng Ăn,Nồi & Chảo,https://www.lazada.vn/products/pdp-i13350691950.html,129600,0.0,0,0,No Brand,2026-05-08 09:06:47
