title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tranh dán tường 3d phòng khách giả ngọc,1765511373,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i1765511373.html,15000,4.890410958904109,73,0,No Brand,2026-05-01 04:34:11
"Xông Trầm Bằng Sứ Nhiều Hình Mẫu Hoa Văn Thiết Kế Đa Dạng Lư đốt trầm men rạn ngọc loại 1, Lư xông trầm cao cấp - Mẫu đẹ - Phật Giáo Tường Thuận",1629293319,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i1629293319.html,18000,4.86756077116513,1193,0,No Brand,2026-05-01 04:34:11
Bộ Tranh Dán Tường 3D Đồng Quê Việt Nam Phong Cách Cổ Điển,2640860576,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2640860576.html,18000,5.0,54,0,No Brand,2026-05-01 04:34:11
[HCM]Cuộn 5m decal giấy dán tường DOREMON Chữ Xanh Dương khổ 45cm keo sẵn dán 2.25 mét vuông,277974068,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i277974068.html,29999,4.852017937219731,446,0,No Brand,2026-05-01 04:34:11
Abstract Poster David Shrigley Wall Art Picture Tiger Headphones Crab Ice Cream Cat Canvas Painting Living Room Decoration,2268371379,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2268371379.html,33691,5.0,25,0,No Brand,2026-05-01 04:34:11
Kệ Dán Tường Chữ Nhật Decor Nhà Cửa Phủ Sơn Tĩnh Điện  Siêu Chắc,2361047576,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2361047576.html,35000,4.0,2,0,No Brand,2026-05-01 04:34:11
"Tranh Trang Trí Văn Phòng Trị Liệu Chấp Nhận Nguyên Lý, Đồ Trang Trí Phòng Tư Vấn, Tượng Nhỏ Người Hoài Niệm Phong Cách Retro",13331064677,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13331064677.html,41400,0.0,0,0,No Brand,2026-05-01 04:34:11
Vintage The Beatles Ban Nhạc Rock Canvas Poster Phong Cách Hiện Đại Nghệ Thuật Treo Tường Cho Phòng Khách Thanh Trang Trí Unframed Quà Tặng,13339276505,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13339276505.html,47400,0.0,0,0,No Brand,2026-05-01 04:34:11
"Pegboard Decor Table, Gaming Room - Multifunctional Wall-Mounted Storage Accessories, Work Corner Decoration",3251988780,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3251988780.html,48000,5.0,4,0,HOSAN,2026-05-01 04:34:11
"Bảng Gỗ Quy Tắc Gia Đình, Tranh Treo Tường Gia đình, Những Quy Tắc Để Con Có Cuộc Sống Hạnh Phúc",2487098592,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2487098592.html,49000,4.461538461538462,39,0,No Brand Emart,2026-05-01 04:34:11
SHPYHT  1pcs 1:12 Dollhouse mini sóng bàn trà trang trí thu nhỏ Bàn đồ nội thất bàn cà phê phòng khách giải trí Bảng Mô hình,13379324803,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13379324803.html,51412,0.0,0,0,SHPYHT,2026-05-01 04:34:11
Tranh Treo Tường Trang Trí Quán Cà Phê - Trà Sữa Đẹp,1826312466,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i1826312466.html,53100,0.0,0,0,No Brand,2026-05-01 04:34:11
Hiện Đại Trừu Tượng Chuyển Đổi Màu Sắc Halo In Canvas 'Mở Tâm Trí Của Bạn' Nhật Bản Retro Nghệ Thuật Treo Tường Cho Phòng Khách Phòng Ngủ Trang Trí Nhà,13348376826,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13348376826.html,58000,0.0,0,0,No Brand,2026-05-01 04:34:11
Modern Style Home Decorative Gourd Tabletop Display Wealth Attracts Eight Directions Prosperous Home Entrance Decoration,3233586310,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3233586310.html,58000,1.5,2,0,No Brand,2026-05-01 04:34:11
"Antibacterial Natural Bamboo Cutting Board with Hanging Hook Anti-Mold, Anti-Sweat, Bamboo Cutting Board, Wooden Cutting Board, Natural Bamboo Cutting Board, Plastic Cutting Board, Set of 3 Plastic Cutting Boards, Natural Wooden Cutting Board, Wood Grain",2423713317,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2423713317.html,59000,4.88385269121813,353,0,No Brand,2026-05-01 04:34:11
"Nhãn Dán Tường Trích Dẫn Động Lực - ""Các Bước Bạn Đã Đạt Được Hôm Nay"" Decal Văn Phòng Trang Trí Trích Dẫn Làm Việc Nhóm Cho Phòng Lớp Học PVC",3189021121,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3189021121.html,59000,0.0,0,0,No Brand,2026-05-01 04:34:11
Leego Cart Shelf Home Floor 3/4/5 Living Room Kitchen Bedroom Storage Rack Removable,3165122668,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3165122668.html,68000,4.357142857142857,14,0,No Brand,2026-05-01 04:34:11
Retro Thập Niên 80 Nghệ Thuật Pop Băng Cassette Tranh Canvas Vintage Âm Nhạc Treo Tường Nghệ Thuật Poster Cho Phòng Khách Trang Trí Nhà Unframed,13344263860,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13344263860.html,68000,0.0,0,0,No Brand,2026-05-01 04:34:11
Hiện Đại Trích Dẫn Động Lực Kỷ Luật Nghệ Thuật Poster In Canvas Unframed In Treo Tường Cho Phòng Khách Trang Trí Nhà Trừu Tượng Chủ Đề,13355301978,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13355301978.html,68000,0.0,0,0,No Brand,2026-05-01 04:34:11
Hợp Thời Trang Chuyển Màu Tâm Trí Cơ Thể Tâm Hồn In Hình Tích Cực Hào Quang Năng Lượng Nghệ Thuật Treo Tường Tranh Canvas Unframed Tâm Linh Trang Trí Nhà Cho Phòng Khách,13355561102,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13355561102.html,69000,0.0,0,0,No Brand,2026-05-01 04:34:11
1 mét vuông thảm cỏ nhân tạo độ cao 2cm.,234137592,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i234137592.html,69000,4.425,40,0,Trang Anh,2026-05-01 04:34:11
DAMIK Ghế đôn nhựa quán cafe ghế đẩu nhựa đúc decor phòng khách phòng trà quán trà chanh nhà hàng khách sạn sang trọng,2683801271,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2683801271.html,70000,4.746987951807229,83,0,No Brand,2026-05-01 04:34:11
Bon Appetit Thời Trung Thế Kỷ Pháp Trích Dẫn Nghệ Thuật Treo Tường Poster Sọc Vàng Trắng Nhà Bếp In Phòng Khách Hiện Đại Trang Trí Nhà Trừu Tượng Canvas Unframed,13346916535,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13346916535.html,72000,0.0,0,0,No Brand,2026-05-01 04:34:11
New Chinese Style Calligraphy Art Words Decorations Living Room Entrance Hall Study Desktop Decorative Picture Frame Display,2919796479,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i2919796479.html,72000,5.0,2,0,No Brand,2026-05-01 04:34:11
AROMAL Dài sang trọng Thảm phòng ngủ Dày Nửa Vòng Thảm cửa Mềm Có thể giặt Thảm cạnh giường Nhà,13333201771,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13333201771.html,72937,0.0,0,0,No Brand,2026-05-01 04:34:11
Trong nhà hiện đại khu vực sang trọng theo phong cách Bắc Âu hình dạng trái tim thoáng khí SKS-VN,13365475234,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13365475234.html,73000,0.0,0,0,No Brand,2026-05-01 04:34:11
"Thảm Trải Sàn Chống Trơn Phong Cách Cổ Điển Với Khẩu Hiệu 'Nói Chuyện Với Bạn Bè Và Bước Vào', Thảm Phòng Khách Phòng Ngủ Văn Phòng, Chất Liệu Polyester Hiện Đại, Kiểu Dệt Tinh Tế.",13333084035,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13333084035.html,73200,0.0,0,0,No Brand,2026-05-01 04:34:11
1pc 2026 Lịch Treo Tường Phong Cảnh Chữa Lành Chủ Đề Hoạt Hình 12 Thiết Kế Độc Đáo Quà Tặng Sinh Nhật Giáng Sinh Lý Tưởng,3332524678,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3332524678.html,73800,0.0,0,0,No Brand,2026-05-01 04:34:11
"[Expeed] 3D Led Night Light in Many Designs, Desk Lamp Decor for Bedroom Decoration, as a Gift - 🚀 🚀 🚀",3233050310,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i3233050310.html,74000,0.0,0,0,No Brand,2026-05-01 04:34:11
"Lịch Treo Tường Đa Ngôn Ngữ 2026, Sổ Kế Hoạch Hiện Đại 12 Tháng Dành Cho Phòng Ngủ, Ký Túc Xá, Căn Hộ, Gia Đình, Sổ Kế Hoạch Hàng Năm Bìa Gáy Xoắn Trang Trí",13347058166,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13347058166.html,75600,0.0,0,0,No Brand,2026-05-01 04:34:11
"Giá Sách Gỗ Hình Vòm Gothic, Thiết Kế Bầu Trời Đêm & Lâu Đài Kỳ Ảo, Vật Trang Trí Bàn Làm Việc, Đồ Trang Trí Nhà, Đồ Trang Trí Thư Viện, Quà Tặng Cho Người Yêu Sách",13354965806,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13354965806.html,77400,0.0,0,0,No Brand,2026-05-01 04:34:11
Hổ Sư Tử Báo Với Những Chú Con Gia Đình Rừng Rậm Tranh Canvas Trừu Tượng Động Vật Hoang Dã Poster In Cho Phòng Khách Trang Trí Nhà,13357366149,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Giải Trí,https://www.lazada.vn/products/pdp-i13357366149.html,78000,0.0,0,0,No Brand,2026-05-01 04:34:11
