title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Kệ đựng tài liệu 1 ngăn giấy , kệ  1 ngăn  đựng hồ sơ",2734593410,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i2734593410.html,8000,5.0,11,0,OEM,2026-05-01 04:33:23
Rose BLACKPINK Bàn Acrylic Đứng mini Đứng Lên,2841886983,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i2841886983.html,16800,0.0,0,0,No Brand,2026-05-01 04:33:23
Jcsyfac Buddhist Incense Utensils Lotus Incense Incense Burner Sandalwood Alloy Incense Burner Home Furniture Home Office Decoration,13328857499,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13328857499.html,17027,0.0,0,0,JCSYFAC,2026-05-01 04:33:23
Meterk Desk C Clamp ABS Black Table Mount Clamp for Desktop Table Lamp,13386132370,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13386132370.html,26000,0.0,0,0,Meterk,2026-05-01 04:33:23
Kệ Để Đồ Kệ Để Máy Tính - Sách Lắp Ghép,2153650525,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i2153650525.html,29000,4.833333333333333,12,0,No Brand,2026-05-01 04:33:23
KALLDUN | Portable Aesthetic Cartoon Mouse Pad,13366960155,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13366960155.html,29000,0.0,0,0,KALLDUN,2026-05-01 04:33:23
KALLDUN | Creative & Cute Thick Mouse Pad,13366688700,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13366688700.html,29000,0.0,0,0,KALLDUN,2026-05-01 04:33:23
Ghế Mini mặt lưới Duy Tân - bền-đẹp,2484620375,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i2484620375.html,29000,0.0,0,0,Duy Tân,2026-05-01 04:33:23
【FURONGHUA】 Homes Hole Cover Offices Parts Round ABS Plastic Cabinet Computer Desk 【New product】,13377073199,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13377073199.html,30000,0.0,0,0,No Brand,2026-05-01 04:33:23
Rosy Recess Elegant Wooden Lid Tissue Box for Home Office Car Use Multi-Purpose Storage,3167908893,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i3167908893.html,32000,0.0,0,0,Rosy Recess,2026-05-01 04:33:23
"Giá Đỡ Sách Chống Trượt Có Thể Điều Chỉnh Để Tiết Kiệm Không Gian Bàn Làm Việc Giá Đỡ Sắp Xếp Sách Để Bàn Học, Trường Học, Văn Phòng, Máy Tính Để Bàn",13384110159,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Nội Thất Phòng Làm Việc,https://www.lazada.vn/products/pdp-i13384110159.html,34000,0.0,0,0,No Brand,2026-05-01 04:33:23
