title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Ống nhòm kính vạn hoa nhiều màu sắc dài 19cm có thể xoay tròn,2512180599,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i2512180599.html,15000,0.0,0,0,No Brand,2026-04-29 14:23:14
Ống nhòm kính vạn hoa nhiều sắc màu dài 19cm rất có thể xoay tròn - MSP578571,2529824668,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i2529824668.html,16500,0.0,0,0,No Brand,2026-04-29 14:23:14
Ống nhòm kính vạn hoa nhiều sắc màu dài 19cm rất có thể xoay tròn,2506344296,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i2506344296.html,16500,0.0,0,0,No Brand,2026-04-29 14:23:14
EW-73B ống kính máy ảnh mui xe cho F3.5-5.6 EF-S 18-135mm là,2418188488,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i2418188488.html,17000,5.0,1,0,No Brand,2026-04-29 14:23:14
Focket mui xe ống kính máy ảnh mui xe Tròng kính tròn đảo ngược với chống phản xạ có ren bên trong cho 18-55mm,13343309412,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13343309412.html,36000,0.0,0,0,No Brand,2026-04-29 14:23:14
"SD&HI ET-65III ống kính mui xe cho Canon EF 85mm f 1.8 USM 100mm f 2, SF EF 135mm f 2.8 ống kính mui xe et65 III ET 65 III",13366829467,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13366829467.html,36861,0.0,0,0,SD&HI,2026-04-29 14:23:14
XINGHEC2 40.5mm 43mm 46mm 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm Ống kính kim loại dài cho ống kính máy ảnh che nắng phổ quát,13358091550,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13358091550.html,39381,0.0,0,0,No Brand,2026-04-29 14:23:14
SD&HI 40.5mm 43mm 46mm 49mm 52mm 55mm 58mm 62mm 67mm 72mm 77mm Ống kính kim loại dài cho ống kính máy ảnh che nắng phổ quát,3255389458,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i3255389458.html,41603,0.0,0,0,SD&HI,2026-04-29 14:23:14
black frame yellow Night Vision sheet outdoor Cycling Sunglasses,13357092072,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13357092072.html,44600,0.0,0,0,No Brand,2026-04-29 14:23:14
black frame yellow Night Vision sheet outdoor Cycling Sunglasses,13363045883,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13363045883.html,44600,0.0,0,0,No Brand,2026-04-29 14:23:14
black frame yellow Night Vision sheet outdoor Cycling Sunglasses,13359104335,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13359104335.html,44600,0.0,0,0,No Brand,2026-04-29 14:23:14
Gaib Vòng Đế ống kính mới cho Nikon 18-55 18-105 18-135 55-200 phụ tùng thay thế máy ảnh,13345416822,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13345416822.html,45706,0.0,0,0,No Brand,2026-04-29 14:23:14
TOMSHOO kính hai mắt có thể phóng to kính kính viễn vọng câu cá màu đen kính độ nét cao cầm tay điều chỉnh thao tác đơn giản tự động lấy nét cho ngoài trời,13377216962,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13377216962.html,45708,0.0,0,0,TOMSHOO,2026-04-29 14:23:14
Ống kính máy ảnh Mui Xe Ống Kính Nhựa Mui Xe Cho EF 55-200Mm F/4.5-5.6 Ii Cho Ngoài Trời Các Hoạt Động Nhiếp Ảnh,13336830303,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13336830303.html,47000,0.0,0,0,No Brand,2026-04-29 14:23:14
[North Bring] Ống kính mui xe thay thế EW-73D ew73d cho Canon EF-S 18-135mm f 3.5-5.6 là USM 18-135mm F3.5-5.6 là USM   RF 24-105mm F4-7.1 là STM,13333016055,lazada,Thiết Bị Điện Tử,Máy Ảnh Kỷ Thuật Số,Ống Kính,https://www.lazada.vn/products/pdp-i13333016055.html,49275,0.0,0,0,No Brand,2026-04-29 14:23:14
