title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Bộ 5 miếng dán cố định đệm sofa, ga trải giường, thảm (màu trắng) (cb)",1345205100,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i1345205100.html,2990,5.0,12,0,No Brand,2026-05-16 15:17:38
"[Hộp 20] Ghim xoắn cố định vỏ bọc ghế sofa,Đinh ghim xoắn ốc cố định ga giường tiện lợi dễ dàng lắp đặt",2711690313,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i2711690313.html,5000,5.0,0,0,No Brand,2026-05-16 15:17:38
"Khớp nối, chốt định vị thay thế cho Màn xếp thông minh gấp gọn khung nhựa (giá bán 1 chiếc)",2329290763,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i2329290763.html,5000,5.0,23,0,No Brand,2026-05-16 15:17:38
VINTLOOK Đèn Ngủ 3W Cắm Điện Đèn Ngủ LED Ánh Sáng Trắng Có Công Tắc Phòng Ngủ Hành Lang Đầu Giường,13392165108,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i13392165108.html,5000,0.0,0,0,VINTLOOK,2026-05-16 15:17:38
GUOUqna 6PCS tấm ga trải giường Clip nhựa chống trượt Nệm cố định kẹp hai bánh răng giường che chủ chăn ốc vít quần áo Snack Clip,13384319356,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i13384319356.html,5443,0.0,0,0,GUOUqna,2026-05-16 15:17:38
4 Ghim Ga Giường Bọc Ghế Cố Định,2102311716,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i2102311716.html,6000,4.428571428571429,7,0,No Brand,2026-05-16 15:17:38
"Móc inox, phụ kiện lắp đặt nội thất, giường, khung tranh, móc lắp khung gương",2608963196,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i2608963196.html,6055,4.56,25,0,No Brand,2026-05-16 15:17:38
YIBAR MAOHONG Tự bám dính nhiều màu Faux tổng hợp PU da các bản vá lỗi cho sofa lỗ bảng giường sửa chữa,13392083040,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i13392083040.html,6263,0.0,0,0,YIBAR,2026-05-16 15:17:38
CNABPC Móc bản lề giường dày đầu nối cố định gắn cố định dầm giường mã góc phụ kiện kim loại,3185361454,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i3185361454.html,6548,0.0,0,0,CNABPC,2026-05-16 15:17:38
"Bộ 4 khuy đinh bấm cố định ga trải giường, trải đệm (H1)",729084813,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Phụ Kiện Giường Ngủ,https://www.lazada.vn/products/pdp-i729084813.html,6900,0.0,0,0,No Brand,2026-05-16 15:17:38
