title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Genuine Leather Men's Belts Are Beautiful and Luxurious, Just Like the Picture.",13377090583,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i13377090583.html,68,0.0,0,0,Kino,2026-05-08 09:05:59
Nơ cài áo nam chú rể King caravat dây cài đeo cổ 2 lớp phi bóng cao cấp X01,806716519,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i806716519.html,5500,5.0,29,0,No Brand,2026-05-08 09:05:59
🔥 Dây Chuyền Nam Nữ Mặt Nhẫn Thép Titan Màu Bạc Vòng Cổ Phong Cách Hiphop Cá Tính Không Gỉ YVETTERY,2181572305,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2181572305.html,5900,4.545454545454546,77,0,No Brand,2026-05-08 09:05:59
Vòng Tay Nam Phong Cách Hàn Quốc Vòng Tay Punk Nam Trang Sức Dây Chuyền Thép Titan,13381830045,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i13381830045.html,9000,0.0,0,0,Lizard,2026-05-08 09:05:59
Đồ lam_Bộ quần áo Phật Tử nam kèm theo phụ kiện hàng mã,2733016112,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2733016112.html,9800,0.0,0,0,No Brand,2026-05-08 09:05:59
"Lược Cắt Tóc Nam Nữ TONI&GUY,  Lươc Chải Tóc Makaro Nhựa Cao Cấp- Lược chải tóc Toni Guy đen, lược chải tóc Makaro trắng",2627700122,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2627700122.html,9900,5.0,1,0,No Brand,2026-05-08 09:05:59
Original Maxell LR44 A76 g13a A765 alkaline battery for watch electronic hearing aid electronic thermometer,2670307942,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2670307942.html,10000,5.0,3,0,No Brand,2026-05-08 09:05:59
PCWFKEF Hot Sale Cổ Điển Gothic Mắt Quỷ Mặt Dây Chuyền Vòng Cổ Cho Nam Giới Phụ Nữ Đảng Hip Hop Đồ Trang Sức,3133388037,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i3133388037.html,10540,5.0,1,0,PCWFKEF,2026-05-08 09:05:59
PCWFKEF Hot Sale Thời trang retro đôi cánh thiên thần người đàn ông Huy hiệu pin rắn trâm cài ve áo huy chương trang trí,3133228018,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i3133228018.html,10857,5.0,1,0,PCWFKEF,2026-05-08 09:05:59
PCWFKEF Hot Sale Cổ Điển Gothic Chữ Thập Mặt Dây Chuyền Vòng Cổ Cho Nam Giới Thời Trang Đảng Xu Hướng Punk Đồ Trang Sức Halloween Quà Tặng,3138867747,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i3138867747.html,10987,5.0,4,0,PCWFKEF,2026-05-08 09:05:59
mua 1 được giảm 5000 Cổ Điển Gothic Mắt Quỷ Mặt Dây Chuyền Vòng Cổ Cho Nam Giới Phụ Nữ Đảng Hip Hop Đồ Trang Sức,2968792002,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2968792002.html,11396,4.913043478260869,46,0,CANAMEK,2026-05-08 09:05:59
"Nơ nam, nơ đeo cổ cho chú rể, bê lễ, bê tráp, tiệc cưới, bưng bê hoa quả (Vải trơn dài 11cm, rộng 5,5cm)",1255368398,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i1255368398.html,11900,4.729166666666667,48,0,No Brand,2026-05-08 09:05:59
"Zodiac Patron Saint Copper Pendant with Red or Black Rope, Exquisite Vintage Style Gift",3050225850,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i3050225850.html,12000,4.75,4,0,No Brand,2026-05-08 09:05:59
[HCM]Nơ  chú rể nơ cổ nam  dành cho chú rể,1249920498,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i1249920498.html,12000,4.938356164383562,146,0,No Brand,2026-05-08 09:05:59
COMBO 5 Lược tạo kiểu chuyên nghiệp cho tóc nam - Lược Chải Tóc Tạo Kiểu Phong Cách Cổ Điển Thuận Tiện Có Thể Tái Sử Dụng Được Nhiều Lần,2436592708,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Phụ Kiện Trang Phục Nam,https://www.lazada.vn/products/pdp-i2436592708.html,12190,0.0,0,0,No Brand,2026-05-08 09:05:59
