title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[Freeship] Waterproof Bathroom Curtain/Blinds 1.8m Various Models (Random Delivery),3066062710,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3066062710.html,12980,0.0,0,0,No Brand,2026-05-01 03:30:30
SHNGki Vách ngăn dày cho phòng tắm Rèm tắm không thấm nước không cần khoan lỗ,3222235866,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3222235866.html,31932,5.0,1,0,SHNGki,2026-05-01 03:30:30
ZTHOME [Home Tidying] Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,3076145058,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3076145058.html,34422,5.0,1,0,ZTHOME,2026-05-01 03:30:30
TX🏮💓🧧 Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,3022010172,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3022010172.html,35001,5.0,3,0,OEM,2026-05-01 03:30:30
Have a Good Laugh Every Time You Enter the Bathroom with This Canvas Sign,13338811171,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13338811171.html,36000,0.0,0,0,No Brand,2026-05-01 03:30:30
MaxgePC Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,3289857029,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3289857029.html,41431,0.0,0,0,MaxgePC,2026-05-01 03:30:30
Jinhf Peva Bathroom Shower Curtain with Hooks 180X180Cm Waterproof Thick Shower Curtain Bathroom Accessories,3053049732,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3053049732.html,44103,4.6,5,0,JINHF,2026-05-01 03:30:30
Rèm Cửa Nhà Tắm Peva Cao Cấp - Decor 9 Móc Loại 1.8 X 1.8M - Họa Tiết Đa Dạng Cá Tính - Chống Nước,1577141464,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i1577141464.html,44900,5.0,28,0,No Brand,2026-05-01 03:30:30
RÈM CHE PHÒNG TẮM HỌA TIẾT HOA VĂN SEIWA PRO (KÍCH THƯỚC 170 x 130CM),2306223686,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i2306223686.html,45000,0.0,0,0,SEIWAPRO,2026-05-01 03:30:30
Cửa sổ điều chỉnh rèm cực có thể mở rộng không có thanh khoan cho cửa bồn tắm TF-Ire-VN,13334977071,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13334977071.html,45000,0.0,0,0,No Brand,2026-05-01 03:30:30
"Bathroom Curtain, Thin Waterproof Window Curtain with Multiple Shapes 180X180Cm with Hanging Hooks",274246110,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i274246110.html,45000,4.17948717948718,39,0,No Brand,2026-05-01 03:30:30
Window and Bathroom Curtains Waterproof and Stain Resistant 180X180Cm_Wholesale Price Bien Hoa,3203399897,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i3203399897.html,45000,0.0,0,0,No Brand,2026-05-01 03:30:30
"Bathroom Curtain, Thin Waterproof Window Curtain with Multiple Shapes 180X180Cm with Hanging Hooks",2615944042,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i2615944042.html,45000,0.0,0,0,No Brand,2026-05-01 03:30:30
"Bathroom Curtain, Thin Waterproof Window Curtain with Multiple Shapes 180X180Cm with Hanging Hooks",354910008,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i354910008.html,45000,4.333333333333333,3,0,No Brand,2026-05-01 03:30:30
Rèm Tắm Bằng Vải Polyester Chống Thấm Nước Có Móc Treo In Hình Đơn Giản Phòng Tắm Trang Trí Nhà Cửa Rèm Bồn Tắm Sáng Tạo,13352497645,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13352497645.html,46800,0.0,0,0,No Brand,2026-05-01 03:30:30
GUOUqna Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,13369754966,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13369754966.html,47414,0.0,0,0,GUOUqna,2026-05-01 03:30:30
SDJZT Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,13367835745,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13367835745.html,47414,0.0,0,0,SDJZT,2026-05-01 03:30:30
SHNGki Peva phòng tắm vòi sen rèm với móc 180x180cm không thấm nước dày tắm Rèm nhà tắm phụ kiện,13371776421,lazada,Hàng Gia Dụng & Đời Sống,Phòng Tắm,Rèm Phòng Tắm,https://www.lazada.vn/products/pdp-i13371776421.html,47576,0.0,0,0,SHNGki,2026-05-01 03:30:30
