title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Bộ khung hình giấy hình gấu, mèo, thỏ, hươu",2507552278,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i2507552278.html,19000,0.0,0,0,No Brand,2026-05-01 03:37:10
Tranh tô màu số hóa hình con vật hoa lá cute đẹp trang trí bàn phòng xinh có khung treo 20 x 20 cm làm quà tặng giá rẻ,2152429936,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i2152429936.html,28500,5.0,11,0,No Brand,2026-05-01 03:37:10
Poster Hình Ảnh Bé Trai Dễ Thương Cho Giáo Dục Sớm Phụ Nữ Mang Thai Hình Ảnh Giáo Dục Sớm Đính Vào Tường Tranh Báo Cáo Tranh Ảnh,2483385062,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i2483385062.html,32000,5.0,4,0,No Brand,2026-05-01 03:37:10
"khung ảnh 20x25 khung thờ, khung treo tranh trang trí ,khung đẹp bền hoa văn rõ nét có 3 màu vàng ,nâu gỗ ,trắng",1814810967,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i1814810967.html,38000,4.913043478260869,23,0,No Brand,2026-05-01 03:37:10
Miniatures Art Painting Gold Frame Miniatures Oil Painting Beautiful for Kids for Dollhouse Decoration (Sunflower Shape),13357424879,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13357424879.html,39000,0.0,0,0,No Brand,2026-05-01 03:37:10
"khung ảnh đẹp  nhiều kích thước để bàn , treo tường có 3 màu trắng ,vàng ,nâu gỗ",1849346297,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i1849346297.html,39900,4.714285714285714,14,0,No Brand,2026-05-01 03:37:10
Retro Chinese Aesthetic Landscape Art Decorative Painting,3329141541,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i3329141541.html,42500,0.0,0,0,No Brand,2026-05-01 03:37:10
BAIN Bản vẽ Khung ảnh Đầy màu sắc Nhiều kích cỡ Giá trưng bày Ins Tự làm Máy tính để bàn,13340613961,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13340613961.html,47704,0.0,0,0,No Brand,2026-05-01 03:37:10
SWEET Đầy màu sắc Khung ảnh Nhiều kích cỡ Bản vẽ Giá trưng bày Đơn giản Thủ công Máy tính để bàn,13340757328,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13340757328.html,47704,0.0,0,0,No Brand,2026-05-01 03:37:10
"Photo Frame for Desk or Wall Display to Display Certificates of Merit, Calligraphy Paintings (Size A4, A5) Ka13",3301348457,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i3301348457.html,50000,5.0,3,0,No Brand,2026-05-01 03:37:10
Moon AURORA Hanging Photo Frame Display Frame Poster Frame Wall Frame Gallery Photo Holder Wooden Picture Frame for Party Birthday Living Room Fireplace,13353875056,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13353875056.html,51000,0.0,0,0,No Brand,2026-05-01 03:37:10
Photo Frame - A4 Certificate in 3 Colors 20*30 and 20X25 for Photo Storage. Photo Decoration,1634687283,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i1634687283.html,52000,5.0,5,0,No Brand,2026-05-01 03:37:10
hatello 29.7x21cm Acrylic Photo Frame Acrylic And Wooden Degree Frames Photo Frame,13367431662,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13367431662.html,52000,0.0,0,0,No Brand,2026-05-01 03:37:10
New Chinese Style Decorative Painting Clockwise Devil Tamer Picture Frame Tabletop Display Zhuge Liang Blessing Home Decoration,3211924487,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i3211924487.html,53000,0.0,0,0,No Brand,2026-05-01 03:37:10
hatello Print Canvas Painting Abstract Decor Canvas Dew Beads No Frame Wall Art,13356032615,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13356032615.html,55000,0.0,0,0,No Brand,2026-05-01 03:37:10
REPTIT Hiện đại Sơn kim cương Bằng gỗ Tự nhiên Bức ảnh Tranh sơn dầu canvas Khung gỗ rắn Khung gỗ Khung ảnh,13338613671,lazada,Hàng Gia Dụng & Đời Sống,Trang Trí Nhà Cửa,Tranh & Khung Ảnh,https://www.lazada.vn/products/pdp-i13338613671.html,55587,0.0,0,0,No Brand,2026-05-01 03:37:10
