title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Ví Da Đựng Chìa Khóa Xe Hơi - Túi Móc Khóa Xe Ô Tô Hoạt Hình Dễ Thương Chống Nước Đa Năng - Hộp Đựng Chìa Khóa Da Pu Xinh Xắn - Túi Đựng Chìa Khóa,3069910207,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i3069910207.html,7800,4.636363636363637,11,0,No Brand,2026-05-01 02:12:21
"Ví bóp đựng giấy tờ, thẻ ngân hàng, cccd, card visit các loại nhỏ gọn, tiện ích (12 ngăn)",1613047545,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1613047545.html,7900,4.944444444444445,18,0,No Brand,2026-05-01 02:12:21
"Ví, bóp đựng giấy tờ thẻ ngân hàng, card visit, thẻ ATM dễ thương nhỏ gọn,  tiện ích (12 ngăn và 24 ngăn)",1507487174,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1507487174.html,7900,4.635730858468677,431,0,No Brand,2026-05-01 02:12:21
"Ví Da Nam AROTI Nhỏ Gọn Chất Đẹp Cao Cấp,Chỉ Khâu Chắc Chắn Rất Đơn Giản, Sang Trọng Bóp Có Màu Nâu,Đen-Dáng Đứng,Ngang  VA590-NN-LZ1",1551343161,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1551343161.html,9000,0.0,0,0,AROTI,2026-05-01 02:12:21
Hộp Ví Nam Xả Kho Số Lượng Lớn - Sỉ Túi Đẹp SG,2777795212,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i2777795212.html,9900,4.813953488372093,86,0,No Brand,2026-05-01 02:12:21
ZTOYL Kẹp tiền kim loại thép không gỉ chất lượng cao Kẹp tiền bằng thép không gỉ đơn giản thời trang kẹp tiền mặt đô la ví cho nam nữ,13366013261,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i13366013261.html,10138,5.0,1,0,ZTOYL,2026-05-01 02:12:21
"Túi Ví Đựng Chìa Khóa Xe Ô Tô Chất Liệu Da Pu Chống Thấm Hình Thỏ Xinh Xắn - Túi Móc Khóa Đa Năng , Móc Khóa Xe Hơi",3071695940,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i3071695940.html,10925,5.0,6,0,No Brand,2026-05-01 02:12:21
FashionFinessE Ví tiền xu nam nữ sang trọng có họa tiết tiền tệ Đồng Bảng Anh đô la Châu Âu Ví,2748350847,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i2748350847.html,10989,5.0,1,0,No Brand,2026-05-01 02:12:21
"Ví đựng thẻ ATM, giấy tờ tùy thân ngăn kèm nút bấm",1043856830,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1043856830.html,11500,4.875,32,0,No Brand,2026-05-01 02:12:21
Hộp Đựng Bóp Ví Nam Giá Sỉ Hợp Thời Trang,1863998205,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1863998205.html,11900,5.0,2,0,No Brand,2026-05-01 02:12:21
[ví] Ví da nam sang trọng dáng đứng dáng ngang bóp da PU nam đựng tiền đựng thể có 6 ngăn tiện dụng - Shin Shop - Thanh Yến SHop,1740793374,lazada,Thời Trang & Phụ Kiện Nam,Túi Xách Nam,Ví Nam,https://www.lazada.vn/products/pdp-i1740793374.html,14000,5.0,3,0,No Brand,2026-05-01 02:12:21
