title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Vỏ Gối Du Lịch Dùng 1 Lần Tiệt Trùng,2863166979,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i2863166979.html,5000,4.2727272727272725,11,0,No Brand,2026-05-01 03:26:28
Vỏ gối nằm cotton poly kích thước 45x64cm ( Batman ),2219387346,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i2219387346.html,7500,5.0,8,0,No Brand,2026-05-01 03:26:28
XẢ VỎ GỐI NẰM COTTON POLY 45X65CM có chọn mẫu  giá bán 1 chiếc mẫu xinh cute,2896958994,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i2896958994.html,9000,5.0,4,0,No Brand,2026-05-01 03:26:28
"Vỏ gối nằm cho bé, vỏ gối trẻ em nhiều mẫu đẹp kích thước 25x40cm",1248806069,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1248806069.html,9000,5.0,10,0,No Brand,2026-05-01 03:26:28
Vỏ gối Vỏ gối nằm 45x65 cotton cao cấp Được chọn mẫu,1751877469,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1751877469.html,9000,5.0,1,0,No Brand,2026-05-01 03:26:28
"Vỏ gối nằm cotton poly_vỏ gối đẹp,dễ thương_hàng không kèm ruột_ kích thước 45x65(SẢN PHẨM GỒM 1 CHẾC)",1751747719,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1751747719.html,9100,0.0,0,0,No Brand,2026-05-01 03:26:28
Vỏ Gối Nằm Cotton Poly Bốn Mùa KT 45x65cm - Min Bedding,1751787802,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1751787802.html,9804,0.0,0,0,No Brand,2026-05-01 03:26:28
"Bộ 2 Vỏ gối nằm,áo gối nằm cotton poly vải mềm mát,xả kho giá lỗ Mã hàng VG1793 Bà Béo  Kho chăn ga gối, ga giường, drap giường",1246925673,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1246925673.html,10000,0.0,0,0,No Brand,2026-05-01 03:26:28
"Vỏ gối nằm,áo gối nằm 40x60cm,giao mẫu ngẫu nhiên lẻ 1 cái",1413000268,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i1413000268.html,10000,4.633333333333334,30,0,No Brand,2026-05-01 03:26:28
"Vỏ Gối Ôm Cao Cấp In Hình Ngộ Nghĩnh, Đáng Yêu",2554167878,lazada,Hàng Gia Dụng & Đời Sống,Phòng Ngủ,Vỏ Gối,https://www.lazada.vn/products/pdp-i2554167878.html,10000,0.0,0,0,No Brand,2026-05-01 03:26:28
